,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020년07월_계_총인구수,"268,243","3,236","4,729","3,477","2,715","2,629","5,125","3,037","2,948","2,230","3,522","3,069","2,428","5,753","7,359","5,818","3,998","12,987","22,108","7,565","5,606","2,935","55,666","13,024","24,030","32,851","16,899","12,499"
2020년07월_계_연령구간인구수,"268,243","3,236","4,729","3,477","2,715","2,629","5,125","3,037","2,948","2,230","3,522","3,069","2,428","5,753","7,359","5,818","3,998","12,987","22,108","7,565","5,606","2,935","55,666","13,024","24,030","32,851","16,899","12,499"
2020년07월_계_0~9세,"21,593",98,590,182,67,77,164,77,96,49,112,125,125,217,377,181,195,"1,132","2,502",411,322,165,"6,941",695,"1,841","2,817","1,263",772
2020년07월_계_10~19세,"27,094",117,370,355,120,115,250,158,148,103,192,137,141,425,639,341,191,"1,142","2,094",494,483,258,"7,729","1,212","2,949","4,352","1,671",908
2020년07월_계_20~29세,"29,647",257,388,251,232,173,351,273,248,136,341,253,172,482,813,603,367,"1,448","2,535",743,640,315,"6,692","1,636","2,973","4,189","1,808","1,328"
2020년07월_계_30~39세,"31,450",207,720,221,153,169,385,176,202,127,283,234,225,501,609,429,513,"1,729","3,779",775,588,265,"7,909","1,377","2,271","3,770","2,203","1,630"
2020년07월_계_40~49세,"43,843",323,731,500,259,256,555,313,293,233,530,378,277,751,998,641,539,"1,981","3,598","1,109",744,376,"10,925","1,890","3,970","6,278","3,191","2,204"
2020년07월_계_50~59세,"43,949",605,684,561,512,471,837,621,596,391,753,471,382,992,"1,132",988,614,"2,071","3,109","1,265","1,015",494,"7,834","2,438","4,139","5,528","3,079","2,367"
2020년07월_계_60~69세,"36,595",683,603,586,608,572,"1,125",657,634,505,710,610,500,"1,143","1,344","1,172",747,"1,763","2,536","1,369","1,013",519,"4,446","2,168","3,255","3,353","2,184","1,790"
2020년07월_계_70~79세,"22,511",556,366,461,435,418,856,465,453,390,409,548,439,848,"1,013",972,594,"1,224","1,348","1,006",576,341,"2,201","1,148","1,671","1,746","1,039",988
2020년07월_계_80~89세,"9,947",330,236,310,264,309,506,260,236,253,170,264,141,338,379,431,200,443,529,341,190,174,849,398,845,729,376,446
2020년07월_계_90~99세,"1,496",55,41,50,61,61,89,33,41,40,18,43,19,44,50,56,35,51,74,48,34,26,135,62,114,84,74,58
2020년07월_계_100세 이상,118,5,0,0,4,8,7,4,1,3,4,6,7,12,5,4,3,3,4,4,1,2,5,0,2,5,11,8
