,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020년09월_계_총인구수,"280,545","2,724","8,673","1,932","20,517","6,301","6,521","2,867","1,335",838,"2,094","4,645","3,241","4,477","4,074","6,299","3,874","5,534","11,810","7,035","19,122","19,800","11,979","10,493","10,541","32,955","37,464","21,527","8,228","2,453","1,192"
2020년09월_계_연령구간인구수,"280,545","2,724","8,673","1,932","20,517","6,301","6,521","2,867","1,335",838,"2,094","4,645","3,241","4,477","4,074","6,299","3,874","5,534","11,810","7,035","19,122","19,800","11,979","10,493","10,541","32,955","37,464","21,527","8,228","2,453","1,192"
2020년09월_계_0~9세,"21,322",54,620,38,"2,126",278,142,71,12,24,60,243,105,158,119,262,160,178,774,485,"1,325","1,464",711,826,"1,074","2,849","4,772","1,252","1,038",73,29
2020년09월_계_10~19세,"26,635",100,664,72,"2,055",310,307,138,37,39,84,275,211,308,230,317,259,268,938,635,"1,940","2,169","1,101","1,232",949,"4,000","4,538","2,116","1,142",138,63
2020년09월_계_20~29세,"33,632",189,745,130,"2,217",469,565,151,62,57,163,435,376,391,351,693,422,465,"1,298",738,"2,522","2,550","1,797","1,440","1,084","5,127","4,617","3,355",856,255,112
2020년09월_계_30~39세,"31,269",129,807,93,"2,658",440,375,126,55,32,137,450,323,360,288,592,315,459,"1,201",717,"2,080","2,167","1,287","1,195","1,398","4,057","5,748","2,314","1,216",185,65
2020년09월_계_40~49세,"42,315",247,"1,303",149,"3,222",746,627,250,93,87,232,564,358,583,491,791,453,627,"1,614",941,"2,853","3,247","1,833","1,764","1,578","5,655","6,597","3,335","1,655",291,129
2020년09월_계_50~59세,"48,466",469,"1,425",321,"3,508","1,048","1,237",451,186,138,469,720,491,729,664,"1,044",618,943,"2,129","1,165","3,434","3,380","2,248","1,875","1,552","5,910","6,056","4,517","1,027",475,237
2020년09월_계_60~69세,"40,336",633,"1,591",451,"2,514","1,231","1,363",663,303,168,469,964,598,961,862,"1,283",802,"1,243","2,082","1,340","2,943","2,721","1,678","1,360","1,522","3,270","3,230","2,721",691,460,219
2020년09월_계_70~79세,"24,303",562,"1,002",388,"1,381","1,046","1,128",605,340,175,292,729,543,714,761,946,572,957,"1,304",763,"1,346","1,419",894,581,958,"1,420","1,263","1,252",434,341,187
2020년09월_계_80~89세,"10,571",292,449,247,738,620,653,363,202,100,154,219,213,241,269,321,235,345,422,216,598,585,382,185,361,568,542,574,151,197,129
2020년09월_계_90~99세,"1,590",47,66,42,92,108,120,45,43,17,30,41,22,24,34,44,36,42,40,32,80,98,47,34,57,95,98,90,16,28,22
2020년09월_계_100세 이상,106,2,1,1,6,5,4,4,2,1,4,5,1,8,5,6,2,7,8,3,1,0,1,1,8,4,3,1,2,10,0
2020년09월_남_총인구수,"143,064","1,365","4,496",949,"10,461","3,246","3,363","1,473",655,418,"1,179","2,359","1,642","2,237","2,094","3,284","1,916","2,817","5,969","3,508","9,408","9,977","6,385","5,299","5,314","16,931","18,794","11,350","4,220","1,335",620
2020년09월_남_연령구간인구수,"143,064","1,365","4,496",949,"10,461","3,246","3,363","1,473",655,418,"1,179","2,359","1,642","2,237","2,094","3,284","1,916","2,817","5,969","3,508","9,408","9,977","6,385","5,299","5,314","16,931","18,794","11,350","4,220","1,335",620
