,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020년04월_계_총인구수,"53,539","21,919","4,799","7,034","1,805","1,788","1,377","2,407","2,409","4,079","5,327",408,187
2020년04월_계_연령구간인구수,"53,539","21,919","4,799","7,034","1,805","1,788","1,377","2,407","2,409","4,079","5,327",408,187
2020년04월_계_0~9세,"3,777","2,101",193,657,83,86,56,96,80,142,260,12,11
2020년04월_계_10~19세,"4,303","2,392",270,558,123,72,58,200,67,167,378,15,3
2020년04월_계_20~29세,"5,097","2,440",365,861,147,137,95,171,133,245,468,27,8
2020년04월_계_30~39세,"4,977","2,374",280,939,138,123,121,132,138,275,425,20,12
2020년04월_계_40~49세,"6,755","3,420",480,898,180,153,103,267,189,376,593,71,25
2020년04월_계_50~59세,"8,777","3,436",831,"1,184",292,293,257,396,356,684,929,82,37
2020년04월_계_60~69세,"8,265","2,799",846,857,314,328,278,403,448,900,936,107,49
2020년04월_계_70~79세,"7,125","1,905",928,697,299,317,243,430,554,840,837,42,33
2020년04월_계_80~89세,"3,899",901,536,340,192,243,148,273,398,402,433,25,8
2020년04월_계_90~99세,529,139,64,38,35,35,18,36,44,48,64,7,1
2020년04월_계_100세 이상,35,12,6,5,2,1,0,3,2,0,4,0,0
2020년04월_남_총인구수,"26,693","10,740","2,418","3,688",960,867,676,"1,225","1,153","2,000","2,604",251,111
2020년04월_남_연령구간인구수,"26,693","10,740","2,418","3,688",960,867,676,"1,225","1,153","2,000","2,604",251,111
2020년04월_남_0~9세,"1,915","1,061",94,354,45,45,20,44,44,64,132,6,6
2020년04월_남_10~19세,"2,238","1,230",145,273,90,37,28,111,40,82,192,7,3
2020년04월_남_20~29세,"2,841","1,296",227,499,88,64,49,101,72,150,272,20,3
2020년04월_남_30~39세,"2,592","1,133",165,525,80,64,58,79,77,165,225,14,7
2020년04월_남_40~49세,"3,870","1,757",315,516,121,101,72,177,121,258,358,54,20
2020년04월_남_50~59세,"4,782","1,745",494,674,166,164,144,258,209,371,479,54,24
2020년04월_남_60~69세,"4,115","1,333",416,443,179,170,150,194,219,436,482,66,27
2020년04월_남_70~79세,"3,037",866,374,297,124,138,103,174,224,358,337,23,19
2020년04월_남_80~89세,"1,203",292,170,101,58,77,48,81,141,107,119,7,2
2020년04월_남_90~99세,96,27,15,5,9,7,4,6,6,9,8,0,0
2020년04월_남_100세 이상,4,0,3,1,0,0,0,0,0,0,0,0,0
2020년04월_여_총인구수,"26,846","11,179","2,381","3,346",845,921,701,"1,182","1,256","2,079","2,723",157,76
2020년04월_여_연령구간인구수,"26,846","11,179","2,381","3,346",845,921,701,"1,182","1,256","2,079","2,723",157,76
2020년04월_여_0~9세,"1,862","1,040",99,303,38,41,36,52,36,78,128,6,5
2020년04월_여_10~19세,"2,065","1,162",125,285,33,35,30,89,27,85,186,8,0
2020년04월_여_20~29세,"2,256","1,144",138,362,59,73,46,70,61,95,196,7,5
2020년04월_여_30~39세,"2,385","1,241",115,414,58,59,63,53,61,110,200,6,5
2020년04월_여_40~49세,"2,885","1,663",165,382,59,52,31,90,68,118,235,17,5
2020년04월_여_50~59세,"3,995","1,691",337,510,126,129,113,138,147,313,450,28,13
2020년04월_여_60~69세,"4,150","1,466",430,414,135,158,128,209,229,464,454,41,22
2020년04월_여_70~79세,"4,088","1,039",554,400,175,179,140,256,330,482,500,19,14
2020년04월_여_80~89세,"2,696",609,366,239,134,166,100,192,257,295,314,18,6
2020년04월_여_90~99세,433,112,49,33,26,28,14,30,38,39,56,7,1
2020년04월_여_100세 이상,31,12,3,4,2,1,0,3,2,0,4,0,0
