카테고리,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020년06월_계_총인구수,"45,203","13,646","3,641","3,756","1,876","3,580","6,420","4,166","1,562","1,405","2,904","2,247"
2020년06월_계_연령구간인구수,"45,203","13,646","3,641","3,756","1,876","3,580","6,420","4,166","1,562","1,405","2,904","2,247"
2020년06월_계_0~9세,"2,944","1,048",307,173,51,152,783,190,59,33,81,67
2020년06월_계_10~19세,"3,324","1,204",291,178,74,191,672,274,98,65,184,93
2020년06월_계_20~29세,"4,584","1,346",322,380,159,591,783,421,135,107,198,142
2020년06월_계_30~39세,"3,841","1,233",275,334,136,212,870,289,107,86,148,151
2020년06월_계_40~49세,"5,714","1,968",466,422,186,394,949,547,175,107,279,221
2020년06월_계_50~59세,"7,557","2,188",607,715,380,577,852,787,276,241,501,433
2020년06월_계_60~69세,"7,090","1,969",600,682,356,590,612,739,289,280,506,467
2020년06월_계_70~79세,"5,963","1,641",448,516,282,491,548,539,252,290,556,400
2020년06월_계_80~89세,"3,661",922,283,310,218,348,312,319,143,173,411,222
2020년06월_계_90~99세,483,114,36,44,33,33,39,57,25,22,38,42
2020년06월_계_100세 이상,42,13,6,2,1,1,0,4,3,1,2,9
2020년06월_남_총인구수,"23,250","6,775","1,840","1,997",995,"2,054","3,349","2,102",818,703,"1,456","1,161"
2020년06월_남_연령구간인구수,"23,250","6,775","1,840","1,997",995,"2,054","3,349","2,102",818,703,"1,456","1,161"
2020년06월_남_0~9세,"1,482",543,163,86,23,78,378,90,28,13,44,36
2020년06월_남_10~19세,"1,759",621,159,97,43,101,352,134,55,39,106,52
2020년06월_남_20~29세,"2,784",730,174,220,99,516,482,244,71,66,110,72
2020년06월_남_30~39세,"2,037",617,125,205,85,117,470,149,68,45,76,80
2020년06월_남_40~49세,"3,296","1,071",252,275,119,256,532,325,107,60,166,133
2020년06월_남_50~59세,"4,295","1,209",364,396,224,328,490,444,162,138,288,252
2020년06월_남_60~69세,"3,685",956,294,374,205,308,323,385,158,146,275,261
2020년06월_남_70~79세,"2,611",720,205,228,115,220,214,233,115,125,242,194
2020년06월_남_80~89세,"1,180",286,93,101,72,121,97,85,46,65,141,73
2020년06월_남_90~99세,116,21,10,15,10,9,11,13,6,6,8,7
2020년06월_남_100세 이상,5,1,1,0,0,0,0,0,2,0,0,1
2020년06월_여_총인구수,"21,953","6,871","1,801","1,759",881,"1,526","3,071","2,064",744,702,"1,448","1,086"
2020년06월_여_연령구간인구수,"21,953","6,871","1,801","1,759",881,"1,526","3,071","2,064",744,702,"1,448","1,086"
2020년06월_여_0~9세,"1,462",505,144,87,28,74,405,100,31,20,37,31
2020년06월_여_10~19세,"1,565",583,132,81,31,90,320,140,43,26,78,41
2020년06월_여_20~29세,"1,800",616,148,160,60,75,301,177,64,41,88,70
2020년06월_여_30~39세,"1,804",616,150,129,51,95,400,140,39,41,72,71
2020년06월_여_40~49세,"2,418",897,214,147,67,138,417,222,68,47,113,88
2020년06월_여_50~59세,"3,262",979,243,319,156,249,362,343,114,103,213,181
2020년06월_여_60~69세,"3,405","1,013",306,308,151,282,289,354,131,134,231,206
2020년06월_여_70~79세,"3,352",921,243,288,167,271,334,306,137,165,314,206
2020년06월_여_80~89세,"2,481",636,190,209,146,227,215,234,97,108,270,149
2020년06월_여_90~99세,367,93,26,29,23,24,28,44,19,16,30,35
2020년06월_여_100세 이상,37,12,5,2,1,1,0,4,1,1,2,8
