카테고리,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2021년04월_계_총인구수,"155,511","40,125","5,805","19,799","11,693","14,928","20,736","8,849","21,339","12,237"
2021년04월_계_연령구간인구수,"155,511","40,125","5,805","19,799","11,693","14,928","20,736","8,849","21,339","12,237"
2021년04월_계_0~9세,"14,385","3,508",228,"2,141",892,"1,331","2,052",653,"2,341","1,239"
2021년04월_계_10~19세,"15,580","4,098",361,"1,924","1,181","1,375","2,291",926,"2,136","1,288"
2021년04월_계_20~29세,"17,472","4,607",723,"1,989","1,502","1,914","2,351",899,"2,354","1,133"
2021년04월_계_30~39세,"22,271","5,763",768,"2,869","1,477","2,153","2,653","1,074","3,727","1,787"
2021년04월_계_40~49세,"26,067","7,316",835,"3,251","1,950","2,312","3,447","1,408","3,441","2,107"
2021년04월_계_50~59세,"25,194","6,580","1,046","3,168","2,240","2,332","3,711","1,408","2,908","1,801"
2021년04월_계_60~69세,"23,192","5,454","1,172","2,868","1,719","2,258","2,938","1,644","3,232","1,907"
2021년04월_계_70~79세,"8,431","2,051",504,"1,114",531,974,953,638,961,705
2021년04월_계_80~89세,"2,554",649,150,424,178,247,291,173,206,236
2021년04월_계_90~99세,355,97,18,50,21,30,47,25,33,34
2021년04월_계_100세 이상,10,2,0,1,2,2,2,1,0,0
2021년04월_남_총인구수,"81,246","21,571","3,121","10,211","6,123","7,681","10,572","4,519","11,257","6,191"
2021년04월_남_연령구간인구수,"81,246","21,571","3,121","10,211","6,123","7,681","10,572","4,519","11,257","6,191"
2021년04월_남_0~9세,"7,352","1,794",112,"1,087",457,692,"1,013",330,"1,227",640
2021년04월_남_10~19세,"8,237","2,205",191,"1,013",629,758,"1,157",472,"1,147",665
2021년04월_남_20~29세,"9,827","2,643",419,"1,110",833,953,"1,326",533,"1,393",617
2021년04월_남_30~39세,"12,246","3,338",481,"1,464",835,"1,184","1,367",580,"2,048",949
2021년04월_남_40~49세,"14,207","4,179",493,"1,792","1,011","1,262","1,768",746,"1,855","1,101"
2021년04월_남_50~59세,"12,561","3,453",538,"1,605","1,137","1,133","1,839",671,"1,342",843
2021년04월_남_60~69세,"11,594","2,734",566,"1,447",878,"1,080","1,489",812,"1,624",964
2021년04월_남_70~79세,"4,314","1,015",264,554,275,521,501,314,533,337
2021년04월_남_80~89세,856,203,53,127,67,91,106,59,82,68
2021년04월_남_90~99세,50,7,4,12,1,6,5,2,6,7
2021년04월_남_100세 이상,2,0,0,0,0,1,1,0,0,0
2021년04월_여_총인구수,"74,265","18,554","2,684","9,588","5,570","7,247","10,164","4,330","10,082","6,046"
2021년04월_여_연령구간인구수,"74,265","18,554","2,684","9,588","5,570","7,247","10,164","4,330","10,082","6,046"
2021년04월_여_0~9세,"7,033","1,714",116,"1,054",435,639,"1,039",323,"1,114",599
2021년04월_여_10~19세,"7,343","1,893",170,911,552,617,"1,134",454,989,623
2021년04월_여_20~29세,"7,645","1,964",304,879,669,961,"1,025",366,961,516
2021년04월_여_30~39세,"10,025","2,425",287,"1,405",642,969,"1,286",494,"1,679",838
2021년04월_여_40~49세,"11,860","3,137",342,"1,459",939,"1,050","1,679",662,"1,586","1,006"
2021년04월_여_50~59세,"12,633","3,127",508,"1,563","1,103","1,199","1,872",737,"1,566",958
2021년04월_여_60~69세,"11,598","2,720",606,"1,421",841,"1,178","1,449",832,"1,608",943
2021년04월_여_70~79세,"4,117","1,036",240,560,256,453,452,324,428,368
2021년04월_여_80~89세,"1,698",446,97,297,111,156,185,114,124,168
2021년04월_여_90~99세,305,90,14,38,20,24,42,23,27,27
2021년04월_여_100세 이상,8,2,0,1,2,1,1,1,0,0
