카테고리,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2020년05월_계_총인구수,"1,192,018","276,317","23,772","43,308","30,215","30,414","43,266","20,417","19,932","29,155","19,390","16,448","370,687","10,561","23,874","19,731","40,833","38,575","25,197","45,892","46,226","24,867","50,118","27,789","17,024","175,396","5,954","10,711","9,159","23,450","27,068","11,587","20,915","17,415","38,162","10,975","369,618","18,767","15,388","36,546","22,305","39,241","36,387","26,551","33,055","31,880","28,419","52,925","28,154"
2020년05월_계_연령구간인구수,"1,192,018","276,317","23,772","43,308","30,215","30,414","43,266","20,417","19,932","29,155","19,390","16,448","370,687","10,561","23,874","19,731","40,833","38,575","25,197","45,892","46,226","24,867","50,118","27,789","17,024","175,396","5,954","10,711","9,159","23,450","27,068","11,587","20,915","17,415","38,162","10,975","369,618","18,767","15,388","36,546","22,305","39,241","36,387","26,551","33,055","31,880","28,419","52,925","28,154"
2020년05월_계_0~9세,"101,337","19,309","1,450","3,221","2,657","2,098","3,894",896,"1,204","1,610","1,535",744,"33,762",907,"1,161","1,034","3,161","2,567","1,515","5,187","7,278","1,399","5,958","1,787","1,808","10,013",245,452,384,"1,578","2,116",463,985,"1,266","2,243",281,"38,253","1,277","1,000","3,050","1,493","4,692","3,796","2,647","2,806","3,637","4,439","5,904","3,512"
2020년05월_계_10~19세,"121,072","29,499","1,937","4,283","3,623","3,266","7,136","1,258","1,814","2,934","2,132","1,116","34,119",650,"1,672","1,625","3,707","3,314","2,145","5,020","4,420","1,799","5,527","2,369","1,871","14,399",325,512,604,"2,276","3,114",764,"1,535","1,908","2,868",493,"43,055","2,033","1,595","4,546","2,409","3,556","5,023","2,228","4,410","4,188","3,234","6,911","2,922"
2020년05월_계_20~29세,"186,965","44,194","3,442","10,086","4,239","4,394","6,214","2,717","3,078","4,425","3,037","2,562","54,970","1,547","3,612","2,799","6,315","5,949","4,048","6,229","5,141","4,951","6,933","5,374","2,072","28,578",906,"1,903","1,118","3,221","4,168","1,362","3,276","3,619","7,491","1,514","59,223","3,173","2,537","6,600","3,764","6,593","4,988","5,782","6,384","4,599","3,456","8,266","3,081"
2020년05월_계_30~39세,"182,542","33,651","2,985","5,899","3,613","3,798","4,625","2,574","2,781","3,352","2,154","1,870","59,796","1,743","3,581","2,708","5,777","5,514","3,353","6,888","9,628","4,469","8,312","5,514","2,309","24,912",875,"1,680","1,101","2,751","3,559","1,285","3,017","2,284","7,032","1,328","64,183","2,541","2,019","5,584","3,247","7,869","5,690","6,622","4,558","5,104","6,038","9,545","5,366"
2020년05월_계_40~49세,"204,852","46,589","3,811","6,680","5,559","5,174","9,293","3,052","3,152","4,650","2,976","2,242","61,763","1,488","3,793","3,197","6,193","6,109","3,856","8,114","8,032","3,721","8,935","5,040","3,285","27,839",878,"1,445","1,381","3,925","4,652","1,717","3,168","2,799","6,374","1,500","68,661","3,162","2,511","6,895","3,856","7,131","7,286","4,223","6,262","5,953","5,382","10,716","5,284"
2020년05월_계_50~59세,"196,610","49,451","4,467","6,831","5,311","5,475","7,332","4,033","3,692","5,526","3,854","2,930","62,593","1,906","4,334","3,498","7,671","6,893","4,966","7,623","5,966","4,288","8,062","4,557","2,829","30,761","1,121","1,986","1,776","4,192","5,116","2,165","3,782","2,726","5,688","2,209","53,805","3,332","2,793","5,497","3,805","4,673","5,680","3,027","5,301","5,170","3,610","6,985","3,932"
2020년05월_계_60~69세,"114,605","29,490","3,191","3,570","2,914","3,273","2,667","3,369","2,435","3,582","1,948","2,541","37,991","1,312","3,312","2,766","4,739","4,836","3,130","3,929","3,492","2,647","4,185","1,935","1,708","21,613",860,"1,545","1,465","3,028","2,468","2,031","2,819","1,636","3,808","1,953","25,511","1,975","1,698","2,603","2,225","2,850","2,281","1,131","2,005","2,028","1,440","2,852","2,423"
2020년05월_계_70~79세,"55,645","15,562","1,653","1,720","1,462","1,959","1,329","1,727","1,169","1,976","1,017","1,550","17,147",667,"1,638","1,470","2,156","2,348","1,435","1,885","1,537","1,057","1,450",740,764,"11,757",511,803,937,"1,730","1,219","1,228","1,635",777,"1,773","1,144","11,179",889,820,"1,160",976,"1,269","1,039",583,798,817,529,"1,178","1,121"
