카테고리,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2020년08월_계_총인구수,"489,077","42,218","36,900","10,086","49,054","12,220","42,587","22,498","15,870","20,413","22,324","31,991","23,030","21,517","70,305","1,934","23,936","23,720","18,474"
2020년08월_계_연령구간인구수,"489,077","42,218","36,900","10,086","49,054","12,220","42,587","22,498","15,870","20,413","22,324","31,991","23,030","21,517","70,305","1,934","23,936","23,720","18,474"
2020년08월_계_0~9세,"47,612","3,351","1,802",474,"5,961",739,"6,193","1,661","1,481","1,193","1,400","2,550","1,786","1,719","11,166",51,"1,803","2,783","1,499"
2020년08월_계_10~19세,"49,714","3,544","3,447",789,"5,223","1,236","3,365","2,276","1,477","1,167","1,918","3,676","2,162","2,756","7,719",43,"3,082","3,436","2,398"
2020년08월_계_20~29세,"68,002","6,554","5,949","1,421","6,321","1,680","4,198","2,961","1,781","3,154","3,363","5,144","3,136","3,624","9,065",154,"3,633","3,177","2,687"
2020년08월_계_30~39세,"75,635","6,397","3,993","1,001","8,128","1,124","8,689","2,806","2,382","4,209","3,532","4,380","3,301","2,479","14,955",174,"2,585","3,280","2,220"
2020년08월_계_40~49세,"88,844","6,196","5,562","1,379","8,415","2,028","7,413","3,937","3,168","4,238","4,626","6,218","4,643","3,936","14,211",182,"4,424","4,917","3,351"
2020년08월_계_50~59세,"85,774","8,244","8,239","2,263","8,108","2,490","5,771","4,166","2,632","3,782","4,356","6,056","4,501","4,302","8,367",472,"4,770","3,904","3,351"
2020년08월_계_60~69세,"44,596","4,924","4,825","1,593","4,289","1,562","4,301","2,718","1,722","1,742","2,028","2,367","2,177","1,496","3,428",534,"1,955","1,297","1,638"
2020년08월_계_70~79세,"18,909","1,887","2,074",750,"1,710",863,"1,792","1,295",832,642,747,"1,017",856,740,978,224,"1,071",586,845
2020년08월_계_80~89세,"8,627",963,868,361,775,437,734,589,343,248,308,527,392,422,360,81,527,286,406
2020년08월_계_90~99세,"1,267",148,121,47,116,57,117,79,50,35,45,54,75,42,55,16,81,51,78
2020년08월_계_100세 이상,97,10,20,8,8,4,14,10,2,3,1,2,1,1,1,3,5,3,1
2020년08월_남_총인구수,"255,745","21,464","19,130","5,296","24,602","6,390","21,556","11,790","8,254","12,839","13,124","17,151","12,964","10,693","35,986","1,179","12,173","11,945","9,209"
2020년08월_남_연령구간인구수,"255,745","21,464","19,130","5,296","24,602","6,390","21,556","11,790","8,254","12,839","13,124","17,151","12,964","10,693","35,986","1,179","12,173","11,945","9,209"
2020년08월_남_0~9세,"24,330","1,748",966,244,"3,059",369,"3,110",864,748,597,701,"1,285",920,884,"5,665",31,932,"1,427",780
2020년08월_남_10~19세,"25,577","1,826","1,823",404,"2,663",654,"1,757","1,191",774,613,992,"1,879","1,132","1,422","3,839",21,"1,601","1,783","1,203"
2020년08월_남_20~29세,"36,858","3,410","3,236",790,"3,282",954,"2,119","1,633",950,"2,052","2,118","2,952","1,782","1,861","4,736",91,"1,911","1,617","1,364"
2020년08월_남_30~39세,"40,564","3,383","2,221",566,"4,007",590,"4,304","1,568","1,246","2,858","2,220","2,516","1,990","1,264","7,623",119,"1,323","1,591","1,175"
2020년08월_남_40~49세,"47,603","3,126","2,884",714,"4,263","1,067","4,063","2,175","1,746","2,866","2,869","3,380","2,784","1,838","7,547",130,"2,169","2,394","1,588"
2020년08월_남_50~59세,"45,502","4,134","4,240","1,207","4,089","1,381","2,889","2,186","1,419","2,401","2,634","3,236","2,583","2,201","4,219",300,"2,541","2,107","1,735"
2020년08월_남_60~69세,"23,713","2,632","2,572",873,"2,211",837,"2,191","1,373",840,"1,035","1,163","1,284","1,234",786,"1,802",321,"1,029",679,851
2020년08월_남_70~79세,"8,526",864,917,354,786,388,860,580,397,327,323,433,395,284,433,128,452,236,369
2020년08월_남_80~89세,"2,782",316,239,124,219,133,236,203,123,82,95,171,135,138,113,32,198,98,127
2020년08월_남_90~99세,262,24,30,15,20,16,23,15,10,7,8,15,8,15,9,4,15,12,16
2020년08월_남_100세 이상,28,1,2,5,3,1,4,2,1,1,1,0,1,0,0,2,2,1,1
2020년08월_여_총인구수,"233,332","20,754","17,770","4,790","24,452","5,830","21,031","10,708","7,616","7,574","9,200","14,840","10,066","10,824","34,319",755,"11,763","11,775","9,265"
2020년08월_여_연령구간인구수,"233,332","20,754","17,770","4,790","24,452","5,830","21,031","10,708","7,616","7,574","9,200","14,840","10,066","10,824","34,319",755,"11,763","11,775","9,265"
2020년08월_여_0~9세,"23,282","1,603",836,230,"2,902",370,"3,083",797,733,596,699,"1,265",866,835,"5,501",20,871,"1,356",719
2020년08월_여_10~19세,"24,137","1,718","1,624",385,"2,560",582,"1,608","1,085",703,554,926,"1,797","1,030","1,334","3,880",22,"1,481","1,653","1,195"
2020년08월_여_20~29세,"31,144","3,144","2,713",631,"3,039",726,"2,079","1,328",831,"1,102","1,245","2,192","1,354","1,763","4,329",63,"1,722","1,560","1,323"
2020년08월_여_30~39세,"35,071","3,014","1,772",435,"4,121",534,"4,385","1,238","1,136","1,351","1,312","1,864","1,311","1,215","7,332",55,"1,262","1,689","1,045"
2020년08월_여_40~49세,"41,241","3,070","2,678",665,"4,152",961,"3,350","1,762","1,422","1,372","1,757","2,838","1,859","2,098","6,664",52,"2,255","2,523","1,763"
2020년08월_여_50~59세,"40,272","4,110","3,999","1,056","4,019","1,109","2,882","1,980","1,213","1,381","1,722","2,820","1,918","2,101","4,148",172,"2,229","1,797","1,616"
2020년08월_여_60~69세,"20,883","2,292","2,253",720,"2,078",725,"2,110","1,345",882,707,865,"1,083",943,710,"1,626",213,926,618,787
2020년08월_여_70~79세,"10,383","1,023","1,157",396,924,475,932,715,435,315,424,584,461,456,545,96,619,350,476
2020년08월_여_80~89세,"5,845",647,629,237,556,304,498,386,220,166,213,356,257,284,247,49,329,188,279
2020년08월_여_90~99세,"1,005",124,91,32,96,41,94,64,40,28,37,39,67,27,46,12,66,39,62
2020년08월_여_100세 이상,69,9,18,3,5,3,10,8,1,2,0,2,0,1,1,1,3,2,0
