카테고리,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2021년11월_계_총인구수,"27,119","7,008","6,003","2,288","3,473","8,347",0
2021년11월_계_연령구간인구수,"27,119","7,008","6,003","2,288","3,473","8,347",0
2021년11월_계_0~9세,"1,330",574,168,53,104,431,0
2021년11월_계_10~19세,"1,585",538,319,93,164,471,0
2021년11월_계_20~29세,"2,657",893,459,117,314,874,0
2021년11월_계_30~39세,"2,344",819,320,134,263,808,0
2021년11월_계_40~49세,"3,057",852,569,194,336,"1,106",0
2021년11월_계_50~59세,"4,792","1,121","1,098",394,620,"1,559",0
2021년11월_계_60~69세,"5,640","1,102","1,417",628,823,"1,670",0
2021년11월_계_70~79세,"3,419",645,963,415,497,899,0
2021년11월_계_80~89세,"1,958",397,577,219,306,459,0
2021년11월_계_90~99세,326,65,112,40,43,66,0
2021년11월_계_100세 이상,11,2,1,1,3,4,0
2021년11월_남_총인구수,"13,950","3,673","3,004","1,114","1,783","4,376",0
2021년11월_남_연령구간인구수,"13,950","3,673","3,004","1,114","1,783","4,376",0
2021년11월_남_0~9세,676,298,87,24,48,219,0
2021년11월_남_10~19세,857,298,159,55,90,255,0
2021년11월_남_20~29세,"1,695",558,311,70,190,566,0
2021년11월_남_30~39세,"1,331",455,181,75,160,460,0
2021년11월_남_40~49세,"1,676",451,316,127,193,589,0
2021년11월_남_50~59세,"2,596",608,625,205,325,833,0
2021년11월_남_60~69세,"2,881",564,696,322,428,871,0
2021년11월_남_70~79세,"1,482",291,402,164,227,398,0
2021년11월_남_80~89세,675,131,204,63,109,168,0
2021년11월_남_90~99세,79,19,23,9,13,15,0
2021년11월_남_100세 이상,2,0,0,0,0,2,0
2021년11월_여_총인구수,"13,169","3,335","2,999","1,174","1,690","3,971",0
2021년11월_여_연령구간인구수,"13,169","3,335","2,999","1,174","1,690","3,971",0
2021년11월_여_0~9세,654,276,81,29,56,212,0
2021년11월_여_10~19세,728,240,160,38,74,216,0
2021년11월_여_20~29세,962,335,148,47,124,308,0
2021년11월_여_30~39세,"1,013",364,139,59,103,348,0
2021년11월_여_40~49세,"1,381",401,253,67,143,517,0
2021년11월_여_50~59세,"2,196",513,473,189,295,726,0
2021년11월_여_60~69세,"2,759",538,721,306,395,799,0
2021년11월_여_70~79세,"1,937",354,561,251,270,501,0
2021년11월_여_80~89세,"1,283",266,373,156,197,291,0
2021년11월_여_90~99세,247,46,89,31,30,51,0
2021년11월_여_100세 이상,9,2,1,1,3,2,0
