카테고리,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2021년10월_계_총인구수,"658,107","255,504","24,325","4,080","4,298","4,341","3,100","2,261","6,138","2,083","5,386","4,334","8,627","9,209","18,071","23,088","44,438","54,964","36,761","402,603","23,851","21,561","20,004","8,434","17,508","25,813","13,806","37,381","18,787","40,541","70,350","47,097","57,470"
2021년10월_계_연령구간인구수,"658,107","255,504","24,325","4,080","4,298","4,341","3,100","2,261","6,138","2,083","5,386","4,334","8,627","9,209","18,071","23,088","44,438","54,964","36,761","402,603","23,851","21,561","20,004","8,434","17,508","25,813","13,806","37,381","18,787","40,541","70,350","47,097","57,470"
2021년10월_계_0~9세,"59,229","19,035","1,571",109,109,116,68,47,243,23,180,161,380,267,"1,063","1,991","4,308","5,624","2,775","40,194","1,078","1,687","1,357",281,888,914,810,"3,136","1,324","5,354","10,258","3,980","9,127"
2021년10월_계_10~19세,"67,666","25,653","2,602",222,187,224,153,82,352,68,273,224,647,631,"1,408","3,176","5,784","6,966","2,654","42,013","2,163","2,327","1,847",509,"1,132","1,190","1,202","4,792","2,295","5,705","9,599","4,036","5,216"
2021년10월_계_20~29세,"95,503","34,763","2,863",384,340,389,229,173,757,130,541,651,"1,057","1,141","2,812","2,676","6,084","6,874","7,662","60,740","2,796","2,535","2,484",866,"2,609","6,549","2,376","5,956","2,602","5,078","8,694","10,189","8,006"
2021년10월_계_30~39세,"102,519","31,852","2,431",315,285,323,174,167,560,88,497,576,829,818,"2,488","2,404","6,496","7,852","5,549","70,667","1,993","2,633","2,685",692,"2,563","5,608","1,845","4,908","2,266","6,546","14,092","9,486","15,350"
2021년10월_계_40~49세,"111,471","41,838","4,306",426,421,509,313,224,736,163,641,580,"1,182","1,298","2,884","4,281","8,833","10,061","4,980","69,633","3,570","4,057","3,647","1,017","2,583","3,790","1,865","6,495","3,039","7,924","14,325","7,462","9,859"
2021년10월_계_50~59세,"103,669","43,292","4,590",743,844,828,579,405,"1,126",409,"1,025",734,"1,682","1,790","3,218","4,043","6,976","8,480","5,820","60,377","4,244","3,752","3,551","1,759","3,300","3,632","2,446","6,711","3,541","5,729","8,985","6,798","5,929"
2021년10월_계_60~69세,"69,259","33,702","3,256",963,"1,091","1,024",783,541,"1,219",541,"1,190",818,"1,556","1,690","2,572","2,627","3,695","5,611","4,525","35,557","4,087","2,656","2,526","1,718","2,588","2,617","2,060","3,474","2,184","2,789","3,004","3,151","2,703"
2021년10월_계_70~79세,"30,619","15,739","1,615",527,566,511,454,341,651,356,672,384,825,985,"1,095","1,238","1,406","2,250","1,863","14,880","2,436","1,196","1,167",944,"1,260","1,002",785,"1,240",924,931,871,"1,297",827
2021년10월_계_80~89세,"15,764","8,332",955,333,378,346,289,251,423,256,332,174,400,529,463,569,749,"1,064",821,"7,432","1,315",640,661,547,510,435,359,582,527,418,438,612,388
2021년10월_계_90~99세,"2,324","1,251",133,57,75,70,54,29,69,45,34,31,65,60,66,79,104,174,106,"1,073",165,75,76,100,70,72,58,86,84,61,78,84,64
2021년10월_계_100세 이상,84,47,3,1,2,1,4,1,2,4,1,1,4,0,2,4,3,8,6,37,4,3,3,1,5,4,0,1,1,6,6,2,1
2021년10월_남_총인구수,"336,326","129,471","12,451","2,243","2,160","2,268","1,619","1,231","3,271","1,118","2,825","2,267","4,454","4,730","9,270","11,488","22,712","27,457","17,907","206,855","12,444","11,307","10,899","4,560","9,224","13,950","6,772","18,384","9,069","20,367","35,274","24,294","30,311"
2021년10월_남_연령구간인구수,"336,326","129,471","12,451","2,243","2,160","2,268","1,619","1,231","3,271","1,118","2,825","2,267","4,454","4,730","9,270","11,488","22,712","27,457","17,907","206,855","12,444","11,307","10,899","4,560","9,224","13,950","6,772","18,384","9,069","20,367","35,274","24,294","30,311"
2021년10월_남_0~9세,"30,311","9,815",815,63,52,62,31,23,121,12,92,86,209,131,559,"1,002","2,267","2,886","1,404","20,496",570,839,709,145,472,476,430,"1,577",651,"2,707","5,255","2,029","4,636"
2021년10월_남_10~19세,"35,054","13,357","1,363",118,102,120,73,46,186,43,150,121,364,341,761,"1,633","3,038","3,572","1,326","21,697","1,132","1,181",971,270,571,592,599,"2,514","1,232","2,958","4,903","2,073","2,701"
2021년10월_남_20~29세,"50,266","18,411","1,584",247,199,244,138,110,495,79,272,327,613,643,"1,446","1,447","3,339","3,604","3,624","31,855","1,613","1,442","1,500",536,"1,391","3,325","1,205","3,100","1,375","2,667","4,361","5,133","4,207"
2021년10월_남_30~39세,"54,599","16,785","1,266",196,150,192,110,108,347,52,305,329,455,486,"1,395","1,133","3,451","3,941","2,869","37,814","1,115","1,418","1,601",450,"1,490","3,428","1,003","2,477","1,111","3,178","6,878","5,360","8,305"
2021년10월_남_40~49세,"57,844","21,579","2,241",266,232,276,194,155,425,118,358,330,635,697,"1,503","2,116","4,482","5,001","2,550","36,265","1,979","2,186","2,104",606,"1,451","2,202",920,"3,034","1,433","3,982","7,032","3,835","5,501"
2021년10월_남_50~59세,"53,257","22,042","2,475",430,437,457,327,244,598,244,582,411,863,924,"1,644","2,016","3,499","4,217","2,674","31,215","2,333","2,059","1,951",993,"1,746","1,982","1,152","3,168","1,670","2,895","4,736","3,441","3,089"
2021년10월_남_60~69세,"35,042","16,961","1,632",517,579,519,417,293,634,290,613,418,760,828,"1,288","1,365","1,815","2,789","2,204","18,081","2,053","1,384","1,294",893,"1,318","1,354",974,"1,765","1,077","1,412","1,552","1,620","1,385"
2021년10월_남_70~79세,"13,957","7,268",721,267,272,255,218,155,301,180,312,166,395,456,505,546,593,"1,028",898,"6,689","1,126",552,528,434,578,446,354,529,357,434,405,570,376
