,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2020년10월_계_총인구수,"31,625","9,997","3,180","2,134","2,025","4,457","2,257","1,525","2,253","1,758","2,039"
2020년10월_계_연령구간인구수,"31,625","9,997","3,180","2,134","2,025","4,457","2,257","1,525","2,253","1,758","2,039"
2020년10월_계_0~9세,"1,421",619,98,55,78,185,65,32,55,31,203
2020년10월_계_10~19세,"1,858",863,147,97,79,241,94,71,107,40,119
2020년10월_계_20~29세,"2,030",903,143,128,100,256,99,65,113,90,133
2020년10월_계_30~39세,"2,000",796,170,124,100,252,107,55,97,64,235
2020년10월_계_40~49세,"3,252","1,296",249,173,150,414,201,130,203,134,302
2020년10월_계_50~59세,"5,817","1,763",605,378,362,867,444,334,436,296,332
2020년10월_계_60~69세,"6,780","1,681",793,522,463,983,583,396,556,435,368
2020년10월_계_70~79세,"4,745","1,174",547,362,355,694,375,249,394,384,211
2020년10월_계_80~89세,"3,193",756,373,257,295,468,254,167,254,250,119
2020년10월_계_90~99세,500,141,53,37,40,90,31,25,36,31,16
2020년10월_계_100세 이상,29,5,2,1,3,7,4,1,2,3,1
2020년10월_남_총인구수,"15,925","4,922","1,598","1,040","1,022","2,223","1,132",773,"1,181",902,"1,132"
2020년10월_남_연령구간인구수,"15,925","4,922","1,598","1,040","1,022","2,223","1,132",773,"1,181",902,"1,132"
2020년10월_남_0~9세,731,323,50,29,42,98,34,16,28,13,98
2020년10월_남_10~19세,998,426,91,48,38,137,51,46,66,26,69
2020년10월_남_20~29세,"1,188",505,88,81,63,144,59,38,76,59,75
2020년10월_남_30~39세,"1,087",392,99,69,59,130,53,30,60,40,155
2020년10월_남_40~49세,"1,904",695,142,108,93,246,127,71,129,88,205
2020년10월_남_50~59세,"3,152",936,314,197,210,457,233,183,248,171,203
2020년10월_남_60~69세,"3,512",844,416,263,250,504,319,212,290,217,197
2020년10월_남_70~79세,"2,113",508,252,153,148,309,170,112,186,186,89
2020년10월_남_80~89세,"1,117",271,130,85,107,171,77,56,93,92,35
2020년10월_남_90~99세,118,21,16,6,12,24,9,9,5,10,6
2020년10월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년10월_여_총인구수,"15,700","5,075","1,582","1,094","1,003","2,234","1,125",752,"1,072",856,907
2020년10월_여_연령구간인구수,"15,700","5,075","1,582","1,094","1,003","2,234","1,125",752,"1,072",856,907
2020년10월_여_0~9세,690,296,48,26,36,87,31,16,27,18,105
2020년10월_여_10~19세,860,437,56,49,41,104,43,25,41,14,50
2020년10월_여_20~29세,842,398,55,47,37,112,40,27,37,31,58
2020년10월_여_30~39세,913,404,71,55,41,122,54,25,37,24,80
2020년10월_여_40~49세,"1,348",601,107,65,57,168,74,59,74,46,97
2020년10월_여_50~59세,"2,665",827,291,181,152,410,211,151,188,125,129
2020년10월_여_60~69세,"3,268",837,377,259,213,479,264,184,266,218,171
2020년10월_여_70~79세,"2,632",666,295,209,207,385,205,137,208,198,122
2020년10월_여_80~89세,"2,076",485,243,172,188,297,177,111,161,158,84
2020년10월_여_90~99세,382,120,37,31,28,66,22,16,31,21,10
2020년10월_여_100세 이상,24,4,2,0,3,4,4,1,2,3,1
