카테고리,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2021년04월_계_총인구수,"43,118","13,614","6,151","3,690","3,092","2,015","1,205","2,453","3,055","4,487","3,356"
2021년04월_계_연령구간인구수,"43,118","13,614","6,151","3,690","3,092","2,015","1,205","2,453","3,055","4,487","3,356"
2021년04월_계_0~9세,"1,885",915,196,112,77,59,26,73,106,185,136
2021년04월_계_10~19세,"2,209","1,266",189,107,94,39,39,92,80,198,105
2021년04월_계_20~29세,"3,369","1,426",461,219,153,116,68,181,182,315,248
2021년04월_계_30~39세,"3,220","1,338",463,250,179,116,58,125,170,299,222
2021년04월_계_40~49세,"4,651","2,025",596,332,221,161,101,233,259,433,290
2021년04월_계_50~59세,"8,298","2,422","1,324",772,592,393,232,438,568,883,674
2021년04월_계_60~69세,"9,603","2,159","1,517",999,809,545,289,581,842,"1,045",817
2021년04월_계_70~79세,"5,849","1,282",890,511,510,310,210,427,525,664,520
2021년04월_계_80~89세,"3,520",683,437,337,393,241,163,269,272,416,309
2021년04월_계_90~99세,503,98,74,50,64,33,18,34,50,48,34
2021년04월_계_100세 이상,11,0,4,1,0,2,1,0,1,1,1
2021년04월_남_총인구수,"22,314","6,912","3,365","2,019","1,535",997,627,"1,233","1,572","2,283","1,771"
2021년04월_남_연령구간인구수,"22,314","6,912","3,365","2,019","1,535",997,627,"1,233","1,572","2,283","1,771"
2021년04월_남_0~9세,952,431,108,55,45,28,18,38,53,100,76
2021년04월_남_10~19세,"1,221",706,105,68,42,17,24,50,43,111,55
2021년04월_남_20~29세,"2,030",829,305,137,100,70,41,99,111,186,152
2021년04월_남_30~39세,"1,749",685,271,160,96,76,39,67,84,159,112
2021년04월_남_40~49세,"2,777","1,082",419,220,126,105,66,147,178,255,179
2021년04월_남_50~59세,"4,547","1,280",738,452,309,199,132,250,307,498,382
2021년04월_남_60~69세,"5,057","1,094",821,566,439,277,152,287,446,530,445
2021년04월_남_70~79세,"2,732",561,440,248,241,140,100,197,257,297,251
2021년04월_남_80~89세,"1,139",226,144,102,121,79,51,89,80,137,110
2021년04월_남_90~99세,109,18,14,11,16,6,3,9,13,10,9
2021년04월_남_100세 이상,1,0,0,0,0,0,1,0,0,0,0
2021년04월_여_총인구수,"20,804","6,702","2,786","1,671","1,557","1,018",578,"1,220","1,483","2,204","1,585"
2021년04월_여_연령구간인구수,"20,804","6,702","2,786","1,671","1,557","1,018",578,"1,220","1,483","2,204","1,585"
2021년04월_여_0~9세,933,484,88,57,32,31,8,35,53,85,60
2021년04월_여_10~19세,988,560,84,39,52,22,15,42,37,87,50
2021년04월_여_20~29세,"1,339",597,156,82,53,46,27,82,71,129,96
2021년04월_여_30~39세,"1,471",653,192,90,83,40,19,58,86,140,110
2021년04월_여_40~49세,"1,874",943,177,112,95,56,35,86,81,178,111
2021년04월_여_50~59세,"3,751","1,142",586,320,283,194,100,188,261,385,292
2021년04월_여_60~69세,"4,546","1,065",696,433,370,268,137,294,396,515,372
2021년04월_여_70~79세,"3,117",721,450,263,269,170,110,230,268,367,269
2021년04월_여_80~89세,"2,381",457,293,235,272,162,112,180,192,279,199
2021년04월_여_90~99세,394,80,60,39,48,27,15,25,37,38,25
2021년04월_여_100세 이상,10,0,4,1,0,2,0,0,1,1,1
