카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2021년03월_계_총인구수,"62,049","19,420","9,583","13,956","5,566","9,639","3,885"
2021년03월_계_연령구간인구수,"62,049","19,420","9,583","13,956","5,566","9,639","3,885"
2021년03월_계_0~9세,"3,291","1,130",539,629,150,695,148
2021년03월_계_10~19세,"4,522","1,658",776,987,241,660,200
2021년03월_계_20~29세,"6,220","2,220",901,"1,304",528,"1,021",246
2021년03월_계_30~39세,"5,628","1,865",816,"1,168",381,"1,135",263
2021년03월_계_40~49세,"7,813","2,627","1,111","1,911",556,"1,220",388
2021년03월_계_50~59세,"11,234","3,417","1,717","2,645","1,118","1,626",711
2021년03월_계_60~69세,"12,284","3,311","2,040","2,732","1,420","1,793",988
2021년03월_계_70~79세,"6,810","1,929",985,"1,640",736,961,559
2021년03월_계_80~89세,"3,696","1,095",583,825,385,477,331
2021년03월_계_90~99세,518,152,112,111,49,47,47
2021년03월_계_100세 이상,33,16,3,4,2,4,4
2021년03월_남_총인구수,"32,009","9,895","4,922","7,148","2,931","5,121","1,992"
2021년03월_남_연령구간인구수,"32,009","9,895","4,922","7,148","2,931","5,121","1,992"
2021년03월_남_0~9세,"1,651",576,266,322,73,351,63
2021년03월_남_10~19세,"2,385",902,376,515,141,344,107
2021년03월_남_20~29세,"3,591","1,216",505,745,352,632,141
2021년03월_남_30~39세,"3,059",985,453,630,213,631,147
2021년03월_남_40~49세,"4,205","1,409",570,"1,023",319,661,223
2021년03월_남_50~59세,"5,961","1,813",918,"1,416",568,851,395
2021년03월_남_60~69세,"6,353","1,668","1,071","1,380",737,991,506
2021년03월_남_70~79세,"3,234",873,499,760,373,455,274
2021년03월_남_80~89세,"1,421",407,233,325,142,191,123
2021년03월_남_90~99세,138,42,29,30,12,13,12
2021년03월_남_100세 이상,11,4,2,2,1,1,1
2021년03월_여_총인구수,"30,040","9,525","4,661","6,808","2,635","4,518","1,893"
2021년03월_여_연령구간인구수,"30,040","9,525","4,661","6,808","2,635","4,518","1,893"
2021년03월_여_0~9세,"1,640",554,273,307,77,344,85
2021년03월_여_10~19세,"2,137",756,400,472,100,316,93
2021년03월_여_20~29세,"2,629","1,004",396,559,176,389,105
2021년03월_여_30~39세,"2,569",880,363,538,168,504,116
2021년03월_여_40~49세,"3,608","1,218",541,888,237,559,165
2021년03월_여_50~59세,"5,273","1,604",799,"1,229",550,775,316
2021년03월_여_60~69세,"5,931","1,643",969,"1,352",683,802,482
2021년03월_여_70~79세,"3,576","1,056",486,880,363,506,285
2021년03월_여_80~89세,"2,275",688,350,500,243,286,208
2021년03월_여_90~99세,380,110,83,81,37,34,35
2021년03월_여_100세 이상,22,12,1,2,1,3,3
