,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2020년09월_계_총인구수,"2,942,553","139,299","62,957","403,500","380,980","527,515","497,902","297,540","543,365","69,070","20,425"
2020년09월_계_연령구간인구수,"2,942,553","139,299","62,957","403,500","380,980","527,515","497,902","297,540","543,365","69,070","20,425"
2020년09월_계_0~9세,"232,208","12,062","3,907","27,444","37,905","42,895","33,772","18,944","50,967","3,348",964
2020년09월_계_10~19세,"275,316","12,566","5,104","31,802","42,122","50,323","43,741","27,063","56,865","4,609","1,121"
2020년09월_계_20~29세,"401,966","19,240","6,667","57,118","51,533","71,242","70,724","44,484","72,893","5,399","2,666"
2020년09월_계_30~39세,"408,436","21,313","7,056","55,567","56,861","73,501","68,440","38,058","80,373","5,353","1,914"
2020년09월_계_40~49세,"485,291","24,483","10,146","63,384","67,475","89,369","78,108","46,319","95,796","7,767","2,444"
2020년09월_계_50~59세,"512,938","20,291","10,174","67,363","63,796","90,608","90,789","60,919","93,342","12,032","3,624"
2020년09월_계_60~69세,"360,499","15,703","9,930","54,888","37,421","64,534","64,970","37,996","57,086","14,033","3,938"
2020년09월_계_70~79세,"176,377","9,274","6,655","31,126","15,393","30,618","31,329","15,394","24,113","10,106","2,369"
2020년09월_계_80~89세,"76,383","3,673","2,806","12,647","7,150","12,310","13,728","7,197","10,158","5,587","1,127"
2020년09월_계_90~99세,"12,195",617,439,"1,982","1,266","1,983","2,101","1,097","1,666",799,245
2020년09월_계_100세 이상,944,77,73,179,58,132,200,69,106,37,13
2020년09월_남_총인구수,"1,474,105","72,174","31,767","203,233","189,440","262,068","246,296","148,443","274,441","34,613","11,630"
2020년09월_남_연령구간인구수,"1,474,105","72,174","31,767","203,233","189,440","262,068","246,296","148,443","274,441","34,613","11,630"
2020년09월_남_0~9세,"119,162","6,210","2,067","14,041","19,324","22,040","17,282","9,602","26,335","1,762",499
2020년09월_남_10~19세,"141,587","6,504","2,632","16,370","21,635","25,737","22,652","13,969","29,112","2,374",602
2020년09월_남_20~29세,"209,648","9,765","3,608","30,223","26,689","36,795","36,385","23,273","37,852","3,095","1,963"
2020년09월_남_30~39세,"211,222","11,524","3,755","29,853","28,052","37,798","35,377","19,769","41,099","2,807","1,188"
2020년09월_남_40~49세,"247,944","13,410","5,462","33,466","33,266","45,419","39,270","23,057","48,827","4,225","1,542"
2020년09월_남_50~59세,"256,495","11,117","5,407","33,813","31,550","44,670","44,532","29,766","47,362","6,190","2,088"
2020년09월_남_60~69세,"178,704","7,830","4,785","26,337","19,256","31,180","31,609","19,528","29,083","6,974","2,122"
2020년09월_남_70~79세,"80,288","4,318","2,943","14,072","7,065","13,838","14,092","6,925","11,093","4,777","1,165"
2020년09월_남_80~89세,"26,167","1,318",977,"4,557","2,300","4,163","4,622","2,295","3,323","2,203",409
2020년09월_남_90~99세,"2,640",153,108,456,288,398,431,242,320,196,48
2020년09월_남_100세 이상,248,25,23,45,15,30,44,17,35,10,4
2020년09월_여_총인구수,"1,468,448","67,125","31,190","200,267","191,540","265,447","251,606","149,097","268,924","34,457","8,795"
2020년09월_여_연령구간인구수,"1,468,448","67,125","31,190","200,267","191,540","265,447","251,606","149,097","268,924","34,457","8,795"
2020년09월_여_0~9세,"113,046","5,852","1,840","13,403","18,581","20,855","16,490","9,342","24,632","1,586",465
2020년09월_여_10~19세,"133,729","6,062","2,472","15,432","20,487","24,586","21,089","13,094","27,753","2,235",519
2020년09월_여_20~29세,"192,318","9,475","3,059","26,895","24,844","34,447","34,339","21,211","35,041","2,304",703
2020년09월_여_30~39세,"197,214","9,789","3,301","25,714","28,809","35,703","33,063","18,289","39,274","2,546",726
2020년09월_여_40~49세,"237,347","11,073","4,684","29,918","34,209","43,950","38,838","23,262","46,969","3,542",902
2020년09월_여_50~59세,"256,443","9,174","4,767","33,550","32,246","45,938","46,257","31,153","45,980","5,842","1,536"
2020년09월_여_60~69세,"181,795","7,873","5,145","28,551","18,165","33,354","33,361","18,468","28,003","7,059","1,816"
2020년09월_여_70~79세,"96,089","4,956","3,712","17,054","8,328","16,780","17,237","8,469","13,020","5,329","1,204"
2020년09월_여_80~89세,"50,216","2,355","1,829","8,090","4,850","8,147","9,106","4,902","6,835","3,384",718
2020년09월_여_90~99세,"9,555",464,331,"1,526",978,"1,585","1,670",855,"1,346",603,197
2020년09월_여_100세 이상,696,52,50,134,43,102,156,52,71,27,9
