,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2021년05월_계_총인구수,"489,160","24,346","15,250","29,683","29,077","16,851","35,266","33,488","15,192","25,920","18,128","22,569","18,068","23,403","22,620","21,826","15,490","17,284","23,672","22,952","30,869","27,206"
2021년05월_계_연령구간인구수,"489,160","24,346","15,250","29,683","29,077","16,851","35,266","33,488","15,192","25,920","18,128","22,569","18,068","23,403","22,620","21,826","15,490","17,284","23,672","22,952","30,869","27,206"
2021년05월_계_0~9세,"21,166","1,145","1,226","1,962","1,119",641,"1,250","2,016",398,"1,101",952,660,545,782,776,343,"1,175",623,689,854,"1,694","1,215"
2021년05월_계_10~19세,"28,005","1,460","1,135","2,848","1,372",858,"1,670","2,642",558,"1,534",797,821,852,"1,036","1,094",501,"1,417",831,989,"1,485","2,246","1,859"
2021년05월_계_20~29세,"108,777","4,730","1,831","3,898","7,528","5,495","11,413","5,466","4,468","5,820","3,931","6,340","4,414","5,647","5,835","8,366","1,742","4,017","6,149","2,763","4,804","4,120"
2021년05월_계_30~39세,"85,737","4,034","2,534","3,859","5,939","3,511","6,814","5,201","2,994","4,940","3,592","4,550","3,195","4,666","3,932","5,652","1,810","3,208","4,822","2,591","4,258","3,635"
2021년05월_계_40~49세,"66,881","3,331","2,454","4,914","3,632","1,993","4,011","5,149","1,702","3,508","2,284","2,740","2,232","3,197","2,881","2,461","2,920","2,257","3,539","3,199","4,609","3,868"
2021년05월_계_50~59세,"67,334","3,367","2,298","4,772","3,435","1,649","3,866","4,869","1,807","3,458","2,537","2,770","2,420","3,096","3,176","1,779","2,555","2,378","3,216","4,129","4,940","4,817"
2021년05월_계_60~69세,"59,441","3,317","1,944","3,898","3,194","1,355","3,318","4,321","1,679","2,972","2,255","2,544","2,256","2,759","2,647","1,460","2,105","2,186","2,341","4,111","4,650","4,129"
2021년05월_계_70~79세,"36,615","2,109","1,200","2,448","2,058",948,"2,126","2,733","1,107","1,856","1,310","1,530","1,511","1,558","1,623",918,"1,244","1,229","1,319","2,597","2,658","2,533"
2021년05월_계_80~89세,"13,476",744,558,960,709,363,712,981,436,653,412,554,570,582,588,305,465,495,545,"1,051",879,914
2021년05월_계_90~99세,"1,624",103,67,118,85,34,84,105,39,75,57,55,69,74,64,36,53,57,62,165,114,108
2021년05월_계_100세 이상,104,6,3,6,6,4,2,5,4,3,1,5,4,6,4,5,4,3,1,7,17,8
2021년05월_남_총인구수,"245,552","11,948","7,450","14,336","14,103","8,496","16,871","16,346","7,268","12,626","8,752","11,645","9,066","12,892","11,365","11,539","7,593","8,721","14,279","11,506","15,099","13,651"
2021년05월_남_연령구간인구수,"245,552","11,948","7,450","14,336","14,103","8,496","16,871","16,346","7,268","12,626","8,752","11,645","9,066","12,892","11,365","11,539","7,593","8,721","14,279","11,506","15,099","13,651"
2021년05월_남_0~9세,"10,861",582,645,"1,022",572,326,614,"1,062",224,569,498,346,255,400,412,168,595,315,352,454,848,602
2021년05월_남_10~19세,"14,291",768,585,"1,481",672,421,817,"1,339",267,794,368,429,435,523,576,248,714,422,510,794,"1,130",998
2021년05월_남_20~29세,"52,917","2,253",946,"1,948","3,407","2,622","4,968","2,581","1,864","2,765","1,774","3,219","2,237","3,147","2,790","4,113",892,"1,800","3,624","1,477","2,355","2,135"
2021년05월_남_30~39세,"47,408","2,191","1,266","1,933","3,158","1,960","3,613","2,689","1,630","2,562","1,919","2,664","1,825","2,895","2,228","3,287",873,"1,779","3,270","1,465","2,212","1,989"
2021년05월_남_40~49세,"35,752","1,729","1,258","2,421","1,895","1,057","2,083","2,662",918,"1,773","1,166","1,507","1,208","1,938","1,492","1,425","1,474","1,204","2,392","1,721","2,384","2,045"
2021년05월_남_50~59세,"33,962","1,591","1,126","2,331","1,672",867,"1,940","2,408",907,"1,695","1,181","1,336","1,210","1,651","1,593","1,012","1,303","1,286","2,038","2,082","2,392","2,341"
2021년05월_남_60~69세,"27,645","1,545",873,"1,756","1,484",645,"1,527","1,947",776,"1,354","1,017","1,168",992,"1,329","1,249",705,966,"1,076","1,222","1,910","2,126","1,978"
2021년05월_남_70~79세,"16,715",963,523,"1,059",906,439,980,"1,229",488,813,612,723,676,744,746,434,576,599,605,"1,152","1,269","1,179"
2021년05월_남_80~89세,"5,609",302,209,352,315,146,308,414,184,277,205,238,216,253,265,140,186,220,251,410,351,367
2021년05월_남_90~99세,371,24,18,32,20,11,20,13,9,24,12,14,11,12,13,6,13,20,15,40,27,17
2021년05월_남_100세 이상,21,0,1,1,2,2,1,2,1,0,0,1,1,0,1,1,1,0,0,1,5,0
2021년05월_여_총인구수,"243,608","12,398","7,800","15,347","14,974","8,355","18,395","17,142","7,924","13,294","9,376","10,924","9,002","10,511","11,255","10,287","7,897","8,563","9,393","11,446","15,770","13,555"
2021년05월_여_연령구간인구수,"243,608","12,398","7,800","15,347","14,974","8,355","18,395","17,142","7,924","13,294","9,376","10,924","9,002","10,511","11,255","10,287","7,897","8,563","9,393","11,446","15,770","13,555"
2021년05월_여_0~9세,"10,305",563,581,940,547,315,636,954,174,532,454,314,290,382,364,175,580,308,337,400,846,613
2021년05월_여_10~19세,"13,714",692,550,"1,367",700,437,853,"1,303",291,740,429,392,417,513,518,253,703,409,479,691,"1,116",861
2021년05월_여_20~29세,"55,860","2,477",885,"1,950","4,121","2,873","6,445","2,885","2,604","3,055","2,157","3,121","2,177","2,500","3,045","4,253",850,"2,217","2,525","1,286","2,449","1,985"
2021년05월_여_30~39세,"38,329","1,843","1,268","1,926","2,781","1,551","3,201","2,512","1,364","2,378","1,673","1,886","1,370","1,771","1,704","2,365",937,"1,429","1,552","1,126","2,046","1,646"
2021년05월_여_40~49세,"31,129","1,602","1,196","2,493","1,737",936,"1,928","2,487",784,"1,735","1,118","1,233","1,024","1,259","1,389","1,036","1,446","1,053","1,147","1,478","2,225","1,823"
2021년05월_여_50~59세,"33,372","1,776","1,172","2,441","1,763",782,"1,926","2,461",900,"1,763","1,356","1,434","1,210","1,445","1,583",767,"1,252","1,092","1,178","2,047","2,548","2,476"
2021년05월_여_60~69세,"31,796","1,772","1,071","2,142","1,710",710,"1,791","2,374",903,"1,618","1,238","1,376","1,264","1,430","1,398",755,"1,139","1,110","1,119","2,201","2,524","2,151"
2021년05월_여_70~79세,"19,900","1,146",677,"1,389","1,152",509,"1,146","1,504",619,"1,043",698,807,835,814,877,484,668,630,714,"1,445","1,389","1,354"
2021년05월_여_80~89세,"7,867",442,349,608,394,217,404,567,252,376,207,316,354,329,323,165,279,275,294,641,528,547
2021년05월_여_90~99세,"1,253",79,49,86,65,23,64,92,30,51,45,41,58,62,51,30,40,37,47,125,87,91
2021년05월_여_100세 이상,83,6,2,5,4,2,1,3,3,3,1,4,3,6,3,4,3,3,1,6,12,8
