카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동
2020년03월_계_총인구수,"418,436","15,329","37,001","1,897","1,774","2,283","4,203","25,962","3,275","16,352","3,898","3,401","30,669","2,304","47,641","15,342","17,720","3,365","3,348","6,356","6,792","4,515","4,543","29,179","19,806","49,175","16,112","46,194"
2020년03월_계_연령구간인구수,"418,436","15,329","37,001","1,897","1,774","2,283","4,203","25,962","3,275","16,352","3,898","3,401","30,669","2,304","47,641","15,342","17,720","3,365","3,348","6,356","6,792","4,515","4,543","29,179","19,806","49,175","16,112","46,194"
2020년03월_계_0~9세,"42,977",952,"3,410",41,20,42,72,"5,473",83,905,74,99,"2,542",81,"5,090","1,169",986,162,292,719,929,660,351,"2,781","2,399","5,311","1,023","7,311"
2020년03월_계_10~19세,"46,218","1,205","4,019",70,74,155,167,"2,023",234,"1,340",122,165,"3,750",137,"6,441","1,823","2,158",201,241,493,657,199,375,"3,747","2,692","6,126","1,170","6,434"
2020년03월_계_20~29세,"57,656","1,623","4,908",107,103,156,312,"2,835",281,"2,616",539,334,"4,184",253,"6,039","2,160","2,859",617,458,"1,018",935,730,714,"4,311","2,593","7,128","4,224","5,619"
2020년03월_계_30~39세,"67,425","1,406","4,562",98,78,102,231,"8,035",195,"2,274",550,309,"3,742",183,"6,385","1,785","1,829",519,573,"1,369","1,437","1,183",745,"4,022","3,248","9,197","4,144","9,224"
2020년03월_계_40~49세,"73,583","2,061","5,938",143,153,212,473,"3,930",407,"2,447",730,379,"5,208",297,"9,180","2,639","2,983",462,463,"1,001","1,159",666,778,"5,959","4,015","9,490","2,624","9,786"
2020년03월_계_50~59세,"69,234","3,066","7,675",380,344,407,833,"2,015",665,"3,225",864,730,"6,155",492,"8,323","3,103","4,008",640,662,"1,113","1,064",665,819,"5,394","3,189","6,818","1,688","4,897"
2020년03월_계_60~69세,"36,703","2,518","3,774",457,413,487,890,942,610,"2,386",621,753,"3,375",503,"4,129","1,731","2,028",448,372,421,448,321,450,"1,859","1,085","3,159",812,"1,711"
2020년03월_계_70~79세,"15,662","1,424","1,619",307,303,409,678,398,460,841,279,442,"1,128",234,"1,417",638,614,234,179,156,117,70,226,744,381,"1,293",279,792
2020년03월_계_80~89세,"7,806",921,936,246,246,276,480,270,307,284,95,169,517,112,558,261,229,72,93,60,42,15,72,308,178,574,119,366
2020년03월_계_90~99세,"1,126",149,152,47,38,35,64,41,31,30,21,20,68,11,78,33,24,10,12,6,4,5,13,52,26,77,27,52
2020년03월_계_100세 이상,46,4,8,1,2,2,3,0,2,4,3,1,0,1,1,0,2,0,3,0,0,1,0,2,0,2,2,2
2020년03월_남_총인구수,"214,573","7,604","18,826",943,908,"1,165","2,189","13,609","1,679","8,100","2,146","1,756","15,020","1,198","24,063","7,590","8,910","1,870","1,821","3,435","3,502","2,478","2,421","15,188","10,326","25,274","8,586","23,966"
2020년03월_남_연령구간인구수,"214,573","7,604","18,826",943,908,"1,165","2,189","13,609","1,679","8,100","2,146","1,756","15,020","1,198","24,063","7,590","8,910","1,870","1,821","3,435","3,502","2,478","2,421","15,188","10,326","25,274","8,586","23,966"
2020년03월_남_0~9세,"22,198",474,"1,773",18,10,19,41,"2,796",53,457,37,55,"1,331",41,"2,599",609,535,73,163,385,471,353,172,"1,411","1,233","2,853",515,"3,721"
2020년03월_남_10~19세,"24,183",615,"2,165",37,36,99,86,"1,063",136,672,59,93,"1,907",71,"3,362",966,"1,168",103,133,249,322,96,189,"1,966","1,453","3,202",606,"3,329"
2020년03월_남_20~29세,"31,666",958,"2,815",67,68,92,186,"1,317",151,"1,448",301,204,"2,297",145,"3,384","1,217","1,607",385,259,544,506,425,421,"2,471","1,440","3,765","2,068","3,125"
2020년03월_남_30~39세,"35,840",746,"2,338",61,51,65,153,"4,401",107,"1,262",293,203,"1,873",116,"3,102",895,973,342,344,809,809,683,438,"2,106","1,688","4,824","2,459","4,699"
2020년03월_남_40~49세,"37,081","1,054","2,801",88,103,129,308,"2,165",232,"1,147",430,213,"2,380",164,"4,464","1,182","1,317",271,267,527,579,388,416,"2,943","1,971","4,889","1,478","5,175"
2020년03월_남_50~59세,"35,456","1,530","3,904",215,194,241,500,"1,102",366,"1,506",521,379,"2,906",255,"4,182","1,480","1,911",347,347,591,536,345,419,"2,899","1,752","3,476",897,"2,655"
