카테고리,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020년06월_계_총인구수,"63,546","7,184","6,363","8,005","10,894","3,844","1,723","3,092","8,282","4,161","6,868","3,130"
2020년06월_계_연령구간인구수,"63,546","7,184","6,363","8,005","10,894","3,844","1,723","3,092","8,282","4,161","6,868","3,130"
2020년06월_계_0~9세,"4,069",507,291,386,904,145,101,98,531,346,638,122
2020년06월_계_10~19세,"5,209",615,513,644,946,229,112,178,754,431,566,221
2020년06월_계_20~29세,"6,750",769,733,839,"1,250",433,179,281,855,474,625,312
2020년06월_계_30~39세,"7,278",854,600,807,"1,534",377,183,242,970,516,932,263
2020년06월_계_40~49세,"10,274","1,246",947,"1,275","1,849",537,264,383,"1,422",751,"1,169",431
2020년06월_계_50~59세,"10,248","1,209","1,088","1,298","1,611",713,257,536,"1,306",711,"1,054",465
2020년06월_계_60~69세,"9,848","1,001","1,069","1,343","1,504",699,299,634,"1,204",538,965,592
2020년06월_계_70~79세,"6,598",627,754,956,923,451,214,463,849,271,595,495
2020년06월_계_80~89세,"2,776",296,305,403,317,238,99,234,325,95,270,194
2020년06월_계_90~99세,421,50,52,48,45,21,14,36,57,23,49,26
2020년06월_계_100세 이상,75,10,11,6,11,1,1,7,9,5,5,9
2020년06월_남_총인구수,"32,101","3,694","3,205","3,983","5,397","1,969",841,"1,582","4,250","2,140","3,437","1,603"
2020년06월_남_연령구간인구수,"32,101","3,694","3,205","3,983","5,397","1,969",841,"1,582","4,250","2,140","3,437","1,603"
2020년06월_남_0~9세,"2,146",268,158,206,458,75,52,55,297,177,333,67
2020년06월_남_10~19세,"2,689",317,265,313,503,108,49,84,391,214,314,131
2020년06월_남_20~29세,"3,670",431,396,451,657,244,102,166,492,243,321,167
2020년06월_남_30~39세,"3,870",449,317,450,772,204,99,140,531,285,473,150
2020년06월_남_40~49세,"5,538",670,491,706,971,312,136,228,751,395,630,248
2020년06월_남_50~59세,"5,433",672,593,672,776,395,130,301,698,385,551,260
2020년06월_남_60~69세,"4,754",513,515,631,695,357,150,306,577,269,453,288
2020년06월_남_70~79세,"2,908",270,339,404,433,190,86,206,372,129,267,212
2020년06월_남_80~89세,962,88,116,137,117,76,32,85,121,34,88,68
2020년06월_남_90~99세,108,13,13,12,10,8,5,9,18,6,7,7
2020년06월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2020년06월_여_총인구수,"31,445","3,490","3,158","4,022","5,497","1,875",882,"1,510","4,032","2,021","3,431","1,527"
2020년06월_여_연령구간인구수,"31,445","3,490","3,158","4,022","5,497","1,875",882,"1,510","4,032","2,021","3,431","1,527"
2020년06월_여_0~9세,"1,923",239,133,180,446,70,49,43,234,169,305,55
2020년06월_여_10~19세,"2,520",298,248,331,443,121,63,94,363,217,252,90
2020년06월_여_20~29세,"3,080",338,337,388,593,189,77,115,363,231,304,145
2020년06월_여_30~39세,"3,408",405,283,357,762,173,84,102,439,231,459,113
2020년06월_여_40~49세,"4,736",576,456,569,878,225,128,155,671,356,539,183
2020년06월_여_50~59세,"4,815",537,495,626,835,318,127,235,608,326,503,205
2020년06월_여_60~69세,"5,094",488,554,712,809,342,149,328,627,269,512,304
2020년06월_여_70~79세,"3,690",357,415,552,490,261,128,257,477,142,328,283
2020년06월_여_80~89세,"1,814",208,189,266,200,162,67,149,204,61,182,126
2020년06월_여_90~99세,313,37,39,36,35,13,9,27,39,17,42,19
2020년06월_여_100세 이상,52,7,9,5,6,1,1,5,7,2,5,4
