,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2020년12월_계_총인구수,"62,522","39,066",930,430,"1,810","1,041","1,798","3,269","2,901","1,436","1,002","1,597","1,625","2,182","3,435"
2020년12월_계_연령구간인구수,"62,522","39,066",930,430,"1,810","1,041","1,798","3,269","2,901","1,436","1,002","1,597","1,625","2,182","3,435"
2020년12월_계_0~9세,"3,490","2,895",14,11,36,29,35,121,92,25,18,35,34,48,97
2020년12월_계_10~19세,"5,659","4,672",43,16,74,22,50,214,131,50,36,58,62,66,165
2020년12월_계_20~29세,"6,822","5,136",64,10,118,61,101,303,223,83,83,79,115,154,292
2020년12월_계_30~39세,"4,745","3,506",46,19,91,34,86,224,186,48,49,67,60,123,206
2020년12월_계_40~49세,"8,267","6,266",99,39,117,66,142,343,281,99,70,119,122,180,324
2020년12월_계_50~59세,"11,256","6,934",160,67,325,195,328,560,548,254,208,294,293,407,683
2020년12월_계_60~69세,"9,473","4,574",195,97,372,200,373,666,623,327,208,338,333,465,702
2020년12월_계_70~79세,"7,485","3,193",189,111,349,201,356,501,439,310,186,362,327,416,545
2020년12월_계_80~89세,"4,645","1,660",108,52,288,207,279,295,323,214,126,211,235,270,377
2020년12월_계_90~99세,644,216,12,8,40,25,44,42,54,23,16,33,41,51,39
2020년12월_계_100세 이상,36,14,0,0,0,1,4,0,1,3,2,1,3,2,5
2020년12월_남_총인구수,"30,906","19,201",481,202,923,504,877,"1,607","1,436",740,518,798,765,"1,112","1,742"
2020년12월_남_연령구간인구수,"30,906","19,201",481,202,923,504,877,"1,607","1,436",740,518,798,765,"1,112","1,742"
2020년12월_남_0~9세,"1,771","1,481",6,4,19,14,18,61,36,12,8,22,15,30,45
2020년12월_남_10~19세,"2,935","2,408",26,11,41,10,22,102,73,26,19,28,30,42,97
2020년12월_남_20~29세,"3,700","2,748",37,6,61,35,51,178,125,50,50,54,67,83,155
2020년12월_남_30~39세,"2,413","1,713",31,10,55,16,49,123,112,29,28,36,39,67,105
2020년12월_남_40~49세,"4,301","3,051",63,25,80,53,91,187,173,67,45,85,71,120,190
2020년12월_남_50~59세,"6,140","3,595",102,43,206,116,203,307,302,155,122,183,164,241,401
2020년12월_남_60~69세,"4,959","2,265",98,45,222,120,211,347,332,183,116,185,186,258,391
2020년12월_남_70~79세,"3,111","1,328",82,40,148,81,144,205,198,134,80,139,120,172,240
2020년12월_남_80~89세,"1,426",560,36,16,82,54,77,89,75,75,44,59,66,84,109
2020년12월_남_90~99세,147,51,0,2,9,5,9,8,10,9,6,7,7,15,9
2020년12월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2020년12월_여_총인구수,"31,616","19,865",449,228,887,537,921,"1,662","1,465",696,484,799,860,"1,070","1,693"
2020년12월_여_연령구간인구수,"31,616","19,865",449,228,887,537,921,"1,662","1,465",696,484,799,860,"1,070","1,693"
2020년12월_여_0~9세,"1,719","1,414",8,7,17,15,17,60,56,13,10,13,19,18,52
2020년12월_여_10~19세,"2,724","2,264",17,5,33,12,28,112,58,24,17,30,32,24,68
2020년12월_여_20~29세,"3,122","2,388",27,4,57,26,50,125,98,33,33,25,48,71,137
2020년12월_여_30~39세,"2,332","1,793",15,9,36,18,37,101,74,19,21,31,21,56,101
2020년12월_여_40~49세,"3,966","3,215",36,14,37,13,51,156,108,32,25,34,51,60,134
2020년12월_여_50~59세,"5,116","3,339",58,24,119,79,125,253,246,99,86,111,129,166,282
2020년12월_여_60~69세,"4,514","2,309",97,52,150,80,162,319,291,144,92,153,147,207,311
2020년12월_여_70~79세,"4,374","1,865",107,71,201,120,212,296,241,176,106,223,207,244,305
2020년12월_여_80~89세,"3,219","1,100",72,36,206,153,202,206,248,139,82,152,169,186,268
2020년12월_여_90~99세,497,165,12,6,31,20,35,34,44,14,10,26,34,36,30
2020년12월_여_100세 이상,33,13,0,0,0,1,2,0,1,3,2,1,3,2,5
