,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2021년03월_계_총인구수,"377,590","21,243","28,442","33,516","20,593","37,240","17,987","32,891","17,397","22,252","17,239","16,721","12,283","10,937","19,102","19,995","14,794","12,230","22,728"
2021년03월_계_연령구간인구수,"377,590","21,243","28,442","33,516","20,593","37,240","17,987","32,891","17,397","22,252","17,239","16,721","12,283","10,937","19,102","19,995","14,794","12,230","22,728"
2021년03월_계_0~9세,"25,520","1,388","1,202","2,854","1,094","2,781",974,"3,337","1,215","1,615",576,"1,151",844,806,"1,177","2,072",871,432,"1,131"
2021년03월_계_10~19세,"24,119","1,230",885,"2,906",974,"2,268",932,"2,917","1,012","1,539",855,"1,144",831,751,"1,236","1,716",871,592,"1,460"
2021년03월_계_20~29세,"59,268","2,848","7,074","3,798","3,594","7,296","2,733","3,793","2,761","3,738","3,433","2,163","1,570","1,349","3,188","2,728","2,171","1,887","3,144"
2021년03월_계_30~39세,"69,225","3,270","7,070","5,131","4,200","8,144","3,216","6,141","4,403","5,199","2,979","2,514","1,839","1,597","3,130","3,422","2,008","1,675","3,287"
2021년03월_계_40~49세,"56,028","3,094","3,567","5,364","2,854","5,229","2,698","5,973","2,761","3,283","2,394","2,444","1,915","1,614","2,683","3,312","2,101","1,632","3,110"
2021년03월_계_50~59세,"56,553","3,593","3,558","5,112","3,047","4,809","2,942","4,180","2,041","3,064","2,507","2,869","2,023","1,890","3,011","3,044","2,533","2,164","4,166"
2021년03월_계_60~69세,"47,104","3,229","2,968","4,140","2,669","3,731","2,346","3,559","1,658","2,182","2,271","2,441","1,833","1,675","2,641","2,145","2,170","1,863","3,583"
2021년03월_계_70~79세,"26,887","1,808","1,479","2,584","1,427","1,979","1,422","2,028","1,035","1,094","1,492","1,400",971,876,"1,386","1,055","1,460","1,403","1,988"
2021년03월_계_80~89세,"11,352",676,552,"1,430",654,874,640,837,444,470,657,522,405,332,581,446,536,523,773
2021년03월_계_90~99세,"1,468",99,86,191,76,123,80,119,64,66,70,68,49,45,68,53,69,57,85
2021년03월_계_100세 이상,66,8,1,6,4,6,4,7,3,2,5,5,3,2,1,2,4,2,1
2021년03월_남_총인구수,"186,692","10,862","15,194","15,771","10,123","17,404","9,074","16,109","8,554","11,038","8,772","8,238","6,123","5,306","9,347","10,009","7,335","6,032","11,401"
2021년03월_남_연령구간인구수,"186,692","10,862","15,194","15,771","10,123","17,404","9,074","16,109","8,554","11,038","8,772","8,238","6,123","5,306","9,347","10,009","7,335","6,032","11,401"
2021년03월_남_0~9세,"13,039",694,586,"1,421",567,"1,418",507,"1,719",656,824,285,600,421,397,591,"1,108",463,223,559
2021년03월_남_10~19세,"12,540",648,466,"1,452",486,"1,124",499,"1,519",507,800,437,588,450,374,708,930,477,292,783
2021년03월_남_20~29세,"27,687","1,521","3,041","1,740","1,638","2,955","1,290","1,794","1,187","1,697","1,677","1,073",825,678,"1,508","1,369","1,077",967,"1,650"
2021년03월_남_30~39세,"35,443","1,699","3,927","2,336","2,180","3,906","1,700","2,948","2,256","2,686","1,720","1,285",954,833,"1,570","1,701","1,048",924,"1,770"
2021년03월_남_40~49세,"28,892","1,624","2,107","2,522","1,490","2,578","1,442","3,009","1,485","1,657","1,313","1,257",990,822,"1,380","1,683","1,117",862,"1,554"
2021년03월_남_50~59세,"28,760","1,878","2,230","2,487","1,534","2,296","1,549","2,094","1,048","1,592","1,316","1,434","1,013",922,"1,461","1,508","1,246","1,062","2,090"
2021년03월_남_60~69세,"22,943","1,642","1,795","1,959","1,280","1,811","1,168","1,659",764,"1,086","1,095","1,168",885,759,"1,231","1,037","1,012",845,"1,747"
2021년03월_남_70~79세,"12,388",849,776,"1,166",654,931,644,982,467,495,639,633,421,402,654,492,662,609,912
2021년03월_남_80~89세,"4,592",272,239,615,273,351,252,345,166,181,271,185,155,113,232,167,221,237,317
2021년03월_남_90~99세,394,35,27,72,20,31,22,38,18,20,19,14,7,6,12,14,9,11,19
2021년03월_남_100세 이상,14,0,0,1,1,3,1,2,0,0,0,1,2,0,0,0,3,0,0
2021년03월_여_총인구수,"190,898","10,381","13,248","17,745","10,470","19,836","8,913","16,782","8,843","11,214","8,467","8,483","6,160","5,631","9,755","9,986","7,459","6,198","11,327"
2021년03월_여_연령구간인구수,"190,898","10,381","13,248","17,745","10,470","19,836","8,913","16,782","8,843","11,214","8,467","8,483","6,160","5,631","9,755","9,986","7,459","6,198","11,327"
2021년03월_여_0~9세,"12,481",694,616,"1,433",527,"1,363",467,"1,618",559,791,291,551,423,409,586,964,408,209,572
2021년03월_여_10~19세,"11,579",582,419,"1,454",488,"1,144",433,"1,398",505,739,418,556,381,377,528,786,394,300,677
2021년03월_여_20~29세,"31,581","1,327","4,033","2,058","1,956","4,341","1,443","1,999","1,574","2,041","1,756","1,090",745,671,"1,680","1,359","1,094",920,"1,494"
2021년03월_여_30~39세,"33,782","1,571","3,143","2,795","2,020","4,238","1,516","3,193","2,147","2,513","1,259","1,229",885,764,"1,560","1,721",960,751,"1,517"
2021년03월_여_40~49세,"27,136","1,470","1,460","2,842","1,364","2,651","1,256","2,964","1,276","1,626","1,081","1,187",925,792,"1,303","1,629",984,770,"1,556"
2021년03월_여_50~59세,"27,793","1,715","1,328","2,625","1,513","2,513","1,393","2,086",993,"1,472","1,191","1,435","1,010",968,"1,550","1,536","1,287","1,102","2,076"
2021년03월_여_60~69세,"24,161","1,587","1,173","2,181","1,389","1,920","1,178","1,900",894,"1,096","1,176","1,273",948,916,"1,410","1,108","1,158","1,018","1,836"
2021년03월_여_70~79세,"14,499",959,703,"1,418",773,"1,048",778,"1,046",568,599,853,767,550,474,732,563,798,794,"1,076"
2021년03월_여_80~89세,"6,760",404,313,815,381,523,388,492,278,289,386,337,250,219,349,279,315,286,456
2021년03월_여_90~99세,"1,074",64,59,119,56,92,58,81,46,46,51,54,42,39,56,39,60,46,66
2021년03월_여_100세 이상,52,8,1,5,3,3,3,5,3,2,5,4,1,2,1,2,1,2,1
