,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2021년12월_계_총인구수,"218,735","36,757","41,750","38,117","16,403","29,520","36,399","9,883","9,906"
2021년12월_계_연령구간인구수,"218,735","36,757","41,750","38,117","16,403","29,520","36,399","9,883","9,906"
2021년12월_계_0~9세,"24,039","4,330","5,429","3,363","2,528","2,655","4,311",706,717
2021년12월_계_10~19세,"23,783","3,995","4,933","6,075","1,460","2,082","3,729",747,762
2021년12월_계_20~29세,"26,213","3,888","4,395","4,786","1,077","4,343","4,754","1,724","1,246"
2021년12월_계_30~39세,"32,810","5,419","6,811","3,552","3,162","4,898","6,007","1,578","1,383"
2021년12월_계_40~49세,"39,009","6,737","7,934","8,107","2,984","4,239","6,077","1,448","1,483"
2021년12월_계_50~59세,"38,898","6,189","6,609","7,347","2,110","6,201","6,745","1,842","1,855"
2021년12월_계_60~69세,"22,365","3,974","3,708","2,962","1,932","3,584","3,256","1,283","1,666"
2021년12월_계_70~79세,"7,904","1,573","1,293","1,285",725,"1,044","1,009",405,570
2021년12월_계_80~89세,"3,224",569,557,562,355,408,438,129,206
2021년12월_계_90~99세,473,79,80,73,68,64,72,21,16
2021년12월_계_100세 이상,17,4,1,5,2,2,1,0,2
2021년12월_남_총인구수,"113,265","18,825","21,216","19,387","8,410","15,820","18,515","5,734","5,358"
2021년12월_남_연령구간인구수,"113,265","18,825","21,216","19,387","8,410","15,820","18,515","5,734","5,358"
2021년12월_남_0~9세,"12,400","2,239","2,815","1,737","1,274","1,395","2,222",343,375
2021년12월_남_10~19세,"12,289","2,023","2,510","3,201",734,"1,084","1,924",393,420
2021년12월_남_20~29세,"15,040","2,172","2,437","2,657",611,"2,539","2,604","1,233",787
2021년12월_남_30~39세,"17,110","2,765","3,423","1,738","1,556","2,820","3,030",981,797
2021년12월_남_40~49세,"20,001","3,520","4,050","3,789","1,668","2,278","3,012",826,858
2021년12월_남_50~59세,"19,842","3,112","3,304","3,910","1,075","3,133","3,329","1,037",942
2021년12월_남_60~69세,"11,777","2,090","1,891","1,592","1,009","1,918","1,757",673,847
2021년12월_남_70~79세,"3,726",719,604,567,359,518,501,206,252
2021년12월_남_80~89세,"1,006",170,171,182,111,128,126,40,78
2021년12월_남_90~99세,73,15,11,13,13,7,10,2,2
2021년12월_남_100세 이상,1,0,0,1,0,0,0,0,0
2021년12월_여_총인구수,"105,470","17,932","20,534","18,730","7,993","13,700","17,884","4,149","4,548"
2021년12월_여_연령구간인구수,"105,470","17,932","20,534","18,730","7,993","13,700","17,884","4,149","4,548"
2021년12월_여_0~9세,"11,639","2,091","2,614","1,626","1,254","1,260","2,089",363,342
2021년12월_여_10~19세,"11,494","1,972","2,423","2,874",726,998,"1,805",354,342
2021년12월_여_20~29세,"11,173","1,716","1,958","2,129",466,"1,804","2,150",491,459
2021년12월_여_30~39세,"15,700","2,654","3,388","1,814","1,606","2,078","2,977",597,586
2021년12월_여_40~49세,"19,008","3,217","3,884","4,318","1,316","1,961","3,065",622,625
2021년12월_여_50~59세,"19,056","3,077","3,305","3,437","1,035","3,068","3,416",805,913
2021년12월_여_60~69세,"10,588","1,884","1,817","1,370",923,"1,666","1,499",610,819
2021년12월_여_70~79세,"4,178",854,689,718,366,526,508,199,318
2021년12월_여_80~89세,"2,218",399,386,380,244,280,312,89,128
2021년12월_여_90~99세,400,64,69,60,55,57,62,19,14
2021년12월_여_100세 이상,16,4,1,4,2,2,1,0,2
