,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2021년08월_계_총인구수,"51,036","11,094","13,446","4,837","2,262","1,619","2,485","1,473","1,250","1,245","2,093","2,023","2,879","4,330"
2021년08월_계_연령구간인구수,"51,036","11,094","13,446","4,837","2,262","1,619","2,485","1,473","1,250","1,245","2,093","2,023","2,879","4,330"
2021년08월_계_0~9세,"2,185",525,956,140,47,24,65,45,31,30,37,50,42,193
2021년08월_계_10~19세,"3,371",847,"1,463",229,59,62,106,64,43,24,66,77,95,236
2021년08월_계_20~29세,"3,678","1,055","1,285",259,89,78,116,78,52,35,80,93,176,282
2021년08월_계_30~39세,"3,256",870,"1,047",274,115,52,108,75,56,42,79,98,131,309
2021년08월_계_40~49세,"5,554","1,477","1,884",473,157,136,207,91,70,99,139,136,231,454
2021년08월_계_50~59세,"8,242","1,913","2,286",768,299,221,362,202,175,169,303,298,494,752
2021년08월_계_60~69세,"10,485","2,046","2,139","1,089",522,384,540,357,298,318,555,501,742,994
2021년08월_계_70~79세,"7,999","1,470","1,410",912,472,333,494,285,242,291,432,410,566,682
2021년08월_계_80~89세,"5,366",782,822,594,429,274,421,233,244,207,345,301,338,376
2021년08월_계_90~99세,876,104,150,97,72,54,65,42,37,30,55,57,63,50
2021년08월_계_100세 이상,24,5,4,2,1,1,1,1,2,0,2,2,1,2
2021년08월_남_총인구수,"25,203","5,566","6,562","2,424","1,089",795,"1,171",703,600,630,"1,016",973,"1,424","2,250"
2021년08월_남_연령구간인구수,"25,203","5,566","6,562","2,424","1,089",795,"1,171",703,600,630,"1,016",973,"1,424","2,250"
2021년08월_남_0~9세,"1,105",257,483,71,29,9,32,21,17,21,18,26,28,93
2021년08월_남_10~19세,"1,730",448,761,119,35,30,47,29,20,13,31,34,47,116
2021년08월_남_20~29세,"2,127",590,716,150,58,47,63,53,31,21,47,60,116,175
2021년08월_남_30~39세,"1,818",465,513,169,71,30,67,44,32,26,44,63,84,210
2021년08월_남_40~49세,"3,024",785,912,282,96,88,114,54,42,69,81,74,142,285
2021년08월_남_50~59세,"4,521","1,084","1,194",444,152,127,200,109,102,101,158,171,262,417
2021년08월_남_60~69세,"5,139",980,"1,004",555,268,190,253,179,155,151,286,255,362,501
2021년08월_남_70~79세,"3,604",641,640,401,210,152,223,135,109,141,212,189,260,291
2021년08월_남_80~89세,"1,924",291,296,212,154,108,154,71,82,83,129,87,109,148
2021년08월_남_90~99세,210,25,43,20,16,14,18,8,10,4,10,14,14,14
2021년08월_남_100세 이상,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"25,833","5,528","6,884","2,413","1,173",824,"1,314",770,650,615,"1,077","1,050","1,455","2,080"
2021년08월_여_연령구간인구수,"25,833","5,528","6,884","2,413","1,173",824,"1,314",770,650,615,"1,077","1,050","1,455","2,080"
2021년08월_여_0~9세,"1,080",268,473,69,18,15,33,24,14,9,19,24,14,100
2021년08월_여_10~19세,"1,641",399,702,110,24,32,59,35,23,11,35,43,48,120
2021년08월_여_20~29세,"1,551",465,569,109,31,31,53,25,21,14,33,33,60,107
2021년08월_여_30~39세,"1,438",405,534,105,44,22,41,31,24,16,35,35,47,99
2021년08월_여_40~49세,"2,530",692,972,191,61,48,93,37,28,30,58,62,89,169
2021년08월_여_50~59세,"3,721",829,"1,092",324,147,94,162,93,73,68,145,127,232,335
2021년08월_여_60~69세,"5,346","1,066","1,135",534,254,194,287,178,143,167,269,246,380,493
2021년08월_여_70~79세,"4,395",829,770,511,262,181,271,150,133,150,220,221,306,391
2021년08월_여_80~89세,"3,442",491,526,382,275,166,267,162,162,124,216,214,229,228
2021년08월_여_90~99세,666,79,107,77,56,40,47,34,27,26,45,43,49,36
2021년08월_여_100세 이상,23,5,4,1,1,1,1,1,2,0,2,2,1,2
