카테고리,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2021년08월_계_총인구수,"144,564","12,150","9,190","12,819","16,725","11,448","10,338","10,842","11,106","6,679","9,610","15,815","9,159","8,683"
2021년08월_계_연령구간인구수,"144,564","12,150","9,190","12,819","16,725","11,448","10,338","10,842","11,106","6,679","9,610","15,815","9,159","8,683"
2021년08월_계_0~9세,"6,573",722,345,957,835,465,362,348,442,233,511,726,315,312
2021년08월_계_10~19세,"9,122","1,032",505,"1,044","1,274",734,574,565,623,370,625,884,460,432
2021년08월_계_20~29세,"20,139","1,223","1,114","1,267","2,055","1,808","1,986","1,524","1,607","1,352","1,454","2,380","1,311","1,058"
2021년08월_계_30~39세,"16,927","1,210","1,120","1,563","1,800","1,334","1,275","1,141","1,225",785,"1,237","2,143","1,107",987
2021년08월_계_40~49세,"19,714","1,911","1,307","1,831","2,403","1,527","1,288","1,433","1,324",812,"1,397","2,284","1,158","1,039"
2021년08월_계_50~59세,"24,391","2,000","1,623","2,077","2,901","1,993","1,615","1,897","1,988","1,051","1,553","2,630","1,536","1,527"
2021년08월_계_60~69세,"24,348","1,768","1,572","2,064","2,808","1,945","1,572","2,032","2,112","1,057","1,493","2,471","1,703","1,751"
2021년08월_계_70~79세,"14,896","1,371",969,"1,220","1,632","1,092","1,083","1,282","1,197",662,859,"1,515",992,"1,022"
2021년08월_계_80~89세,"7,465",788,571,695,899,480,526,554,519,315,420,682,516,500
2021년08월_계_90~99세,968,124,63,98,116,69,56,64,67,42,57,99,59,54
2021년08월_계_100세 이상,21,1,1,3,2,1,1,2,2,0,4,1,2,1
2021년08월_남_총인구수,"69,510","5,744","4,422","6,118","7,993","5,594","4,912","5,380","5,392","3,172","4,600","7,708","4,340","4,135"
2021년08월_남_연령구간인구수,"69,510","5,744","4,422","6,118","7,993","5,594","4,912","5,380","5,392","3,172","4,600","7,708","4,340","4,135"
2021년08월_남_0~9세,"3,394",402,175,493,438,245,171,190,212,141,233,383,157,154
2021년08월_남_10~19세,"4,812",567,276,499,662,395,289,309,335,203,336,462,248,231
2021년08월_남_20~29세,"10,018",629,535,668,"1,043",916,931,770,837,583,713,"1,196",643,554
2021년08월_남_30~39세,"8,929",599,597,801,926,705,691,653,676,396,632,"1,115",580,558
2021년08월_남_40~49세,"10,000",936,673,894,"1,153",788,661,789,691,440,679,"1,169",591,536
2021년08월_남_50~59세,"11,940",989,821,957,"1,444",952,806,991,978,515,777,"1,279",718,713
2021년08월_남_60~69세,"11,187",770,739,968,"1,256",911,729,944,967,490,708,"1,161",769,775
2021년08월_남_70~79세,"6,324",547,394,548,696,484,450,535,519,282,370,648,434,417
2021년08월_남_80~89세,"2,696",279,203,262,347,182,173,188,167,111,143,274,187,180
2021년08월_남_90~99세,207,26,9,28,28,16,11,10,10,11,9,21,12,16
2021년08월_남_100세 이상,3,0,0,0,0,0,0,1,0,0,0,0,1,1
2021년08월_여_총인구수,"75,054","6,406","4,768","6,701","8,732","5,854","5,426","5,462","5,714","3,507","5,010","8,107","4,819","4,548"
2021년08월_여_연령구간인구수,"75,054","6,406","4,768","6,701","8,732","5,854","5,426","5,462","5,714","3,507","5,010","8,107","4,819","4,548"
2021년08월_여_0~9세,"3,179",320,170,464,397,220,191,158,230,92,278,343,158,158
2021년08월_여_10~19세,"4,310",465,229,545,612,339,285,256,288,167,289,422,212,201
2021년08월_여_20~29세,"10,121",594,579,599,"1,012",892,"1,055",754,770,769,741,"1,184",668,504
2021년08월_여_30~39세,"7,998",611,523,762,874,629,584,488,549,389,605,"1,028",527,429
2021년08월_여_40~49세,"9,714",975,634,937,"1,250",739,627,644,633,372,718,"1,115",567,503
2021년08월_여_50~59세,"12,451","1,011",802,"1,120","1,457","1,041",809,906,"1,010",536,776,"1,351",818,814
2021년08월_여_60~69세,"13,161",998,833,"1,096","1,552","1,034",843,"1,088","1,145",567,785,"1,310",934,976
2021년08월_여_70~79세,"8,572",824,575,672,936,608,633,747,678,380,489,867,558,605
2021년08월_여_80~89세,"4,769",509,368,433,552,298,353,366,352,204,277,408,329,320
2021년08월_여_90~99세,761,98,54,70,88,53,45,54,57,31,48,78,47,38
2021년08월_여_100세 이상,18,1,1,3,2,1,1,1,2,0,4,1,1,0
