카테고리,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2020년02월_계_총인구수,"263,075","25,908","36,293","20,913","6,176","5,622","3,449","3,825","3,113","10,166","6,737","20,426","37,374","30,166","15,747","37,160"
2020년02월_계_연령구간인구수,"263,075","25,908","36,293","20,913","6,176","5,622","3,449","3,825","3,113","10,166","6,737","20,426","37,374","30,166","15,747","37,160"
2020년02월_계_0~9세,"21,501","1,808","2,581","2,453",195,157,84,118,109,608,244,"2,155","3,150","3,353","1,057","3,429"
2020년02월_계_10~19세,"23,331","2,884","3,764","1,167",326,271,124,168,126,635,441,"2,044","4,124","2,343",847,"4,067"
2020년02월_계_20~29세,"35,601","3,753","5,296","3,181",559,496,229,288,279,"1,630","1,042","2,164","4,558","3,853","3,370","4,903"
2020년02월_계_30~39세,"34,327","2,692","4,103","4,211",515,444,220,257,214,"1,257",707,"2,937","4,310","4,736","2,808","4,916"
2020년02월_계_40~49세,"41,895","4,189","6,581","2,946",692,655,292,418,324,"1,342",891,"3,511","6,640","4,616","2,261","6,537"
2020년02월_계_50~59세,"44,645","4,215","6,767","2,857","1,245","1,102",663,759,615,"1,985","1,342","3,057","6,288","5,109","2,416","6,225"
2020년02월_계_60~69세,"33,023","3,202","3,771","2,215","1,351","1,218",825,839,682,"1,649","1,088","2,418","4,584","3,468","1,713","4,000"
2020년02월_계_70~79세,"18,853","2,044","2,232","1,214",788,802,593,553,481,721,641,"1,463","2,514","1,886",862,"2,059"
2020년02월_계_80~89세,"8,839",999,"1,099",597,448,423,368,369,239,303,304,597,"1,087",724,367,915
2020년02월_계_90~99세,988,109,91,67,51,51,48,55,40,34,34,72,113,75,42,106
2020년02월_계_100세 이상,72,13,8,5,6,3,3,1,4,2,3,8,6,3,4,3
2020년02월_남_총인구수,"132,513","13,056","18,804","11,100","3,299","2,867","1,813","1,987","1,588","4,918","3,351","10,060","17,978","14,532","8,564","18,596"
2020년02월_남_연령구간인구수,"132,513","13,056","18,804","11,100","3,299","2,867","1,813","1,987","1,588","4,918","3,351","10,060","17,978","14,532","8,564","18,596"
2020년02월_남_0~9세,"10,954",960,"1,304","1,298",111,80,43,62,56,281,128,"1,084","1,543","1,673",559,"1,772"
2020년02월_남_10~19세,"12,205","1,525","1,950",626,172,136,64,91,75,340,235,"1,108","2,042","1,174",469,"2,198"
2020년02월_남_20~29세,"19,544","2,106","2,951","1,759",330,290,148,168,178,854,576,"1,199","2,369","2,030","1,867","2,719"
2020년02월_남_30~39세,"18,367","1,467","2,325","2,376",296,275,146,153,112,627,403,"1,482","2,118","2,343","1,717","2,527"
2020년02월_남_40~49세,"21,388","2,068","3,366","1,688",416,400,184,244,192,641,445,"1,760","3,232","2,218","1,301","3,233"
2020년02월_남_50~59세,"22,478","2,164","3,650","1,464",701,557,371,437,333,942,675,"1,462","3,020","2,368","1,271","3,063"
2020년02월_남_60~69세,"16,114","1,541","1,931","1,125",729,627,449,464,340,801,528,"1,112","2,161","1,582",820,"1,904"
2020년02월_남_70~79세,"8,223",847,940,547,381,356,276,248,222,332,252,615,"1,074",835,424,874
2020년02월_남_80~89세,"3,009",354,356,203,150,138,120,108,65,93,102,218,395,289,128,290
2020년02월_남_90~99세,218,21,31,14,10,8,12,12,13,7,7,18,24,19,7,15
2020년02월_남_100세 이상,13,3,0,0,3,0,0,0,2,0,0,2,0,1,1,1
2020년02월_여_총인구수,"130,562","12,852","17,489","9,813","2,877","2,755","1,636","1,838","1,525","5,248","3,386","10,366","19,396","15,634","7,183","18,564"
2020년02월_여_연령구간인구수,"130,562","12,852","17,489","9,813","2,877","2,755","1,636","1,838","1,525","5,248","3,386","10,366","19,396","15,634","7,183","18,564"
2020년02월_여_0~9세,"10,547",848,"1,277","1,155",84,77,41,56,53,327,116,"1,071","1,607","1,680",498,"1,657"
2020년02월_여_10~19세,"11,126","1,359","1,814",541,154,135,60,77,51,295,206,936,"2,082","1,169",378,"1,869"
2020년02월_여_20~29세,"16,057","1,647","2,345","1,422",229,206,81,120,101,776,466,965,"2,189","1,823","1,503","2,184"
2020년02월_여_30~39세,"15,960","1,225","1,778","1,835",219,169,74,104,102,630,304,"1,455","2,192","2,393","1,091","2,389"
2020년02월_여_40~49세,"20,507","2,121","3,215","1,258",276,255,108,174,132,701,446,"1,751","3,408","2,398",960,"3,304"
2020년02월_여_50~59세,"22,167","2,051","3,117","1,393",544,545,292,322,282,"1,043",667,"1,595","3,268","2,741","1,145","3,162"
2020년02월_여_60~69세,"16,909","1,661","1,840","1,090",622,591,376,375,342,848,560,"1,306","2,423","1,886",893,"2,096"
2020년02월_여_70~79세,"10,630","1,197","1,292",667,407,446,317,305,259,389,389,848,"1,440","1,051",438,"1,185"
2020년02월_여_80~89세,"5,830",645,743,394,298,285,248,261,174,210,202,379,692,435,239,625
2020년02월_여_90~99세,770,88,60,53,41,43,36,43,27,27,27,54,89,56,35,91
2020년02월_여_100세 이상,59,10,8,5,3,3,3,1,2,2,3,6,6,2,3,2
