,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2021년09월_계_총인구수,"1,123,236","213,833","315,118","154,566","217,736","221,983"
2021년09월_계_연령구간인구수,"1,123,236","213,833","315,118","154,566","217,736","221,983"
2021년09월_계_0~9세,"93,408","15,602","22,800","13,994","24,221","16,791"
2021년09월_계_10~19세,"110,255","19,620","29,354","15,575","23,659","22,047"
2021년09월_계_20~29세,"139,144","25,592","44,019","17,012","26,429","26,092"
2021년09월_계_30~39세,"146,202","25,422","41,186","21,666","32,911","25,017"
2021년09월_계_40~49세,"184,256","33,310","49,910","26,052","38,691","36,293"
2021년09월_계_50~59세,"206,803","40,280","60,829","24,912","38,581","42,201"
2021년09월_계_60~69세,"153,994","33,304","43,434","23,696","21,836","31,724"
2021년09월_계_70~79세,"62,185","14,703","16,968","8,679","7,762","14,073"
2021년09월_계_80~89세,"23,734","5,356","5,908","2,608","3,165","6,697"
2021년09월_계_90~99세,"3,169",628,690,363,462,"1,026"
2021년09월_계_100세 이상,86,16,20,9,19,22
2021년09월_남_총인구수,"577,093","108,235","160,693","80,683","112,757","114,725"
2021년09월_남_연령구간인구수,"577,093","108,235","160,693","80,683","112,757","114,725"
2021년09월_남_0~9세,"47,994","8,024","11,710","7,136","12,482","8,642"
2021년09월_남_10~19세,"57,921","10,436","15,509","8,269","12,259","11,448"
2021년09월_남_20~29세,"78,470","14,311","24,543","9,529","15,150","14,937"
2021년09월_남_30~39세,"77,768","13,360","22,028","11,899","17,112","13,369"
2021년09월_남_40~49세,"94,168","17,021","24,565","14,177","19,827","18,578"
2021년09월_남_50~59세,"104,989","20,056","30,404","12,522","19,742","22,265"
2021년09월_남_60~69세,"77,546","16,218","21,619","11,775","11,497","16,437"
2021년09월_남_70~79세,"29,665","6,814","8,096","4,429","3,651","6,675"
2021년09월_남_80~89세,"8,026","1,891","2,098",891,963,"2,183"
2021년09월_남_90~99세,535,102,120,54,70,189
2021년09월_남_100세 이상,11,2,1,2,4,2
2021년09월_여_총인구수,"546,143","105,598","154,425","73,883","104,979","107,258"
2021년09월_여_연령구간인구수,"546,143","105,598","154,425","73,883","104,979","107,258"
2021년09월_여_0~9세,"45,414","7,578","11,090","6,858","11,739","8,149"
2021년09월_여_10~19세,"52,334","9,184","13,845","7,306","11,400","10,599"
2021년09월_여_20~29세,"60,674","11,281","19,476","7,483","11,279","11,155"
2021년09월_여_30~39세,"68,434","12,062","19,158","9,767","15,799","11,648"
2021년09월_여_40~49세,"90,088","16,289","25,345","11,875","18,864","17,715"
2021년09월_여_50~59세,"101,814","20,224","30,425","12,390","18,839","19,936"
2021년09월_여_60~69세,"76,448","17,086","21,815","11,921","10,339","15,287"
2021년09월_여_70~79세,"32,520","7,889","8,872","4,250","4,111","7,398"
2021년09월_여_80~89세,"15,708","3,465","3,810","1,717","2,202","4,514"
2021년09월_여_90~99세,"2,634",526,570,309,392,837
2021년09월_여_100세 이상,75,14,19,7,15,20
