,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2020년09월_계_총인구수,"327,248","25,422","29,786","14,420","27,333","25,290","21,768","28,007","21,941","19,422","16,845","19,381","29,188","20,397","28,048"
2020년09월_계_연령구간인구수,"327,248","25,422","29,786","14,420","27,333","25,290","21,768","28,007","21,941","19,422","16,845","19,381","29,188","20,397","28,048"
2020년09월_계_0~9세,"19,265","1,593","1,882",821,"1,826","1,583",906,"1,680","1,232","1,055",828,"1,251","1,602",975,"2,031"
2020년09월_계_10~19세,"26,089","2,201","2,334","1,104","2,674","2,012","1,240","1,759","1,666","1,443","1,048","2,063","2,266","1,493","2,786"
2020년09월_계_20~29세,"43,900","3,343","4,114","1,867","3,766","3,745","2,685","3,422","3,114","2,575","2,527","2,602","3,961","2,732","3,447"
2020년09월_계_30~39세,"41,443","3,465","4,237","1,709","3,440","3,540","2,402","3,685","2,630","2,648","2,389","2,379","3,395","2,252","3,272"
2020년09월_계_40~49세,"49,149","4,163","4,631","2,202","4,484","3,627","2,980","3,860","3,278","2,833","2,455","3,025","4,299","3,008","4,304"
2020년09월_계_50~59세,"57,353","4,209","5,184","2,638","4,947","4,485","3,842","4,557","3,725","3,324","2,844","3,474","5,443","3,814","4,867"
2020년09월_계_60~69세,"49,173","3,457","4,077","2,123","3,437","3,590","3,886","4,888","3,300","3,028","2,446","2,737","4,577","3,313","4,314"
2020년09월_계_70~79세,"27,670","1,998","2,307","1,377","1,742","1,776","2,700","2,825","2,054","1,668","1,628","1,176","2,581","1,947","1,891"
2020년09월_계_80~89세,"11,392",870,920,514,872,791,995,"1,135",816,716,593,562,909,732,967
2020년09월_계_90~99세,"1,633",115,97,55,135,128,114,168,109,114,78,105,143,113,159
2020년09월_계_100세 이상,181,8,3,10,10,13,18,28,17,18,9,7,12,18,10
2020년09월_남_총인구수,"159,723","12,116","14,586","7,213","13,155","12,150","11,022","13,721","10,579","9,364","8,177","9,203","14,498","10,309","13,630"
2020년09월_남_연령구간인구수,"159,723","12,116","14,586","7,213","13,155","12,150","11,022","13,721","10,579","9,364","8,177","9,203","14,498","10,309","13,630"
2020년09월_남_0~9세,"9,951",814,980,424,935,824,450,848,639,557,424,663,795,504,"1,094"
2020년09월_남_10~19세,"13,454","1,113","1,226",574,"1,374","1,026",663,917,809,760,546,"1,028","1,157",783,"1,478"
2020년09월_남_20~29세,"22,372","1,655","2,052",978,"1,915","1,831","1,445","1,739","1,473","1,314","1,234","1,330","2,042","1,488","1,876"
2020년09월_남_30~39세,"21,188","1,736","2,141",912,"1,671","1,817","1,329","1,877","1,350","1,370","1,233","1,152","1,744","1,229","1,627"
2020년09월_남_40~49세,"24,348","2,025","2,343","1,142","2,106","1,724","1,614","1,975","1,662","1,412","1,270","1,382","2,119","1,552","2,022"
2020년09월_남_50~59세,"27,356","1,938","2,481","1,313","2,346","2,063","1,921","2,215","1,794","1,504","1,314","1,560","2,748","1,899","2,260"
2020년09월_남_60~69세,"23,474","1,611","1,921","1,037","1,655","1,696","1,863","2,323","1,555","1,416","1,155","1,317","2,216","1,648","2,061"
2020년09월_남_70~79세,"12,728",868,"1,037",615,798,829,"1,288","1,337",951,727,722,544,"1,281",886,845
2020년09월_남_80~89세,"4,367",318,381,204,305,300,406,445,316,268,256,196,361,285,326
2020년09월_남_90~99세,436,36,24,11,46,36,40,39,23,29,22,30,33,30,37
