카테고리,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2021년05월_계_총인구수,"62,225","38,918",930,427,"1,788","1,052","1,782","3,273","2,878","1,430",988,"1,598","1,622","2,142","3,397"
2021년05월_계_연령구간인구수,"62,225","38,918",930,427,"1,788","1,052","1,782","3,273","2,878","1,430",988,"1,598","1,622","2,142","3,397"
2021년05월_계_0~9세,"3,375","2,788",18,9,31,30,36,119,85,27,19,35,34,47,97
2021년05월_계_10~19세,"5,553","4,534",40,17,62,23,50,261,121,56,34,63,60,61,171
2021년05월_계_20~29세,"6,708","5,122",62,8,117,54,98,276,217,77,73,78,112,138,276
2021년05월_계_30~39세,"4,602","3,412",43,18,83,41,78,214,183,47,48,65,61,115,194
2021년05월_계_40~49세,"8,062","6,133",103,35,118,61,135,336,273,101,69,107,113,168,310
2021년05월_계_50~59세,"11,248","7,025",157,71,310,196,305,542,533,252,209,291,300,388,669
2021년05월_계_60~69세,"9,770","4,732",204,95,388,213,392,676,645,331,208,363,328,480,715
2021년05월_계_70~79세,"7,358","3,213",179,108,340,193,341,495,421,288,180,346,331,398,525
2021년05월_계_80~89세,"4,851","1,728",111,60,295,216,295,309,343,225,130,219,239,291,390
2021년05월_계_90~99세,667,217,12,6,44,24,49,45,56,25,16,30,43,53,47
2021년05월_계_100세 이상,31,14,1,0,0,1,3,0,1,1,2,1,1,3,3
2021년05월_남_총인구수,"30,786","19,125",476,202,918,514,874,"1,618","1,437",736,508,801,765,"1,089","1,723"
2021년05월_남_연령구간인구수,"30,786","19,125",476,202,918,514,874,"1,618","1,437",736,508,801,765,"1,089","1,723"
2021년05월_남_0~9세,"1,723","1,427",6,2,18,15,21,61,33,15,11,21,16,30,47
2021년05월_남_10~19세,"2,877","2,345",23,12,35,10,22,121,70,31,15,32,27,37,97
2021년05월_남_20~29세,"3,662","2,747",36,5,64,32,56,167,122,46,47,52,66,74,148
2021년05월_남_30~39세,"2,327","1,664",27,10,50,20,44,117,112,28,25,35,37,63,95
2021년05월_남_40~49세,"4,155","2,961",65,21,79,47,84,190,164,65,42,75,62,113,187
2021년05월_남_50~59세,"6,158","3,668",99,46,195,117,192,297,305,158,119,180,171,227,384
2021년05월_남_60~69세,"5,148","2,341",103,44,236,132,218,356,345,187,119,203,187,272,405
2021년05월_남_70~79세,"3,100","1,341",81,43,150,77,147,206,191,117,82,136,126,164,239
2021년05월_남_80~89세,"1,477",579,36,18,80,57,79,95,82,81,42,61,67,92,108
2021년05월_남_90~99세,156,51,0,1,11,7,9,8,13,8,6,6,6,17,13
2021년05월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2021년05월_여_총인구수,"31,439","19,793",454,225,870,538,908,"1,655","1,441",694,480,797,857,"1,053","1,674"
2021년05월_여_연령구간인구수,"31,439","19,793",454,225,870,538,908,"1,655","1,441",694,480,797,857,"1,053","1,674"
2021년05월_여_0~9세,"1,652","1,361",12,7,13,15,15,58,52,12,8,14,18,17,50
2021년05월_여_10~19세,"2,676","2,189",17,5,27,13,28,140,51,25,19,31,33,24,74
2021년05월_여_20~29세,"3,046","2,375",26,3,53,22,42,109,95,31,26,26,46,64,128
2021년05월_여_30~39세,"2,275","1,748",16,8,33,21,34,97,71,19,23,30,24,52,99
2021년05월_여_40~49세,"3,907","3,172",38,14,39,14,51,146,109,36,27,32,51,55,123
2021년05월_여_50~59세,"5,090","3,357",58,25,115,79,113,245,228,94,90,111,129,161,285
2021년05월_여_60~69세,"4,622","2,391",101,51,152,81,174,320,300,144,89,160,141,208,310
2021년05월_여_70~79세,"4,258","1,872",98,65,190,116,194,289,230,171,98,210,205,234,286
2021년05월_여_80~89세,"3,374","1,149",75,42,215,159,216,214,261,144,88,158,172,199,282
2021년05월_여_90~99세,511,166,12,5,33,17,40,37,43,17,10,24,37,36,34
2021년05월_여_100세 이상,28,13,1,0,0,1,1,0,1,1,2,1,1,3,3
