,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2021년03월_계_총인구수,"213,776","7,182","6,919","9,074","13,782","29,074","5,290","7,259","8,760","6,499","12,361","6,505","19,985","8,252","45,939","20,586","6,309"
2021년03월_계_연령구간인구수,"213,776","7,182","6,919","9,074","13,782","29,074","5,290","7,259","8,760","6,499","12,361","6,505","19,985","8,252","45,939","20,586","6,309"
2021년03월_계_0~9세,"17,192",486,528,470,843,"2,934",271,360,351,247,973,467,"1,446",485,"3,822","3,101",408
2021년03월_계_10~19세,"22,641",740,672,764,"1,314","4,918",281,405,583,345,"1,114",443,"2,048",577,"5,934","2,117",386
2021년03월_계_20~29세,"27,683",811,859,"1,240","1,991","3,308",657,844,"1,166",962,"1,498",977,"2,890","1,105","6,405","2,422",548
2021년03월_계_30~39세,"25,259",686,860,894,"1,556","2,809",643,780,"1,050",740,"1,463",925,"2,293",912,"5,271","3,790",587
2021년03월_계_40~49세,"34,038","1,057","1,097","1,217","2,120","5,642",726,966,"1,197",823,"1,895",904,"3,102","1,120","7,769","3,594",809
2021년03월_계_50~59세,"32,768","1,114","1,008","1,498","2,148","4,270",885,"1,198","1,499","1,175","1,888",958,"3,320","1,417","6,851","2,568",971
2021년03월_계_60~69세,"28,251","1,014",932,"1,423","1,953","2,918",829,"1,171","1,538","1,220","1,849",914,"2,710","1,401","5,346","1,854","1,179"
2021년03월_계_70~79세,"17,381",858,662,"1,049","1,149","1,452",683,"1,048",967,693,"1,130",639,"1,532",885,"3,082",738,814
2021년03월_계_80~89세,"7,392",357,267,449,600,697,283,424,361,260,468,247,564,308,"1,252",328,527
2021년03월_계_90~99세,"1,135",58,28,68,105,124,32,63,46,34,81,31,76,41,202,72,74
2021년03월_계_100세 이상,36,1,6,2,3,2,0,0,2,0,2,0,4,1,5,2,6
2021년03월_남_총인구수,"102,891","3,290","3,295","4,281","6,506","13,634","2,727","3,729","4,498","3,248","5,871","3,211","9,681","4,100","21,689","9,999","3,132"
2021년03월_남_연령구간인구수,"102,891","3,290","3,295","4,281","6,506","13,634","2,727","3,729","4,498","3,248","5,871","3,211","9,681","4,100","21,689","9,999","3,132"
2021년03월_남_0~9세,"8,779",245,271,236,450,"1,455",134,184,181,125,511,252,740,237,"1,904","1,621",233
2021년03월_남_10~19세,"11,290",364,326,389,652,"2,479",158,210,313,176,540,213,"1,046",292,"2,875","1,075",182
2021년03월_남_20~29세,"14,259",400,446,627,"1,006","1,727",342,481,639,514,775,451,"1,467",603,"3,240","1,229",312
2021년03월_남_30~39세,"12,562",336,423,475,792,"1,246",352,436,597,417,724,489,"1,162",492,"2,486","1,811",324
2021년03월_남_40~49세,"16,779",515,543,598,"1,028","2,544",409,586,689,478,934,493,"1,525",578,"3,625","1,782",452
2021년03월_남_50~59세,"15,514",494,484,692,973,"1,975",498,640,753,559,871,477,"1,546",665,"3,177","1,201",509
2021년03월_남_60~69세,"12,965",425,400,627,886,"1,302",396,562,731,574,824,425,"1,276",668,"2,435",833,601
2021년03월_남_70~79세,"7,779",363,292,462,489,636,312,462,450,308,479,299,691,424,"1,419",341,352
2021년03월_남_80~89세,"2,712",133,99,159,204,244,118,154,132,91,192,107,218,129,478,97,157
2021년03월_남_90~99세,247,14,9,16,26,26,8,14,13,6,21,5,9,12,50,9,9
2021년03월_남_100세 이상,5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021년03월_여_총인구수,"110,885","3,892","3,624","4,793","7,276","15,440","2,563","3,530","4,262","3,251","6,490","3,294","10,304","4,152","24,250","10,587","3,177"
2021년03월_여_연령구간인구수,"110,885","3,892","3,624","4,793","7,276","15,440","2,563","3,530","4,262","3,251","6,490","3,294","10,304","4,152","24,250","10,587","3,177"
2021년03월_여_0~9세,"8,413",241,257,234,393,"1,479",137,176,170,122,462,215,706,248,"1,918","1,480",175
2021년03월_여_10~19세,"11,351",376,346,375,662,"2,439",123,195,270,169,574,230,"1,002",285,"3,059","1,042",204
2021년03월_여_20~29세,"13,424",411,413,613,985,"1,581",315,363,527,448,723,526,"1,423",502,"3,165","1,193",236
2021년03월_여_30~39세,"12,697",350,437,419,764,"1,563",291,344,453,323,739,436,"1,131",420,"2,785","1,979",263
2021년03월_여_40~49세,"17,259",542,554,619,"1,092","3,098",317,380,508,345,961,411,"1,577",542,"4,144","1,812",357
2021년03월_여_50~59세,"17,254",620,524,806,"1,175","2,295",387,558,746,616,"1,017",481,"1,774",752,"3,674","1,367",462
2021년03월_여_60~69세,"15,286",589,532,796,"1,067","1,616",433,609,807,646,"1,025",489,"1,434",733,"2,911","1,021",578
2021년03월_여_70~79세,"9,602",495,370,587,660,816,371,586,517,385,651,340,841,461,"1,663",397,462
2021년03월_여_80~89세,"4,680",224,168,290,396,453,165,270,229,169,276,140,346,179,774,231,370
2021년03월_여_90~99세,888,44,19,52,79,98,24,49,33,28,60,26,67,29,152,63,65
2021년03월_여_100세 이상,31,0,4,2,3,2,0,0,2,0,2,0,3,1,5,2,5
