,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2021년09월_계_총인구수,"30,129","10,782","2,940","3,556","3,434","3,406","3,087","2,277",264,383
2021년09월_계_연령구간인구수,"30,129","10,782","2,940","3,556","3,434","3,406","3,087","2,277",264,383
2021년09월_계_0~9세,"1,582",848,96,177,116,113,99,96,14,23
2021년09월_계_10~19세,"2,170","1,145",164,248,154,178,109,126,6,40
2021년09월_계_20~29세,"2,432","1,222",177,238,216,218,198,125,16,22
2021년09월_계_30~39세,"2,086","1,074",161,234,170,168,131,114,13,21
2021년09월_계_40~49세,"3,426","1,559",284,381,348,290,223,263,30,48
2021년09월_계_50~59세,"4,953","1,707",514,552,594,605,487,376,47,71
2021년09월_계_60~69세,"5,462","1,551",600,743,728,668,649,419,45,59
2021년09월_계_70~79세,"4,562","1,046",532,534,628,651,655,406,48,62
2021년09월_계_80~89세,"3,056",553,368,388,421,447,484,325,40,30
2021년09월_계_90~99세,388,74,44,58,58,68,50,24,5,7
2021년09월_계_100세 이상,12,3,0,3,1,0,2,3,0,0
2021년09월_남_총인구수,"14,931","5,305","1,491","1,739","1,756","1,648","1,481","1,176",139,196
2021년09월_남_연령구간인구수,"14,931","5,305","1,491","1,739","1,756","1,648","1,481","1,176",139,196
2021년09월_남_0~9세,778,410,50,92,65,57,47,41,7,9
2021년09월_남_10~19세,"1,092",588,79,119,81,82,52,63,6,22
2021년09월_남_20~29세,"1,430",699,113,138,123,123,126,84,7,17
2021년09월_남_30~39세,"1,110",536,98,130,101,89,71,66,9,10
2021년09월_남_40~49세,"1,985",793,170,232,234,179,153,170,21,33
2021년09월_남_50~59세,"2,797",886,298,302,352,347,288,249,28,47
2021년09월_남_60~69세,"2,784",744,323,372,376,350,324,241,28,26
2021년09월_남_70~79세,"1,971",468,237,224,272,279,276,167,24,24
2021년09월_남_80~89세,910,166,113,119,139,132,135,92,7,7
2021년09월_남_90~99세,74,15,10,11,13,10,9,3,2,1
2021년09월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"15,198","5,477","1,449","1,817","1,678","1,758","1,606","1,101",125,187
2021년09월_여_연령구간인구수,"15,198","5,477","1,449","1,817","1,678","1,758","1,606","1,101",125,187
2021년09월_여_0~9세,804,438,46,85,51,56,52,55,7,14
2021년09월_여_10~19세,"1,078",557,85,129,73,96,57,63,0,18
2021년09월_여_20~29세,"1,002",523,64,100,93,95,72,41,9,5
2021년09월_여_30~39세,976,538,63,104,69,79,60,48,4,11
2021년09월_여_40~49세,"1,441",766,114,149,114,111,70,93,9,15
2021년09월_여_50~59세,"2,156",821,216,250,242,258,199,127,19,24
2021년09월_여_60~69세,"2,678",807,277,371,352,318,325,178,17,33
2021년09월_여_70~79세,"2,591",578,295,310,356,372,379,239,24,38
2021년09월_여_80~89세,"2,146",387,255,269,282,315,349,233,33,23
2021년09월_여_90~99세,314,59,34,47,45,58,41,21,3,6
2021년09월_여_100세 이상,12,3,0,3,1,0,2,3,0,0
