,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2020년09월_계_총인구수,"40,689","9,199","11,990","1,129","1,414","1,181","1,198","1,702",894,"3,782","2,797","1,256","3,054","1,093"
2020년09월_계_연령구간인구수,"40,689","9,199","11,990","1,129","1,414","1,181","1,198","1,702",894,"3,782","2,797","1,256","3,054","1,093"
2020년09월_계_0~9세,"1,802",674,539,30,37,31,45,65,23,117,68,55,89,29
2020년09월_계_10~19세,"2,631",853,847,47,61,53,69,78,48,176,125,75,164,35
2020년09월_계_20~29세,"2,992",976,832,66,90,63,61,109,44,246,139,89,192,85
2020년09월_계_30~39세,"2,576",832,761,55,77,58,50,76,31,206,158,89,132,51
2020년09월_계_40~49세,"4,234","1,253","1,295",89,112,95,111,140,85,342,236,129,273,74
2020년09월_계_50~59세,"6,717","1,522","1,941",171,235,183,196,259,164,584,484,208,590,180
2020년09월_계_60~69세,"7,594","1,353","2,276",232,292,219,203,346,179,782,586,255,659,212
2020년09월_계_70~79세,"6,668",995,"2,009",202,259,227,235,321,183,739,525,206,546,221
2020년09월_계_80~89세,"4,720",656,"1,281",198,221,221,202,269,117,508,399,135,346,167
2020년09월_계_90~99세,716,78,194,39,29,31,25,38,18,81,72,15,59,37
2020년09월_계_100세 이상,39,7,15,0,1,0,1,1,2,1,5,0,4,2
2020년09월_남_총인구수,"19,791","4,506","5,852",544,702,563,578,805,458,"1,811","1,341",603,"1,502",526
2020년09월_남_연령구간인구수,"19,791","4,506","5,852",544,702,563,578,805,458,"1,811","1,341",603,"1,502",526
2020년09월_남_0~9세,951,359,294,15,20,12,26,26,11,65,31,32,45,15
2020년09월_남_10~19세,"1,343",409,446,30,36,30,38,43,24,97,62,33,78,17
2020년09월_남_20~29세,"1,691",541,465,36,46,34,36,62,25,144,83,56,119,44
2020년09월_남_30~39세,"1,378",411,427,33,49,23,29,40,22,108,81,50,72,33
2020년09월_남_40~49세,"2,413",626,735,57,70,58,73,83,56,214,151,75,166,49
2020년09월_남_50~59세,"3,759",830,"1,075",98,142,116,114,140,108,337,297,93,310,99
2020년09월_남_60~69세,"3,796",656,"1,109",130,163,109,108,192,90,383,278,132,338,108
2020년09월_남_70~79세,"2,823",430,854,89,102,105,90,137,81,294,218,87,242,94
2020년09월_남_80~89세,"1,480",226,404,47,71,65,60,71,39,155,122,45,118,57
2020년09월_남_90~99세,151,18,38,9,3,11,4,11,2,14,17,0,14,10
2020년09월_남_100세 이상,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2020년09월_여_총인구수,"20,898","4,693","6,138",585,712,618,620,897,436,"1,971","1,456",653,"1,552",567
2020년09월_여_연령구간인구수,"20,898","4,693","6,138",585,712,618,620,897,436,"1,971","1,456",653,"1,552",567
2020년09월_여_0~9세,851,315,245,15,17,19,19,39,12,52,37,23,44,14
2020년09월_여_10~19세,"1,288",444,401,17,25,23,31,35,24,79,63,42,86,18
2020년09월_여_20~29세,"1,301",435,367,30,44,29,25,47,19,102,56,33,73,41
2020년09월_여_30~39세,"1,198",421,334,22,28,35,21,36,9,98,77,39,60,18
2020년09월_여_40~49세,"1,821",627,560,32,42,37,38,57,29,128,85,54,107,25
2020년09월_여_50~59세,"2,958",692,866,73,93,67,82,119,56,247,187,115,280,81
2020년09월_여_60~69세,"3,798",697,"1,167",102,129,110,95,154,89,399,308,123,321,104
2020년09월_여_70~79세,"3,845",565,"1,155",113,157,122,145,184,102,445,307,119,304,127
2020년09월_여_80~89세,"3,240",430,877,151,150,156,142,198,78,353,277,90,228,110
2020년09월_여_90~99세,565,60,156,30,26,20,21,27,16,67,55,15,45,27
2020년09월_여_100세 이상,33,7,10,0,1,0,1,1,2,1,4,0,4,2
