,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2021년01월_계_총인구수,"324,281","25,163","29,531","14,296","27,082","25,090","21,609","27,730","21,717","19,180","16,742","19,180","28,931","20,230","27,800"
2021년01월_계_연령구간인구수,"324,281","25,163","29,531","14,296","27,082","25,090","21,609","27,730","21,717","19,180","16,742","19,180","28,931","20,230","27,800"
2021년01월_계_0~9세,"18,500","1,556","1,796",755,"1,763","1,566",856,"1,619","1,175","1,008",799,"1,195","1,529",930,"1,953"
2021년01월_계_10~19세,"25,493","2,154","2,264","1,103","2,610","1,939","1,194","1,729","1,603","1,386","1,007","2,028","2,222","1,483","2,771"
2021년01월_계_20~29세,"43,170","3,303","4,127","1,813","3,711","3,700","2,625","3,329","3,077","2,529","2,492","2,554","3,857","2,697","3,356"
2021년01월_계_30~39세,"40,721","3,369","4,100","1,713","3,403","3,517","2,368","3,628","2,586","2,608","2,369","2,318","3,364","2,209","3,169"
2021년01월_계_40~49세,"48,275","4,107","4,572","2,161","4,413","3,572","2,917","3,800","3,226","2,760","2,427","2,976","4,218","2,904","4,222"
2021년01월_계_50~59세,"56,837","4,181","5,152","2,608","4,910","4,415","3,821","4,496","3,669","3,320","2,844","3,402","5,412","3,784","4,823"
2021년01월_계_60~69세,"49,968","3,481","4,167","2,177","3,503","3,613","3,954","4,968","3,350","3,055","2,473","2,830","4,621","3,358","4,418"
2021년01월_계_70~79세,"27,809","1,997","2,303","1,379","1,738","1,815","2,716","2,814","2,062","1,656","1,639","1,190","2,599","1,987","1,914"
2021년01월_계_80~89세,"11,652",889,941,523,884,803,"1,012","1,142",850,732,601,578,940,751,"1,006"
2021년01월_계_90~99세,"1,679",119,106,53,138,138,129,177,103,108,83,102,156,109,158
2021년01월_계_100세 이상,177,7,3,11,9,12,17,28,16,18,8,7,13,18,10
2021년01월_남_총인구수,"158,103","11,993","14,429","7,135","13,022","12,055","10,924","13,548","10,452","9,235","8,126","9,040","14,387","10,220","13,537"
2021년01월_남_연령구간인구수,"158,103","11,993","14,429","7,135","13,022","12,055","10,924","13,548","10,452","9,235","8,126","9,040","14,387","10,220","13,537"
2021년01월_남_0~9세,"9,580",788,944,391,924,816,420,831,596,524,408,636,753,480,"1,069"
2021년01월_남_10~19세,"13,142","1,087","1,178",583,"1,332",995,642,896,773,736,529,"1,008","1,129",777,"1,477"
2021년01월_남_20~29세,"21,963","1,648","2,056",944,"1,885","1,807","1,407","1,681","1,456","1,284","1,219","1,277","1,996","1,469","1,834"
2021년01월_남_30~39세,"20,824","1,680","2,072",918,"1,643","1,799","1,317","1,833","1,327","1,346","1,230","1,107","1,743","1,215","1,594"
2021년01월_남_40~49세,"23,937","1,997","2,322","1,111","2,077","1,699","1,575","1,930","1,642","1,394","1,256","1,348","2,098","1,511","1,977"
2021년01월_남_50~59세,"27,077","1,946","2,450","1,300","2,322","2,028","1,898","2,189","1,765","1,496","1,318","1,536","2,714","1,873","2,242"
2021년01월_남_60~69세,"23,804","1,617","1,943","1,050","1,683","1,715","1,907","2,345","1,580","1,435","1,159","1,352","2,256","1,666","2,096"
2021년01월_남_70~79세,"12,792",863,"1,037",623,791,840,"1,294","1,347",952,709,718,552,"1,285",903,878
2021년01월_남_80~89세,"4,469",329,397,203,314,311,417,446,330,275,264,191,374,290,328
2021년01월_남_90~99세,467,36,30,9,47,42,44,44,25,28,24,32,37,31,38
2021년01월_남_100세 이상,48,2,0,3,4,3,3,6,6,8,1,1,2,5,4
2021년01월_여_총인구수,"166,178","13,170","15,102","7,161","14,060","13,035","10,685","14,182","11,265","9,945","8,616","10,140","14,544","10,010","14,263"
2021년01월_여_연령구간인구수,"166,178","13,170","15,102","7,161","14,060","13,035","10,685","14,182","11,265","9,945","8,616","10,140","14,544","10,010","14,263"
2021년01월_여_0~9세,"8,920",768,852,364,839,750,436,788,579,484,391,559,776,450,884
2021년01월_여_10~19세,"12,351","1,067","1,086",520,"1,278",944,552,833,830,650,478,"1,020","1,093",706,"1,294"
2021년01월_여_20~29세,"21,207","1,655","2,071",869,"1,826","1,893","1,218","1,648","1,621","1,245","1,273","1,277","1,861","1,228","1,522"
2021년01월_여_30~39세,"19,897","1,689","2,028",795,"1,760","1,718","1,051","1,795","1,259","1,262","1,139","1,211","1,621",994,"1,575"
2021년01월_여_40~49세,"24,338","2,110","2,250","1,050","2,336","1,873","1,342","1,870","1,584","1,366","1,171","1,628","2,120","1,393","2,245"
2021년01월_여_50~59세,"29,760","2,235","2,702","1,308","2,588","2,387","1,923","2,307","1,904","1,824","1,526","1,866","2,698","1,911","2,581"
2021년01월_여_60~69세,"26,164","1,864","2,224","1,127","1,820","1,898","2,047","2,623","1,770","1,620","1,314","1,478","2,365","1,692","2,322"
2021년01월_여_70~79세,"15,017","1,134","1,266",756,947,975,"1,422","1,467","1,110",947,921,638,"1,314","1,084","1,036"
2021년01월_여_80~89세,"7,183",560,544,320,570,492,595,696,520,457,337,387,566,461,678
2021년01월_여_90~99세,"1,212",83,76,44,91,96,85,133,78,80,59,70,119,78,120
2021년01월_여_100세 이상,129,5,3,8,5,9,14,22,10,10,7,6,11,13,6
