,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2020년12월_계_총인구수,"39,393","10,506","2,190","2,000","2,419","3,231","2,231","5,226","3,631","2,917","2,103","2,939"
2020년12월_계_연령구간인구수,"39,393","10,506","2,190","2,000","2,419","3,231","2,231","5,226","3,631","2,917","2,103","2,939"
2020년12월_계_0~9세,"1,346",631,63,51,48,83,49,113,97,82,53,76
2020년12월_계_10~19세,"2,161",958,131,60,95,147,99,216,146,127,67,115
2020년12월_계_20~29세,"3,308","1,396",150,117,145,249,160,283,241,248,132,187
2020년12월_계_30~39세,"2,630","1,051",116,82,120,209,135,255,212,172,124,154
2020년12월_계_40~49세,"4,105","1,565",184,168,205,323,201,414,323,292,173,257
2020년12월_계_50~59세,"7,690","1,787",441,459,463,714,452,"1,097",749,556,401,571
2020년12월_계_60~69세,"8,827","1,567",545,519,652,709,530,"1,403",913,663,579,747
2020년12월_계_70~79세,"5,507",979,309,302,392,479,345,887,528,461,342,483
2020년12월_계_80~89세,"3,337",517,217,215,260,286,222,478,362,282,191,307
2020년12월_계_90~99세,452,51,34,27,36,31,36,74,56,32,37,38
2020년12월_계_100세 이상,30,4,0,0,3,1,2,6,4,2,4,4
2020년12월_남_총인구수,"20,225","5,351","1,156","1,002","1,253","1,634","1,126","2,696","1,859","1,515","1,088","1,545"
2020년12월_남_연령구간인구수,"20,225","5,351","1,156","1,002","1,253","1,634","1,126","2,696","1,859","1,515","1,088","1,545"
2020년12월_남_0~9세,675,321,34,27,22,33,24,54,47,42,27,44
2020년12월_남_10~19세,"1,127",491,69,33,55,77,44,116,75,64,36,67
2020년12월_남_20~29세,"1,956",796,88,73,88,128,95,184,152,153,76,123
2020년12월_남_30~39세,"1,466",553,70,47,76,120,78,140,111,98,81,92
2020년12월_남_40~49세,"2,358",834,117,87,121,196,120,236,194,176,112,165
2020년12월_남_50~59세,"4,168",962,247,252,242,393,244,602,415,311,203,297
2020년12월_남_60~69세,"4,625",766,293,276,356,381,269,747,481,353,309,394
2020년12월_남_70~79세,"2,563",424,144,126,185,217,177,428,250,209,172,231
2020년12월_남_80~89세,"1,177",189,86,77,99,81,68,172,118,100,63,124
2020년12월_남_90~99세,102,14,8,4,8,8,7,16,15,8,9,5
2020년12월_남_100세 이상,8,1,0,0,1,0,0,1,1,1,0,3
2020년12월_여_총인구수,"19,168","5,155","1,034",998,"1,166","1,597","1,105","2,530","1,772","1,402","1,015","1,394"
2020년12월_여_연령구간인구수,"19,168","5,155","1,034",998,"1,166","1,597","1,105","2,530","1,772","1,402","1,015","1,394"
2020년12월_여_0~9세,671,310,29,24,26,50,25,59,50,40,26,32
2020년12월_여_10~19세,"1,034",467,62,27,40,70,55,100,71,63,31,48
2020년12월_여_20~29세,"1,352",600,62,44,57,121,65,99,89,95,56,64
2020년12월_여_30~39세,"1,164",498,46,35,44,89,57,115,101,74,43,62
2020년12월_여_40~49세,"1,747",731,67,81,84,127,81,178,129,116,61,92
2020년12월_여_50~59세,"3,522",825,194,207,221,321,208,495,334,245,198,274
2020년12월_여_60~69세,"4,202",801,252,243,296,328,261,656,432,310,270,353
2020년12월_여_70~79세,"2,944",555,165,176,207,262,168,459,278,252,170,252
2020년12월_여_80~89세,"2,160",328,131,138,161,205,154,306,244,182,128,183
2020년12월_여_90~99세,350,37,26,23,28,23,29,58,41,24,28,33
2020년12월_여_100세 이상,22,3,0,0,2,1,2,5,3,1,4,1
