카테고리,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2021년05월_계_총인구수,"162,239","14,386","29,491","37,224","20,954","23,011","37,173"
2021년05월_계_연령구간인구수,"162,239","14,386","29,491","37,224","20,954","23,011","37,173"
2021년05월_계_0~9세,"12,838",881,"2,150","2,696","1,496","2,316","3,299"
2021년05월_계_10~19세,"14,222",937,"2,390","3,753","2,006","2,055","3,081"
2021년05월_계_20~29세,"23,090","2,453","4,168","4,908","3,250","3,151","5,160"
2021년05월_계_30~39세,"22,564","2,627","4,130","4,609","2,375","3,481","5,342"
2021년05월_계_40~49세,"24,109","1,724","4,337","5,808","3,106","3,531","5,603"
2021년05월_계_50~59세,"29,118","2,014","5,190","6,751","4,156","4,103","6,904"
2021년05월_계_60~69세,"22,172","2,221","3,934","5,470","2,826","2,765","4,956"
2021년05월_계_70~79세,"9,079","1,005","2,014","2,195","1,054",985,"1,826"
2021년05월_계_80~89세,"4,288",440,"1,027",882,572,533,834
2021년05월_계_90~99세,737,82,147,150,107,90,161
2021년05월_계_100세 이상,22,2,4,2,6,1,7
2021년05월_남_총인구수,"80,710","7,307","14,997","18,471","10,291","11,328","18,316"
2021년05월_남_연령구간인구수,"80,710","7,307","14,997","18,471","10,291","11,328","18,316"
2021년05월_남_0~9세,"6,659",476,"1,127","1,340",774,"1,199","1,743"
2021년05월_남_10~19세,"7,304",496,"1,227","1,930","1,066","1,072","1,513"
2021년05월_남_20~29세,"12,149","1,263","2,271","2,589","1,687","1,629","2,710"
2021년05월_남_30~39세,"11,642","1,447","2,250","2,362","1,178","1,687","2,718"
2021년05월_남_40~49세,"11,955",908,"2,274","2,819","1,465","1,759","2,730"
2021년05월_남_50~59세,"13,991",946,"2,573","3,263","1,988","1,948","3,273"
2021년05월_남_60~69세,"11,060","1,099","1,972","2,723","1,431","1,399","2,436"
2021년05월_남_70~79세,"4,287",499,892,"1,085",488,434,889
2021년05월_남_80~89세,"1,492",156,373,328,192,179,264
2021년05월_남_90~99세,168,16,38,31,22,22,39
2021년05월_남_100세 이상,3,1,0,1,0,0,1
2021년05월_여_총인구수,"81,529","7,079","14,494","18,753","10,663","11,683","18,857"
2021년05월_여_연령구간인구수,"81,529","7,079","14,494","18,753","10,663","11,683","18,857"
2021년05월_여_0~9세,"6,179",405,"1,023","1,356",722,"1,117","1,556"
2021년05월_여_10~19세,"6,918",441,"1,163","1,823",940,983,"1,568"
2021년05월_여_20~29세,"10,941","1,190","1,897","2,319","1,563","1,522","2,450"
2021년05월_여_30~39세,"10,922","1,180","1,880","2,247","1,197","1,794","2,624"
2021년05월_여_40~49세,"12,154",816,"2,063","2,989","1,641","1,772","2,873"
2021년05월_여_50~59세,"15,127","1,068","2,617","3,488","2,168","2,155","3,631"
2021년05월_여_60~69세,"11,112","1,122","1,962","2,747","1,395","1,366","2,520"
2021년05월_여_70~79세,"4,792",506,"1,122","1,110",566,551,937
2021년05월_여_80~89세,"2,796",284,654,554,380,354,570
2021년05월_여_90~99세,569,66,109,119,85,68,122
2021년05월_여_100세 이상,19,1,4,1,6,1,6
