,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2020년04월_계_총인구수,"29,451","10,754","5,513","2,496","2,099","3,346","1,947","1,546","1,750"
2020년04월_계_연령구간인구수,"29,451","10,754","5,513","2,496","2,099","3,346","1,947","1,546","1,750"
2020년04월_계_0~9세,"1,268",675,280,61,56,91,48,22,35
2020년04월_계_10~19세,"2,052",982,423,102,142,179,84,35,105
2020년04월_계_20~29세,"2,368","1,168",507,124,110,160,98,86,115
2020년04월_계_30~39세,"2,118","1,072",440,109,90,164,84,75,84
2020년04월_계_40~49세,"3,440","1,523",733,198,193,355,159,131,148
2020년04월_계_50~59세,"5,780","2,033","1,003",544,415,694,422,305,364
2020년04월_계_60~69세,"6,109","1,752",978,631,538,801,530,437,442
2020년04월_계_70~79세,"3,918",982,753,442,357,552,316,257,259
2020년04월_계_80~89세,"2,109",495,354,239,177,310,187,173,174
2020년04월_계_90~99세,266,70,41,40,18,37,18,25,17
2020년04월_계_100세 이상,23,2,1,6,3,3,1,0,7
2020년04월_남_총인구수,"14,920","5,406","2,851","1,239","1,124","1,609","1,056",783,852
2020년04월_남_연령구간인구수,"14,920","5,406","2,851","1,239","1,124","1,609","1,056",783,852
2020년04월_남_0~9세,661,346,152,32,33,45,24,12,17
2020년04월_남_10~19세,"1,088",498,222,54,100,97,55,14,48
2020년04월_남_20~29세,"1,379",660,309,61,61,98,70,45,75
2020년04월_남_30~39세,"1,132",555,244,54,55,90,49,47,38
2020년04월_남_40~49세,"1,909",811,429,114,110,181,100,83,81
2020년04월_남_50~59세,"3,061","1,071",536,299,222,353,225,166,189
2020년04월_남_60~69세,"3,142",859,489,333,277,384,314,247,239
2020년04월_남_70~79세,"1,737",421,320,193,193,250,144,110,106
2020년04월_남_80~89세,738,170,139,87,68,104,66,52,52
2020년04월_남_90~99세,65,13,10,10,5,6,8,7,6
2020년04월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년04월_여_총인구수,"14,531","5,348","2,662","1,257",975,"1,737",891,763,898
2020년04월_여_연령구간인구수,"14,531","5,348","2,662","1,257",975,"1,737",891,763,898
2020년04월_여_0~9세,607,329,128,29,23,46,24,10,18
2020년04월_여_10~19세,964,484,201,48,42,82,29,21,57
2020년04월_여_20~29세,989,508,198,63,49,62,28,41,40
2020년04월_여_30~39세,986,517,196,55,35,74,35,28,46
2020년04월_여_40~49세,"1,531",712,304,84,83,174,59,48,67
2020년04월_여_50~59세,"2,719",962,467,245,193,341,197,139,175
2020년04월_여_60~69세,"2,967",893,489,298,261,417,216,190,203
2020년04월_여_70~79세,"2,181",561,433,249,164,302,172,147,153
2020년04월_여_80~89세,"1,371",325,215,152,109,206,121,121,122
2020년04월_여_90~99세,201,57,31,30,13,31,10,18,11
2020년04월_여_100세 이상,15,0,0,4,3,2,0,0,6
