카테고리,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2021년10월_계_총인구수,"463,665","32,384","31,425","36,122","34,931","20,288","42,921","47,779","42,965","33,607","46,939","27,170","26,014","19,441","21,679"
2021년10월_계_연령구간인구수,"463,665","32,384","31,425","36,122","34,931","20,288","42,921","47,779","42,965","33,607","46,939","27,170","26,014","19,441","21,679"
2021년10월_계_0~9세,"33,247","1,125","1,711","2,175","2,304","1,395","2,651","3,326","3,640","2,670","6,416","1,834","1,480","1,141","1,379"
2021년10월_계_10~19세,"41,702","1,604","2,090","2,778","3,364","1,997","3,734","4,954","3,671","4,144","5,339","2,437","1,973","1,560","2,057"
2021년10월_계_20~29세,"64,539","6,696","5,454","4,660","4,465","2,346","5,955","6,778","5,797","4,577","4,994","3,811","3,544","2,589","2,873"
2021년10월_계_30~39세,"60,084","5,029","4,588","4,399","3,868","2,187","4,912","5,463","6,516","3,722","7,906","3,259","3,303","2,423","2,509"
2021년10월_계_40~49세,"73,703","4,340","4,716","5,618","5,502","3,361","6,481","7,417","6,854","6,133","9,312","4,041","3,734","2,778","3,416"
2021년10월_계_50~59세,"81,050","5,492","5,478","6,013","6,007","3,408","8,498","8,870","7,359","6,108","6,254","5,127","4,940","3,574","3,922"
2021년10월_계_60~69세,"61,152","4,696","4,212","5,462","4,743","2,940","6,183","6,410","5,384","3,225","4,073","3,723","3,968","3,047","3,086"
2021년10월_계_70~79세,"31,260","2,203","2,108","3,482","3,043","1,708","2,937","2,916","2,276","1,914","1,787","1,852","2,013","1,483","1,538"
2021년10월_계_80~89세,"14,901","1,049",951,"1,388","1,455",821,"1,390","1,416","1,277",970,743,971,947,750,773
2021년10월_계_90~99세,"1,956",142,113,145,175,116,177,225,183,140,112,111,106,88,123
2021년10월_계_100세 이상,71,8,4,2,5,9,3,4,8,4,3,4,6,8,3
2021년10월_남_총인구수,"228,574","16,624","15,613","17,599","16,920","9,705","21,075","23,180","21,365","16,634","22,802","13,312","13,006","9,909","10,830"
2021년10월_남_연령구간인구수,"228,574","16,624","15,613","17,599","16,920","9,705","21,075","23,180","21,365","16,634","22,802","13,312","13,006","9,909","10,830"
2021년10월_남_0~9세,"17,177",606,897,"1,112","1,184",701,"1,403","1,735","1,855","1,388","3,297",915,750,602,732
2021년10월_남_10~19세,"21,535",802,"1,139","1,421","1,712","1,026","1,887","2,599","1,899","2,120","2,683","1,275","1,031",822,"1,119"
2021년10월_남_20~29세,"32,737","3,136","2,650","2,278","2,275","1,180","3,097","3,450","2,988","2,425","2,489","1,980","1,870","1,397","1,522"
2021년10월_남_30~39세,"30,739","2,794","2,432","2,232","1,956","1,094","2,537","2,745","3,361","1,846","3,712","1,661","1,778","1,308","1,283"
2021년10월_남_40~49세,"37,073","2,444","2,448","2,887","2,654","1,668","3,169","3,582","3,488","2,953","4,683","1,994","1,894","1,497","1,712"
2021년10월_남_50~59세,"39,878","3,015","2,723","2,934","2,957","1,608","4,104","4,166","3,557","3,132","2,995","2,473","2,442","1,804","1,968"
2021년10월_남_60~69세,"29,622","2,419","2,006","2,511","2,211","1,409","3,008","3,079","2,699","1,558","1,895","1,828","1,985","1,530","1,484"
2021년10월_남_70~79세,"13,777",990,916,"1,578","1,301",715,"1,344","1,262","1,051",810,795,804,881,649,681
2021년10월_남_80~89세,"5,565",387,369,604,608,286,491,511,435,369,223,352,355,282,293
2021년10월_남_90~99세,458,29,31,41,61,17,35,51,30,32,29,29,20,17,36
2021년10월_남_100세 이상,13,2,2,1,1,1,0,0,2,1,1,1,0,1,0
2021년10월_여_총인구수,"235,091","15,760","15,812","18,523","18,011","10,583","21,846","24,599","21,600","16,973","24,137","13,858","13,008","9,532","10,849"
2021년10월_여_연령구간인구수,"235,091","15,760","15,812","18,523","18,011","10,583","21,846","24,599","21,600","16,973","24,137","13,858","13,008","9,532","10,849"
2021년10월_여_0~9세,"16,070",519,814,"1,063","1,120",694,"1,248","1,591","1,785","1,282","3,119",919,730,539,647
2021년10월_여_10~19세,"20,167",802,951,"1,357","1,652",971,"1,847","2,355","1,772","2,024","2,656","1,162",942,738,938
2021년10월_여_20~29세,"31,802","3,560","2,804","2,382","2,190","1,166","2,858","3,328","2,809","2,152","2,505","1,831","1,674","1,192","1,351"
2021년10월_여_30~39세,"29,345","2,235","2,156","2,167","1,912","1,093","2,375","2,718","3,155","1,876","4,194","1,598","1,525","1,115","1,226"
2021년10월_여_40~49세,"36,630","1,896","2,268","2,731","2,848","1,693","3,312","3,835","3,366","3,180","4,629","2,047","1,840","1,281","1,704"
