카테고리,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2020년08월_계_총인구수,"149,962","12,550","9,484","2,689","10,040","18,443","8,615","10,501","4,331","7,203","5,321","7,725","16,841","5,173","8,339","6,967","6,143","9,597"
2020년08월_계_연령구간인구수,"149,962","12,550","9,484","2,689","10,040","18,443","8,615","10,501","4,331","7,203","5,321","7,725","16,841","5,173","8,339","6,967","6,143","9,597"
2020년08월_계_0~9세,"7,748",847,577,100,565,"1,193",715,891,208,196,117,254,706,146,250,405,307,271
2020년08월_계_10~19세,"11,161","1,188",690,197,936,"1,655","1,010",868,339,209,232,436,"1,363",241,515,540,374,368
2020년08월_계_20~29세,"23,435","1,626","1,234",341,"1,384","2,474",945,"1,273",489,836,"1,114","1,702","4,461",616,"1,183",956,820,"1,981"
2020년08월_계_30~39세,"20,087","1,720","1,434",367,"1,213","2,249",962,"1,768",590,915,702,"1,266","2,112",534,895,983,850,"1,527"
2020년08월_계_40~49세,"22,460","2,183","1,473",369,"1,629","2,776","1,538","1,836",747,958,622,"1,034","2,299",654,"1,138",984,946,"1,274"
2020년08월_계_50~59세,"25,640","1,980","1,536",427,"1,737","3,313","1,427","1,614",701,"1,364",975,"1,128","2,320","1,157","1,835","1,282","1,155","1,689"
2020년08월_계_60~69세,"19,666","1,381","1,191",413,"1,294","2,459",990,"1,136",587,"1,386",767,926,"1,590","1,004","1,333",981,878,"1,350"
2020년08월_계_70~79세,"12,571","1,017",782,286,802,"1,388",653,729,445,844,538,613,"1,249",549,821,545,543,767
2020년08월_계_80~89세,"5,866",515,460,150,391,754,307,324,179,363,205,307,627,218,307,233,225,301
2020년08월_계_90~99세,"1,058",74,87,32,78,158,49,47,36,92,40,45,92,45,49,47,36,51
2020년08월_계_100세 이상,270,19,20,7,11,24,19,15,10,40,9,14,22,9,13,11,9,18
2020년08월_남_총인구수,"73,062","5,851","4,250","1,297","4,766","8,625","4,018","4,885","2,004","4,327","2,888","3,640","8,141","2,801","4,295","3,408","2,990","4,876"
2020년08월_남_연령구간인구수,"73,062","5,851","4,250","1,297","4,766","8,625","4,018","4,885","2,004","4,327","2,888","3,640","8,141","2,801","4,295","3,408","2,990","4,876"
2020년08월_남_0~9세,"3,931",452,281,45,289,618,319,461,106,104,59,132,342,74,143,214,158,134
2020년08월_남_10~19세,"5,618",628,321,118,494,849,473,416,180,118,110,208,695,127,264,262,172,183
2020년08월_남_20~29세,"11,566",800,565,184,719,"1,271",435,602,227,431,578,801,"2,212",341,639,509,422,830
2020년08월_남_30~39세,"10,016",804,622,176,573,"1,055",437,829,279,518,412,600,"1,122",308,531,479,438,833
2020년08월_남_40~49세,"10,937",972,658,179,752,"1,220",738,869,350,588,366,522,"1,111",335,590,477,501,709
2020년08월_남_50~59세,"12,856",930,691,210,786,"1,491",740,771,324,959,558,550,"1,113",652,969,621,564,927
2020년08월_남_60~69세,"9,750",615,543,189,615,"1,169",452,495,270,882,441,445,765,588,669,488,403,721
2020년08월_남_70~79세,"5,579",413,336,132,356,609,265,294,183,503,257,254,500,275,344,245,228,385
2020년08월_남_80~89세,"2,344",206,193,49,157,294,130,130,74,172,89,107,243,80,124,83,88,125
2020년08월_남_90~99세,374,28,35,14,22,41,15,13,7,40,14,18,30,20,20,21,13,23
2020년08월_남_100세 이상,91,3,5,1,3,8,14,5,4,12,4,3,8,1,2,9,3,6
2020년08월_여_총인구수,"76,900","6,699","5,234","1,392","5,274","9,818","4,597","5,616","2,327","2,876","2,433","4,085","8,700","2,372","4,044","3,559","3,153","4,721"
2020년08월_여_연령구간인구수,"76,900","6,699","5,234","1,392","5,274","9,818","4,597","5,616","2,327","2,876","2,433","4,085","8,700","2,372","4,044","3,559","3,153","4,721"
2020년08월_여_0~9세,"3,817",395,296,55,276,575,396,430,102,92,58,122,364,72,107,191,149,137
2020년08월_여_10~19세,"5,543",560,369,79,442,806,537,452,159,91,122,228,668,114,251,278,202,185
2020년08월_여_20~29세,"11,869",826,669,157,665,"1,203",510,671,262,405,536,901,"2,249",275,544,447,398,"1,151"
2020년08월_여_30~39세,"10,071",916,812,191,640,"1,194",525,939,311,397,290,666,990,226,364,504,412,694
2020년08월_여_40~49세,"11,523","1,211",815,190,877,"1,556",800,967,397,370,256,512,"1,188",319,548,507,445,565
2020년08월_여_50~59세,"12,784","1,050",845,217,951,"1,822",687,843,377,405,417,578,"1,207",505,866,661,591,762
2020년08월_여_60~69세,"9,916",766,648,224,679,"1,290",538,641,317,504,326,481,825,416,664,493,475,629
2020년08월_여_70~79세,"6,992",604,446,154,446,779,388,435,262,341,281,359,749,274,477,300,315,382
2020년08월_여_80~89세,"3,522",309,267,101,234,460,177,194,105,191,116,200,384,138,183,150,137,176
2020년08월_여_90~99세,684,46,52,18,56,117,34,34,29,52,26,27,62,25,29,26,23,28
2020년08월_여_100세 이상,179,16,15,6,8,16,5,10,6,28,5,11,14,8,11,2,6,12
