,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2020년10월_계_총인구수,"62,476","19,512","9,550","14,077","5,606","9,802","3,929"
2020년10월_계_연령구간인구수,"62,476","19,512","9,550","14,077","5,606","9,802","3,929"
2020년10월_계_0~9세,"3,390","1,176",537,625,157,743,152
2020년10월_계_10~19세,"4,715","1,701",798,"1,003",338,663,212
2020년10월_계_20~29세,"6,206","2,194",859,"1,353",528,"1,033",239
2020년10월_계_30~39세,"5,763","1,915",818,"1,198",375,"1,178",279
2020년10월_계_40~49세,"7,942","2,657","1,139","1,953",565,"1,218",410
2020년10월_계_50~59세,"11,424","3,464","1,740","2,695","1,124","1,677",724
2020년10월_계_60~69세,"11,989","3,239","1,986","2,663","1,373","1,763",965
2020년10월_계_70~79세,"6,848","1,926",986,"1,657",726,981,572
2020년10월_계_80~89세,"3,629","1,079",575,806,367,478,324
2020년10월_계_90~99세,521,145,108,114,48,58,48
2020년10월_계_100세 이상,49,16,4,10,5,10,4
2020년10월_남_총인구수,"32,168","9,928","4,900","7,192","2,918","5,211","2,019"
2020년10월_남_연령구간인구수,"32,168","9,928","4,900","7,192","2,918","5,211","2,019"
2020년10월_남_0~9세,"1,680",590,251,320,81,373,65
2020년10월_남_10~19세,"2,492",923,396,536,173,349,115
2020년10월_남_20~29세,"3,559","1,204",479,765,336,641,134
2020년10월_남_30~39세,"3,125","1,020",454,641,206,648,156
2020년10월_남_40~49세,"4,263","1,417",599,"1,034",314,656,243
2020년10월_남_50~59세,"6,074","1,832",931,"1,437",586,890,398
2020년10월_남_60~69세,"6,190","1,628","1,035","1,345",710,975,497
2020년10월_남_70~79세,"3,226",862,498,767,363,464,272
2020년10월_남_80~89세,"1,400",404,230,313,135,194,124
2020년10월_남_90~99세,140,44,25,29,11,17,14
2020년10월_남_100세 이상,19,4,2,5,3,4,1
2020년10월_여_총인구수,"30,308","9,584","4,650","6,885","2,688","4,591","1,910"
2020년10월_여_연령구간인구수,"30,308","9,584","4,650","6,885","2,688","4,591","1,910"
2020년10월_여_0~9세,"1,710",586,286,305,76,370,87
2020년10월_여_10~19세,"2,223",778,402,467,165,314,97
2020년10월_여_20~29세,"2,647",990,380,588,192,392,105
2020년10월_여_30~39세,"2,638",895,364,557,169,530,123
2020년10월_여_40~49세,"3,679","1,240",540,919,251,562,167
2020년10월_여_50~59세,"5,350","1,632",809,"1,258",538,787,326
2020년10월_여_60~69세,"5,799","1,611",951,"1,318",663,788,468
2020년10월_여_70~79세,"3,622","1,064",488,890,363,517,300
2020년10월_여_80~89세,"2,229",675,345,493,232,284,200
2020년10월_여_90~99세,381,101,83,85,37,41,34
2020년10월_여_100세 이상,30,12,2,5,2,6,3
