카테고리,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2020년11월_계_총인구수,"53,752","8,265","14,943","6,534","1,860","2,071","3,786","3,591","2,281","3,193","1,930","3,007","2,291"
2020년11월_계_연령구간인구수,"53,752","8,265","14,943","6,534","1,860","2,071","3,786","3,591","2,281","3,193","1,930","3,007","2,291"
2020년11월_계_0~9세,"3,588",604,"1,587",595,68,52,117,115,70,100,78,131,71
2020년11월_계_10~19세,"4,477",809,"1,795",709,98,73,188,132,110,166,81,208,108
2020년11월_계_20~29세,"5,083",865,"1,606",903,121,113,278,249,183,243,121,251,150
2020년11월_계_30~39세,"4,807",735,"1,884",856,106,95,235,181,136,160,108,163,148
2020년11월_계_40~49세,"7,457","1,056","2,873","1,278",169,197,396,335,187,295,150,298,223
2020년11월_계_50~59세,"9,391","1,466","2,485","1,316",310,378,667,599,421,551,304,503,391
2020년11월_계_60~69세,"8,011","1,191","1,473",491,341,440,782,808,461,597,376,569,482
2020년11월_계_70~79세,"6,358",914,827,249,321,406,660,669,390,636,386,493,407
2020년11월_계_80~89세,"4,017",520,373,117,292,276,409,438,299,389,286,332,286
2020년11월_계_90~99세,528,102,36,19,30,41,48,62,21,53,36,56,24
2020년11월_계_100세 이상,35,3,4,1,4,0,6,3,3,3,4,3,1
2020년11월_남_총인구수,"27,650","4,100","7,961","3,742",906,"1,042","1,905","1,775","1,161","1,529",917,"1,457","1,155"
2020년11월_남_연령구간인구수,"27,650","4,100","7,961","3,742",906,"1,042","1,905","1,775","1,161","1,529",917,"1,457","1,155"
2020년11월_남_0~9세,"1,796",319,748,301,41,23,50,65,48,62,34,70,35
2020년11월_남_10~19세,"2,390",438,963,375,43,47,103,72,69,90,46,95,49
2020년11월_남_20~29세,"2,936",476,883,551,71,63,189,155,110,137,74,134,93
2020년11월_남_30~39세,"2,604",370,954,500,68,56,142,108,85,90,59,83,89
2020년11월_남_40~49세,"4,439",557,"1,708",785,106,119,231,223,115,176,100,172,147
2020년11월_남_50~59세,"5,357",758,"1,436",811,193,229,363,354,231,307,172,287,216
2020년11월_남_60~69세,"4,103",595,780,284,160,252,404,390,252,287,179,274,246
2020년11월_남_70~79세,"2,670",396,380,100,125,166,273,289,154,250,155,210,172
2020년11월_남_80~89세,"1,245",166,102,32,89,79,136,113,92,120,95,118,103
2020년11월_남_90~99세,102,24,6,3,9,8,11,6,5,9,2,14,5
2020년11월_남_100세 이상,8,1,1,0,1,0,3,0,0,1,1,0,0
2020년11월_여_총인구수,"26,102","4,165","6,982","2,792",954,"1,029","1,881","1,816","1,120","1,664","1,013","1,550","1,136"
2020년11월_여_연령구간인구수,"26,102","4,165","6,982","2,792",954,"1,029","1,881","1,816","1,120","1,664","1,013","1,550","1,136"
2020년11월_여_0~9세,"1,792",285,839,294,27,29,67,50,22,38,44,61,36
2020년11월_여_10~19세,"2,087",371,832,334,55,26,85,60,41,76,35,113,59
2020년11월_여_20~29세,"2,147",389,723,352,50,50,89,94,73,106,47,117,57
2020년11월_여_30~39세,"2,203",365,930,356,38,39,93,73,51,70,49,80,59
2020년11월_여_40~49세,"3,018",499,"1,165",493,63,78,165,112,72,119,50,126,76
2020년11월_여_50~59세,"4,034",708,"1,049",505,117,149,304,245,190,244,132,216,175
2020년11월_여_60~69세,"3,908",596,693,207,181,188,378,418,209,310,197,295,236
2020년11월_여_70~79세,"3,688",518,447,149,196,240,387,380,236,386,231,283,235
2020년11월_여_80~89세,"2,772",354,271,85,203,197,273,325,207,269,191,214,183
2020년11월_여_90~99세,426,78,30,16,21,33,37,56,16,44,34,42,19
2020년11월_여_100세 이상,27,2,3,1,3,0,3,3,3,2,3,3,1
