,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2021년03월_계_총인구수,"126,988","4,628","12,579","2,898","30,955","1,986","1,983","1,483","8,815","2,936","3,933","8,938","10,504","11,201","10,337","13,812"
2021년03월_계_연령구간인구수,"126,988","4,628","12,579","2,898","30,955","1,986","1,983","1,483","8,815","2,936","3,933","8,938","10,504","11,201","10,337","13,812"
2021년03월_계_0~9세,"9,346",115,"1,197",69,"3,772",46,30,18,368,89,117,463,679,853,472,"1,058"
2021년03월_계_10~19세,"12,678",208,"1,435",123,"3,979",94,49,33,806,178,219,665,956,"1,360",960,"1,613"
2021년03월_계_20~29세,"10,962",282,"1,058",173,"2,681",108,83,65,876,215,269,655,958,"1,012",956,"1,571"
2021년03월_계_30~39세,"13,294",306,"1,402",148,"4,564",106,79,67,689,169,263,832,"1,060","1,097",956,"1,556"
2021년03월_계_40~49세,"21,097",534,"2,236",267,"6,550",262,160,110,"1,255",361,522,"1,317","1,556","1,905","1,504","2,558"
2021년03월_계_50~59세,"22,196",924,"2,129",513,"4,530",400,345,301,"1,644",551,800,"1,800","1,773","2,026","1,999","2,461"
2021년03월_계_60~69세,"20,772","1,065","1,678",747,"3,002",488,472,401,"1,673",676,909,"1,843","2,067","1,864","1,934","1,953"
2021년03월_계_70~79세,"11,139",711,923,522,"1,276",295,434,267,"1,041",478,577,966,"1,043",766,"1,066",774
2021년03월_계_80~89세,"4,848",426,453,299,524,168,301,192,412,190,236,355,354,283,423,232
2021년03월_계_90~99세,640,55,68,37,77,19,29,28,51,27,21,39,54,33,67,35
2021년03월_계_100세 이상,16,2,0,0,0,0,1,1,0,2,0,3,4,2,0,1
2021년03월_남_총인구수,"63,843","2,441","6,295","1,485","15,667","1,104","1,028",736,"4,387","1,436","1,944","4,542","5,057","5,502","5,328","6,891"
2021년03월_남_연령구간인구수,"63,843","2,441","6,295","1,485","15,667","1,104","1,028",736,"4,387","1,436","1,944","4,542","5,057","5,502","5,328","6,891"
2021년03월_남_0~9세,"4,675",48,569,39,"1,910",25,19,8,172,34,50,232,339,438,221,571
2021년03월_남_10~19세,"6,571",108,732,67,"2,072",54,24,15,388,82,105,338,511,712,511,852
2021년03월_남_20~29세,"6,123",173,578,105,"1,425",64,51,42,517,130,161,376,536,553,568,844
2021년03월_남_30~39세,"6,842",174,682,82,"2,227",70,49,50,380,92,149,459,570,522,534,802
2021년03월_남_40~49세,"11,360",350,"1,178",173,"3,467",177,107,63,688,218,317,784,786,966,833,"1,253"
2021년03월_남_50~59세,"11,442",546,"1,123",304,"2,345",235,224,176,841,294,420,919,786,985,"1,060","1,184"
2021년03월_남_60~69세,"10,124",578,860,365,"1,466",255,258,218,803,324,420,857,897,922,970,931
2021년03월_남_70~79세,"5,058",333,398,248,589,157,198,113,458,191,245,454,488,332,474,380
2021년03월_남_80~89세,"1,521",125,160,96,151,65,91,47,135,64,71,114,129,66,138,69
2021년03월_남_90~99세,123,6,15,6,15,2,7,4,5,7,6,9,12,5,19,5
2021년03월_남_100세 이상,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
2021년03월_여_총인구수,"63,145","2,187","6,284","1,413","15,288",882,955,747,"4,428","1,500","1,989","4,396","5,447","5,699","5,009","6,921"
2021년03월_여_연령구간인구수,"63,145","2,187","6,284","1,413","15,288",882,955,747,"4,428","1,500","1,989","4,396","5,447","5,699","5,009","6,921"
2021년03월_여_0~9세,"4,671",67,628,30,"1,862",21,11,10,196,55,67,231,340,415,251,487
2021년03월_여_10~19세,"6,107",100,703,56,"1,907",40,25,18,418,96,114,327,445,648,449,761
2021년03월_여_20~29세,"4,839",109,480,68,"1,256",44,32,23,359,85,108,279,422,459,388,727
2021년03월_여_30~39세,"6,452",132,720,66,"2,337",36,30,17,309,77,114,373,490,575,422,754
2021년03월_여_40~49세,"9,737",184,"1,058",94,"3,083",85,53,47,567,143,205,533,770,939,671,"1,305"
2021년03월_여_50~59세,"10,754",378,"1,006",209,"2,185",165,121,125,803,257,380,881,987,"1,041",939,"1,277"
2021년03월_여_60~69세,"10,648",487,818,382,"1,536",233,214,183,870,352,489,986,"1,170",942,964,"1,022"
2021년03월_여_70~79세,"6,081",378,525,274,687,138,236,154,583,287,332,512,555,434,592,394
2021년03월_여_80~89세,"3,327",301,293,203,373,103,210,145,277,126,165,241,225,217,285,163
2021년03월_여_90~99세,517,49,53,31,62,17,22,24,46,20,15,30,42,28,48,30
2021년03월_여_100세 이상,12,2,0,0,0,0,1,1,0,2,0,3,1,1,0,1
