,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년11월_계_총인구수,"315,279","6,535","75,197","4,241","21,403","19,822","21,681","5,541","6,536","3,123","4,452","19,962","9,500","10,772","36,856","18,910","21,680","29,068"
2020년11월_계_연령구간인구수,"315,279","6,535","75,197","4,241","21,403","19,822","21,681","5,541","6,536","3,123","4,452","19,962","9,500","10,772","36,856","18,910","21,680","29,068"
2020년11월_계_0~9세,"33,122",367,"9,550",207,"2,999","2,588","2,479",150,308,65,109,"1,621",916,444,"4,097","1,587","2,302","3,333"
2020년11월_계_10~19세,"34,401",505,"9,272",363,"2,930","1,713","1,448",270,406,108,183,"2,063",730,807,"4,833","2,476","2,748","3,546"
2020년11월_계_20~29세,"36,364",567,"9,419",309,"2,657","2,008","2,424",420,576,187,348,"2,379","1,086","1,680","4,473","2,163","2,769","2,899"
2020년11월_계_30~39세,"48,423",626,"13,842",259,"4,004","3,631","4,626",390,630,175,302,"2,385","1,756","1,209","5,189","2,186","2,999","4,214"
2020년11월_계_40~49세,"56,088",876,"14,402",561,"4,544","3,411","3,488",591,956,267,401,"3,429","1,525","1,465","7,011","3,507","4,067","5,587"
2020년11월_계_50~59세,"46,152","1,150","9,603",755,"2,328","2,737","3,092","1,011","1,274",526,857,"3,230","1,330","2,019","5,282","3,230","3,345","4,383"
2020년11월_계_60~69세,"31,598","1,159","5,214",804,"1,030","2,104","2,266","1,213","1,098",759,971,"2,430","1,110","1,634","3,247","1,988","1,865","2,706"
2020년11월_계_70~79세,"18,035",722,"2,537",580,562,986,"1,137",834,710,573,734,"1,517",676,"1,006","1,787","1,137","1,036","1,501"
2020년11월_계_80~89세,"9,676",493,"1,181",348,300,554,621,580,509,403,493,805,302,438,819,549,471,810
2020년11월_계_90~99세,"1,308",66,167,51,49,89,97,78,66,51,51,95,56,60,106,78,68,80
2020년11월_계_100세 이상,112,4,10,4,0,1,3,4,3,9,3,8,13,10,12,9,10,9
2020년11월_남_총인구수,"163,661","3,414","38,668","2,176","11,619","10,715","12,157","2,920","3,629","1,626","2,274","10,409","4,948","5,580","18,384","9,652","11,072","14,418"
2020년11월_남_연령구간인구수,"163,661","3,414","38,668","2,176","11,619","10,715","12,157","2,920","3,629","1,626","2,274","10,409","4,948","5,580","18,384","9,652","11,072","14,418"
2020년11월_남_0~9세,"17,014",182,"4,900",105,"1,536","1,288","1,281",77,160,40,49,836,462,214,"2,114",848,"1,215","1,707"
