,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2020년08월_계_총인구수,"26,857","7,001","6,349","2,431","3,770","7,306",0
2020년08월_계_연령구간인구수,"26,857","7,001","6,349","2,431","3,770","7,306",0
2020년08월_계_0~9세,"1,302",564,226,58,160,294,0
2020년08월_계_10~19세,"1,647",582,359,107,181,418,0
2020년08월_계_20~29세,"2,921",904,540,175,414,888,0
2020년08월_계_30~39세,"2,217",783,360,156,308,610,0
2020년08월_계_40~49세,"3,097",906,654,211,400,926,0
2020년08월_계_50~59세,"4,915","1,152","1,177",459,712,"1,415",0
2020년08월_계_60~69세,"5,074","1,012","1,356",577,740,"1,389",0
2020년08월_계_70~79세,"3,528",668,"1,018",430,527,885,0
2020년08월_계_80~89세,"1,808",355,538,220,286,409,0
2020년08월_계_90~99세,332,70,117,38,38,69,0
2020년08월_계_100세 이상,16,5,4,0,4,3,0
2020년08월_남_총인구수,"13,852","3,659","3,163","1,196","1,962","3,872",0
2020년08월_남_연령구간인구수,"13,852","3,659","3,163","1,196","1,962","3,872",0
2020년08월_남_0~9세,666,294,111,26,80,155,0
2020년08월_남_10~19세,880,322,192,60,88,218,0
2020년08월_남_20~29세,"1,853",562,346,97,258,590,0
2020년08월_남_30~39세,"1,257",419,204,95,193,346,0
2020년08월_남_40~49세,"1,734",489,357,133,239,516,0
2020년08월_남_50~59세,"2,646",610,653,243,372,768,0
2020년08월_남_60~69세,"2,601",514,669,294,389,735,0
2020년08월_남_70~79세,"1,520",320,422,176,230,372,0
2020년08월_남_80~89세,615,109,184,64,102,156,0
2020년08월_남_90~99세,77,19,25,8,11,14,0
2020년08월_남_100세 이상,3,1,0,0,0,2,0
2020년08월_여_총인구수,"13,005","3,342","3,186","1,235","1,808","3,434",0
2020년08월_여_연령구간인구수,"13,005","3,342","3,186","1,235","1,808","3,434",0
2020년08월_여_0~9세,636,270,115,32,80,139,0
2020년08월_여_10~19세,767,260,167,47,93,200,0
2020년08월_여_20~29세,"1,068",342,194,78,156,298,0
2020년08월_여_30~39세,960,364,156,61,115,264,0
2020년08월_여_40~49세,"1,363",417,297,78,161,410,0
2020년08월_여_50~59세,"2,269",542,524,216,340,647,0
2020년08월_여_60~69세,"2,473",498,687,283,351,654,0
2020년08월_여_70~79세,"2,008",348,596,254,297,513,0
2020년08월_여_80~89세,"1,193",246,354,156,184,253,0
2020년08월_여_90~99세,255,51,92,30,27,55,0
2020년08월_여_100세 이상,13,4,4,0,4,1,0
