카테고리,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년07월_계_총인구수,"439,432","5,169","23,328","4,289","19,622","20,568","9,675","11,364","9,061","8,693","18,724","7,572","27,640","6,913","34,337","37,589","22,448","25,079","36,833","17,321","27,275","29,418","12,324","24,190"
2020년07월_계_연령구간인구수,"439,432","5,169","23,328","4,289","19,622","20,568","9,675","11,364","9,061","8,693","18,724","7,572","27,640","6,913","34,337","37,589","22,448","25,079","36,833","17,321","27,275","29,418","12,324","24,190"
2020년07월_계_0~9세,"34,807",333,"2,441",182,"2,336","1,811",277,631,306,328,"1,308",201,"2,100",349,"3,326","4,676","1,433","1,695","2,829","1,013","1,796","2,466",690,"2,280"
2020년07월_계_10~19세,"44,220",365,"2,056",233,"2,282","2,332",517,953,510,501,"1,187",381,"2,986",453,"3,868","3,152","1,836","2,592","5,228","1,668","2,610","4,589",654,"3,267"
2020년07월_계_20~29세,"61,348",605,"2,721",501,"2,167","2,449","1,051","1,720","2,379","1,271","2,848","2,226","3,995",781,"3,812","4,048","3,745","3,728","5,399","2,502","4,371","4,206","1,408","3,415"
2020년07월_계_30~39세,"54,599",670,"3,671",445,"2,951","2,471",761,"1,206","1,126","1,033","2,296","1,012","3,369",854,"4,528","6,662","2,722","2,836","3,602","1,681","3,154","3,002","1,637","2,910"
2020년07월_계_40~49세,"73,284",733,"4,012",499,"3,708","3,535","1,180","1,550","1,106","1,067","2,698",831,"4,502",935,"6,769","6,431","3,259","4,044","7,094","2,625","4,002","6,255","1,677","4,772"
2020년07월_계_50~59세,"77,770",857,"3,323",944,"2,795","3,489","1,954","2,324","1,319","1,613","3,001","1,208","4,997","1,275","5,656","5,947","4,268","4,730","7,126","3,581","5,510","5,267","2,442","4,144"
2020년07월_계_60~69세,"52,135",834,"2,603",865,"1,860","2,342","1,994","1,683","1,201","1,556","2,702","1,001","3,409","1,252","3,787","4,066","2,943","3,167","3,127","2,500","3,388","1,892","2,190","1,773"
2020년07월_계_70~79세,"28,004",519,"1,611",438,"1,033","1,447","1,303",892,750,921,"1,784",495,"1,514",691,"1,882","1,876","1,460","1,630","1,605","1,144","1,572","1,137","1,232","1,068"
2020년07월_계_80~89세,"11,856",219,773,153,435,632,590,359,329,364,780,200,665,296,640,656,695,585,727,552,792,567,347,500
2020년07월_계_90~99세,"1,324",29,107,27,52,55,43,45,32,39,104,16,96,26,69,71,85,71,96,52,74,36,40,59
2020년07월_계_100세 이상,85,5,10,2,3,5,5,1,3,0,16,1,7,1,0,4,2,1,0,3,6,1,7,2
2020년07월_남_총인구수,"218,914","2,538","11,262","2,294","9,489","9,947","4,803","5,612","4,669","4,539","9,442","4,121","13,703","3,441","17,504","18,742","11,266","12,299","18,213","8,676","13,594","14,337","6,429","11,994"
2020년07월_남_연령구간인구수,"218,914","2,538","11,262","2,294","9,489","9,947","4,803","5,612","4,669","4,539","9,442","4,121","13,703","3,441","17,504","18,742","11,266","12,299","18,213","8,676","13,594","14,337","6,429","11,994"
2020년07월_남_0~9세,"17,821",169,"1,208",95,"1,176",935,141,320,152,178,653,104,"1,078",188,"1,746","2,400",717,881,"1,425",512,943,"1,275",346,"1,179"
2020년07월_남_10~19세,"22,975",179,"1,036",139,"1,169","1,178",276,492,262,281,600,207,"1,554",231,"1,992","1,607",997,"1,364","2,741",852,"1,413","2,380",329,"1,696"
