,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2021년03월_계_총인구수,"111,903","15,507","4,664","5,100","2,987","6,349","6,969","4,904","4,195","2,517","21,736","18,517","18,458"
2021년03월_계_연령구간인구수,"111,903","15,507","4,664","5,100","2,987","6,349","6,969","4,904","4,195","2,517","21,736","18,517","18,458"
2021년03월_계_0~9세,"7,306","1,004",196,169,91,280,211,163,143,115,"1,506","1,360","2,068"
2021년03월_계_10~19세,"9,477","1,260",253,279,140,437,407,346,266,140,"1,960","2,159","1,830"
2021년03월_계_20~29세,"12,193","1,676",443,408,228,546,603,414,344,192,"2,813","2,422","2,104"
2021년03월_계_30~39세,"11,398","1,779",292,358,189,475,442,306,298,177,"2,442","1,968","2,672"
2021년03월_계_40~49세,"15,894","2,228",407,524,259,681,670,567,466,267,"3,478","3,097","3,250"
2021년03월_계_50~59세,"20,079","2,792",870,934,581,"1,116","1,287",998,866,439,"3,856","3,317","3,023"
2021년03월_계_60~69세,"19,076","2,603","1,092","1,241",768,"1,398","1,651","1,033",900,600,"3,267","2,451","2,072"
2021년03월_계_70~79세,"10,220","1,346",665,727,465,827,983,613,559,364,"1,564","1,153",954
2021년03월_계_80~89세,"5,383",708,389,387,223,504,619,403,286,193,735,510,426
2021년03월_계_90~99세,850,107,54,71,43,83,94,59,67,29,110,76,57
2021년03월_계_100세 이상,27,4,3,2,0,2,2,2,0,1,5,4,2
2021년03월_남_총인구수,"56,842","8,015","2,423","2,665","1,551","3,262","3,635","2,541","2,179","1,269","10,848","9,288","9,166"
2021년03월_남_연령구간인구수,"56,842","8,015","2,423","2,665","1,551","3,262","3,635","2,541","2,179","1,269","10,848","9,288","9,166"
2021년03월_남_0~9세,"3,754",490,110,93,45,126,104,87,74,53,772,715,"1,085"
2021년03월_남_10~19세,"4,874",648,140,157,64,222,231,201,139,67,"1,006","1,097",902
2021년03월_남_20~29세,"6,683",932,264,232,149,308,368,229,204,105,"1,497","1,292","1,103"
2021년03월_남_30~39세,"6,001",998,162,209,101,250,257,164,156,100,"1,255","1,020","1,329"
2021년03월_남_40~49세,"8,217","1,188",228,279,148,412,368,301,255,146,"1,752","1,517","1,623"
2021년03월_남_50~59세,"10,518","1,498",470,513,312,616,694,576,486,231,"1,919","1,724","1,479"
2021년03월_남_60~69세,"9,718","1,316",556,648,406,735,882,543,453,302,"1,632","1,209","1,036"
2021년03월_남_70~79세,"4,886",656,344,364,231,407,455,274,286,174,728,517,450
2021년03월_남_80~89세,"1,991",260,134,153,88,168,245,149,114,82,264,184,150
2021년03월_남_90~99세,193,26,14,17,7,17,31,17,12,8,22,13,9
2021년03월_남_100세 이상,7,3,1,0,0,1,0,0,0,1,1,0,0
2021년03월_여_총인구수,"55,061","7,492","2,241","2,435","1,436","3,087","3,334","2,363","2,016","1,248","10,888","9,229","9,292"
2021년03월_여_연령구간인구수,"55,061","7,492","2,241","2,435","1,436","3,087","3,334","2,363","2,016","1,248","10,888","9,229","9,292"
2021년03월_여_0~9세,"3,552",514,86,76,46,154,107,76,69,62,734,645,983
2021년03월_여_10~19세,"4,603",612,113,122,76,215,176,145,127,73,954,"1,062",928
2021년03월_여_20~29세,"5,510",744,179,176,79,238,235,185,140,87,"1,316","1,130","1,001"
2021년03월_여_30~39세,"5,397",781,130,149,88,225,185,142,142,77,"1,187",948,"1,343"
2021년03월_여_40~49세,"7,677","1,040",179,245,111,269,302,266,211,121,"1,726","1,580","1,627"
2021년03월_여_50~59세,"9,561","1,294",400,421,269,500,593,422,380,208,"1,937","1,593","1,544"
2021년03월_여_60~69세,"9,358","1,287",536,593,362,663,769,490,447,298,"1,635","1,242","1,036"
2021년03월_여_70~79세,"5,334",690,321,363,234,420,528,339,273,190,836,636,504
2021년03월_여_80~89세,"3,392",448,255,234,135,336,374,254,172,111,471,326,276
2021년03월_여_90~99세,657,81,40,54,36,66,63,42,55,21,88,63,48
2021년03월_여_100세 이상,20,1,2,2,0,1,2,2,0,0,4,4,2
