카테고리,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2021년01월_계_총인구수,"90,416","30,843","4,047","19,228","5,160","5,157","3,551","3,172","12,712","3,604","2,942"
2021년01월_계_연령구간인구수,"90,416","30,843","4,047","19,228","5,160","5,157","3,551","3,172","12,712","3,604","2,942"
2021년01월_계_0~9세,"6,576","2,796",163,"1,475",186,301,107,94,"1,179",172,103
2021년01월_계_10~19세,"8,760","3,307",248,"2,525",353,451,169,169,"1,163",184,191
2021년01월_계_20~29세,"9,407","3,440",558,"2,206",461,481,268,197,"1,310",267,219
2021년01월_계_30~39세,"9,143","3,675",309,"1,897",367,440,222,181,"1,548",292,212
2021년01월_계_40~49세,"14,490","5,174",541,"3,680",698,741,421,406,"2,058",429,342
2021년01월_계_50~59세,"15,631","5,094",715,"3,475",931,937,580,502,"2,186",637,574
2021년01월_계_60~69세,"13,975","4,474",722,"2,208","1,104",876,809,697,"1,743",732,610
2021년01월_계_70~79세,"8,097","1,949",480,"1,192",715,649,624,580,941,538,429
2021년01월_계_80~89세,"3,771",813,264,498,296,257,303,310,510,299,221
2021년01월_계_90~99세,532,120,45,72,45,17,44,30,71,49,39
2021년01월_계_100세 이상,34,1,2,0,4,7,4,6,3,5,2
2021년01월_남_총인구수,"45,914","15,354","2,213","9,961","2,525","2,613","1,785","1,575","6,549","1,803","1,536"
2021년01월_남_연령구간인구수,"45,914","15,354","2,213","9,961","2,525","2,613","1,785","1,575","6,549","1,803","1,536"
2021년01월_남_0~9세,"3,385","1,436",77,759,104,149,53,56,613,85,53
2021년01월_남_10~19세,"4,568","1,655",144,"1,358",187,233,89,92,606,98,106
2021년01월_남_20~29세,"5,554","1,996",387,"1,319",254,286,165,104,751,156,136
2021년01월_남_30~39세,"4,896","1,921",185,"1,012",192,235,142,107,819,155,128
2021년01월_남_40~49세,"7,535","2,550",318,"1,802",382,425,251,243,"1,109",248,207
2021년01월_남_50~59세,"8,095","2,428",396,"1,869",460,497,313,284,"1,161",345,342
2021년01월_남_60~69세,"6,739","2,156",360,"1,077",523,401,362,322,865,363,310
2021년01월_남_70~79세,"3,663",901,228,566,306,290,294,226,443,236,173
2021년01월_남_80~89세,"1,359",285,108,184,107,90,102,130,173,105,75
2021년01월_남_90~99세,110,26,9,15,8,5,13,11,9,9,5
2021년01월_남_100세 이상,10,0,1,0,2,2,1,0,0,3,1
2021년01월_여_총인구수,"44,502","15,489","1,834","9,267","2,635","2,544","1,766","1,597","6,163","1,801","1,406"
2021년01월_여_연령구간인구수,"44,502","15,489","1,834","9,267","2,635","2,544","1,766","1,597","6,163","1,801","1,406"
2021년01월_여_0~9세,"3,191","1,360",86,716,82,152,54,38,566,87,50
2021년01월_여_10~19세,"4,192","1,652",104,"1,167",166,218,80,77,557,86,85
2021년01월_여_20~29세,"3,853","1,444",171,887,207,195,103,93,559,111,83
2021년01월_여_30~39세,"4,247","1,754",124,885,175,205,80,74,729,137,84
2021년01월_여_40~49세,"6,955","2,624",223,"1,878",316,316,170,163,949,181,135
2021년01월_여_50~59세,"7,536","2,666",319,"1,606",471,440,267,218,"1,025",292,232
2021년01월_여_60~69세,"7,236","2,318",362,"1,131",581,475,447,375,878,369,300
2021년01월_여_70~79세,"4,434","1,048",252,626,409,359,330,354,498,302,256
2021년01월_여_80~89세,"2,412",528,156,314,189,167,201,180,337,194,146
2021년01월_여_90~99세,422,94,36,57,37,12,31,19,62,40,34
2021년01월_여_100세 이상,24,1,1,0,2,5,3,6,3,2,1
