카테고리,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020년02월_계_총인구수,"442,483","17,039","24,729","15,527","15,731","24,869","15,397","16,233","18,915","23,522","15,552","26,194","36,846","16,926","40,088","27,209","20,089","20,344","13,764","17,844","35,665"
2020년02월_계_연령구간인구수,"442,483","17,039","24,729","15,527","15,731","24,869","15,397","16,233","18,915","23,522","15,552","26,194","36,846","16,926","40,088","27,209","20,089","20,344","13,764","17,844","35,665"
2020년02월_계_0~9세,"30,617",860,"1,286",619,894,"2,196",504,"1,006","1,507","1,593",720,"1,849","4,274","1,484","2,892","2,237","1,218","1,019",597,"1,796","2,066"
2020년02월_계_10~19세,"38,918","1,249","2,059","1,059","1,453","2,946",982,"1,045","1,860","1,990","1,063","2,284","4,881","1,433","3,838","2,697","1,548","1,654",957,"1,524","2,396"
2020년02월_계_20~29세,"66,407","2,778","4,419","4,305","2,151","2,976","4,859","2,861","2,357","3,181","2,980","3,285","3,498","2,129","5,770","3,068","3,534","2,987","1,792","2,281","5,196"
2020년02월_계_30~39세,"61,677","2,564","3,588","2,508","2,065","3,153","2,136","2,761","2,756","3,137","1,955","3,524","5,096","2,599","5,347","3,676","2,824","2,453","1,590","2,885","5,060"
2020년02월_계_40~49세,"72,270","2,649","3,976","2,114","2,351","4,686","1,785","2,516","3,354","3,716","2,038","4,384","8,085","2,965","6,695","4,758","2,977","3,025","2,036","2,846","5,314"
2020년02월_계_50~59세,"69,979","2,752","3,869","1,870","2,796","4,022","2,114","2,594","2,887","3,813","2,394","4,210","4,827","2,678","6,400","4,298","3,052","3,907","2,563","2,856","6,077"
2020년02월_계_60~69세,"53,374","2,001","2,713","1,445","2,139","2,627","1,479","1,841","2,143","3,266","2,138","3,519","3,194","2,039","4,592","3,454","2,548","2,898","2,146","2,083","5,109"
2020년02월_계_70~79세,"33,382","1,390","1,897","1,093","1,264","1,458","1,032","1,068","1,399","1,939","1,495","2,191","2,059","1,097","2,885","2,127","1,607","1,648","1,437","1,121","3,175"
2020년02월_계_80~89세,"13,556",658,786,427,542,688,439,454,565,763,646,805,790,427,"1,405",775,677,655,539,388,"1,127"
2020년02월_계_90~99세,"1,937",123,103,69,64,106,54,72,74,107,114,123,116,56,222,95,93,84,80,52,130
2020년02월_계_100세 이상,366,15,33,18,12,11,13,15,13,17,9,20,26,19,42,24,11,14,27,12,15
2020년02월_남_총인구수,"214,078","8,019","11,832","6,563","7,354","11,892","7,795","7,861","9,175","11,460","7,736","12,701","17,532","8,183","19,729","13,171","9,704","9,969","6,839","8,887","17,676"
2020년02월_남_연령구간인구수,"214,078","8,019","11,832","6,563","7,354","11,892","7,795","7,861","9,175","11,460","7,736","12,701","17,532","8,183","19,729","13,171","9,704","9,969","6,839","8,887","17,676"
2020년02월_남_0~9세,"15,645",423,679,301,424,"1,134",261,512,798,826,364,961,"2,201",784,"1,470","1,118",638,493,291,905,"1,062"
2020년02월_남_10~19세,"19,795",664,"1,073",466,684,"1,468",521,517,928,"1,048",556,"1,203","2,380",761,"2,050","1,308",773,855,488,781,"1,271"
2020년02월_남_20~29세,"32,334","1,287","2,001","1,425","1,008","1,490","2,574","1,400","1,194","1,612","1,677","1,680","1,678","1,020","3,048","1,487","1,552","1,559",919,"1,150","2,573"
2020년02월_남_30~39세,"30,694","1,210","1,761","1,164","1,019","1,470","1,178","1,415","1,334","1,618","1,096","1,713","2,295","1,261","2,646","1,824","1,462","1,322",842,"1,417","2,647"
2020년02월_남_40~49세,"35,652","1,281","1,967","1,005","1,110","2,215",904,"1,260","1,649","1,834","1,006","2,178","3,899","1,393","3,307","2,365","1,508","1,490","1,099","1,454","2,728"
2020년02월_남_50~59세,"34,461","1,292","1,945",907,"1,341","1,939","1,037","1,238","1,427","1,822","1,172","2,030","2,440","1,337","3,216","2,148","1,542","1,878","1,303","1,453","2,994"
2020년02월_남_60~69세,"25,147",950,"1,276",641,993,"1,253",703,878,998,"1,518",959,"1,613","1,438",976,"2,173","1,634","1,238","1,389","1,016","1,021","2,480"
2020년02월_남_70~79세,"14,526",598,793,463,551,625,430,456,607,843,624,961,894,468,"1,225",963,708,713,642,528,"1,434"
2020년02월_남_80~89세,"5,227",270,301,166,196,268,170,166,221,308,252,322,275,162,516,299,262,241,218,164,450
2020년02월_남_90~99세,503,36,28,20,23,27,13,14,18,29,28,37,25,16,64,19,20,25,18,12,31
2020년02월_남_100세 이상,94,8,8,5,5,3,4,5,1,2,2,3,7,5,14,6,1,4,3,2,6
2020년02월_여_총인구수,"228,405","9,020","12,897","8,964","8,377","12,977","7,602","8,372","9,740","12,062","7,816","13,493","19,314","8,743","20,359","14,038","10,385","10,375","6,925","8,957","17,989"
2020년02월_여_연령구간인구수,"228,405","9,020","12,897","8,964","8,377","12,977","7,602","8,372","9,740","12,062","7,816","13,493","19,314","8,743","20,359","14,038","10,385","10,375","6,925","8,957","17,989"
2020년02월_여_0~9세,"14,972",437,607,318,470,"1,062",243,494,709,767,356,888,"2,073",700,"1,422","1,119",580,526,306,891,"1,004"
2020년02월_여_10~19세,"19,123",585,986,593,769,"1,478",461,528,932,942,507,"1,081","2,501",672,"1,788","1,389",775,799,469,743,"1,125"
2020년02월_여_20~29세,"34,073","1,491","2,418","2,880","1,143","1,486","2,285","1,461","1,163","1,569","1,303","1,605","1,820","1,109","2,722","1,581","1,982","1,428",873,"1,131","2,623"
2020년02월_여_30~39세,"30,983","1,354","1,827","1,344","1,046","1,683",958,"1,346","1,422","1,519",859,"1,811","2,801","1,338","2,701","1,852","1,362","1,131",748,"1,468","2,413"
2020년02월_여_40~49세,"36,618","1,368","2,009","1,109","1,241","2,471",881,"1,256","1,705","1,882","1,032","2,206","4,186","1,572","3,388","2,393","1,469","1,535",937,"1,392","2,586"
2020년02월_여_50~59세,"35,518","1,460","1,924",963,"1,455","2,083","1,077","1,356","1,460","1,991","1,222","2,180","2,387","1,341","3,184","2,150","1,510","2,029","1,260","1,403","3,083"
2020년02월_여_60~69세,"28,227","1,051","1,437",804,"1,146","1,374",776,963,"1,145","1,748","1,179","1,906","1,756","1,063","2,419","1,820","1,310","1,509","1,130","1,062","2,629"
2020년02월_여_70~79세,"18,856",792,"1,104",630,713,833,602,612,792,"1,096",871,"1,230","1,165",629,"1,660","1,164",899,935,795,593,"1,741"
2020년02월_여_80~89세,"8,329",388,485,261,346,420,269,288,344,455,394,483,515,265,889,476,415,414,321,224,677
2020년02월_여_90~99세,"1,434",87,75,49,41,79,41,58,56,78,86,86,91,40,158,76,73,59,62,40,99
2020년02월_여_100세 이상,272,7,25,13,7,8,9,10,12,15,7,17,19,14,28,18,10,10,24,10,9
