,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2020년09월_계_총인구수,"93,813","17,070","20,149","2,927","3,054","13,192","15,758","7,011","4,545","10,107"
2020년09월_계_연령구간인구수,"93,813","17,070","20,149","2,927","3,054","13,192","15,758","7,011","4,545","10,107"
2020년09월_계_0~9세,"6,125",928,"1,371",52,67,"1,622","1,147",255,172,511
2020년09월_계_10~19세,"7,792","1,422","2,044",119,155,"1,014","1,585",450,231,772
2020년09월_계_20~29세,"9,547","1,751","2,249",163,174,"1,441","1,776",614,345,"1,034"
2020년09월_계_30~39세,"9,928","1,558","2,072",181,171,"2,417","1,732",597,312,888
2020년09월_계_40~49세,"13,974","2,346","3,367",222,232,"2,223","2,893",904,487,"1,300"
2020년09월_계_50~59세,"17,818","3,283","3,920",547,536,"1,822","3,211","1,562",951,"1,986"
2020년09월_계_60~69세,"14,985","3,016","2,774",686,781,"1,480","1,944","1,386","1,014","1,904"
2020년09월_계_70~79세,"8,243","1,738","1,432",541,537,725,898,732,591,"1,049"
2020년09월_계_80~89세,"4,641",888,791,364,341,366,501,445,379,566
2020년09월_계_90~99세,705,133,115,50,56,66,71,62,58,94
2020년09월_계_100세 이상,55,7,14,2,4,16,0,4,5,3
2020년09월_남_총인구수,"49,775","8,730","10,762","1,495","1,606","7,048","8,622","3,890","2,481","5,141"
2020년09월_남_연령구간인구수,"49,775","8,730","10,762","1,495","1,606","7,048","8,622","3,890","2,481","5,141"
2020년09월_남_0~9세,"3,199",478,718,26,33,856,599,151,89,249
2020년09월_남_10~19세,"4,043",720,"1,117",63,101,502,824,244,114,358
2020년09월_남_20~29세,"5,585",989,"1,355",97,104,772,"1,071",379,232,586
2020년09월_남_30~39세,"5,560",870,"1,150",108,101,"1,290","1,002",370,190,479
2020년09월_남_40~49세,"7,866","1,258","1,856",147,157,"1,243","1,591",577,310,727
2020년09월_남_50~59세,"9,921","1,755","2,199",303,293,"1,002","1,874",895,546,"1,054"
2020년09월_남_60~69세,"7,931","1,522","1,431",362,432,847,"1,054",764,549,970
2020년09월_남_70~79세,"3,898",810,628,243,261,366,417,354,302,517
2020년09월_남_80~89세,"1,575",284,278,136,109,143,172,141,133,179
2020년09월_남_90~99세,172,41,27,10,14,13,18,13,14,22
2020년09월_남_100세 이상,25,3,3,0,1,14,0,2,2,0
2020년09월_여_총인구수,"44,038","8,340","9,387","1,432","1,448","6,144","7,136","3,121","2,064","4,966"
2020년09월_여_연령구간인구수,"44,038","8,340","9,387","1,432","1,448","6,144","7,136","3,121","2,064","4,966"
2020년09월_여_0~9세,"2,926",450,653,26,34,766,548,104,83,262
2020년09월_여_10~19세,"3,749",702,927,56,54,512,761,206,117,414
2020년09월_여_20~29세,"3,962",762,894,66,70,669,705,235,113,448
2020년09월_여_30~39세,"4,368",688,922,73,70,"1,127",730,227,122,409
2020년09월_여_40~49세,"6,108","1,088","1,511",75,75,980,"1,302",327,177,573
2020년09월_여_50~59세,"7,897","1,528","1,721",244,243,820,"1,337",667,405,932
2020년09월_여_60~69세,"7,054","1,494","1,343",324,349,633,890,622,465,934
2020년09월_여_70~79세,"4,345",928,804,298,276,359,481,378,289,532
2020년09월_여_80~89세,"3,066",604,513,228,232,223,329,304,246,387
2020년09월_여_90~99세,533,92,88,40,42,53,53,49,44,72
2020년09월_여_100세 이상,30,4,11,2,3,2,0,2,3,3
