카테고리,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2021년04월_계_총인구수,"147,113","12,063","9,535","2,519","9,771","18,294","8,347","10,220","4,197","7,250","5,241","7,390","16,707","5,049","8,175","6,727","6,014","9,614"
2021년04월_계_연령구간인구수,"147,113","12,063","9,535","2,519","9,771","18,294","8,347","10,220","4,197","7,250","5,241","7,390","16,707","5,049","8,175","6,727","6,014","9,614"
2021년04월_계_0~9세,"7,306",785,571,107,527,"1,155",691,836,188,187,110,234,649,128,225,368,281,264
2021년04월_계_10~19세,"10,859","1,144",678,190,899,"1,614",996,822,327,224,276,410,"1,385",231,465,505,352,341
2021년04월_계_20~29세,"23,240","1,575","1,245",308,"1,301","2,416",915,"1,253",486,928,"1,110","1,641","4,404",613,"1,154",946,806,"2,139"
2021년04월_계_30~39세,"19,729","1,608","1,455",332,"1,209","2,238",947,"1,661",559,936,734,"1,250","2,045",532,889,929,825,"1,580"
2021년04월_계_40~49세,"21,690","2,125","1,489",358,"1,602","2,719","1,445","1,808",732,959,577,941,"2,213",614,"1,035",923,899,"1,251"
2021년04월_계_50~59세,"25,125","1,917","1,546",394,"1,687","3,270","1,400","1,584",703,"1,320",926,"1,083","2,355","1,079","1,819","1,246","1,145","1,651"
2021년04월_계_60~69세,"20,153","1,372","1,228",400,"1,325","2,583","1,010","1,170",579,"1,414",758,932,"1,644","1,044","1,424","1,021",899,"1,350"
2021년04월_계_70~79세,"12,006",941,771,253,767,"1,357",596,718,396,833,498,556,"1,245",533,792,511,532,707
2021년04월_계_80~89세,"5,990",520,469,143,375,772,301,323,188,385,219,303,663,242,321,237,234,295
2021년04월_계_90~99세,951,69,78,28,75,160,43,44,37,59,32,38,99,33,46,40,35,35
2021년04월_계_100세 이상,64,7,5,6,4,10,3,1,2,5,1,2,5,0,5,1,6,1
2021년04월_남_총인구수,"71,567","5,598","4,280","1,208","4,673","8,523","3,902","4,731","1,941","4,335","2,826","3,488","8,030","2,714","4,198","3,301","2,920","4,899"
2021년04월_남_연령구간인구수,"71,567","5,598","4,280","1,208","4,673","8,523","3,902","4,731","1,941","4,335","2,826","3,488","8,030","2,714","4,198","3,301","2,920","4,899"
2021년04월_남_0~9세,"3,655",398,281,48,258,589,317,425,92,97,52,119,315,64,124,197,148,131
2021년04월_남_10~19세,"5,401",614,302,109,483,806,453,387,175,107,136,191,685,123,241,251,160,178
2021년04월_남_20~29세,"11,375",779,575,165,686,"1,219",422,589,226,478,559,770,"2,170",326,604,508,402,897
2021년04월_남_30~39세,"9,786",735,627,158,584,"1,036",439,750,253,528,428,612,"1,080",308,527,451,423,847
2021년04월_남_40~49세,"10,578",958,663,169,735,"1,216",679,856,351,596,345,462,"1,060",318,538,457,474,701
2021년04월_남_50~59세,"12,685",880,701,200,770,"1,500",735,763,327,926,529,538,"1,140",610,968,601,570,927
2021년04월_남_60~69세,"10,036",619,575,184,633,"1,205",464,540,270,910,437,441,793,594,715,508,422,726
2021년04월_남_70~79세,"5,318",378,318,115,344,598,253,283,161,487,234,238,495,273,337,228,220,356
2021년04월_남_80~89세,"2,417",212,204,47,156,308,126,126,76,186,98,103,263,88,127,83,88,126
2021년04월_남_90~99세,295,24,32,12,23,41,12,12,9,17,8,13,29,10,17,16,10,10
2021년04월_남_100세 이상,21,1,2,1,1,5,2,0,1,3,0,1,0,0,0,1,3,0
2021년04월_여_총인구수,"75,546","6,465","5,255","1,311","5,098","9,771","4,445","5,489","2,256","2,915","2,415","3,902","8,677","2,335","3,977","3,426","3,094","4,715"
2021년04월_여_연령구간인구수,"75,546","6,465","5,255","1,311","5,098","9,771","4,445","5,489","2,256","2,915","2,415","3,902","8,677","2,335","3,977","3,426","3,094","4,715"
2021년04월_여_0~9세,"3,651",387,290,59,269,566,374,411,96,90,58,115,334,64,101,171,133,133
2021년04월_여_10~19세,"5,458",530,376,81,416,808,543,435,152,117,140,219,700,108,224,254,192,163
2021년04월_여_20~29세,"11,865",796,670,143,615,"1,197",493,664,260,450,551,871,"2,234",287,550,438,404,"1,242"
2021년04월_여_30~39세,"9,943",873,828,174,625,"1,202",508,911,306,408,306,638,965,224,362,478,402,733
2021년04월_여_40~49세,"11,112","1,167",826,189,867,"1,503",766,952,381,363,232,479,"1,153",296,497,466,425,550
2021년04월_여_50~59세,"12,440","1,037",845,194,917,"1,770",665,821,376,394,397,545,"1,215",469,851,645,575,724
2021년04월_여_60~69세,"10,117",753,653,216,692,"1,378",546,630,309,504,321,491,851,450,709,513,477,624
2021년04월_여_70~79세,"6,688",563,453,138,423,759,343,435,235,346,264,318,750,260,455,283,312,351
2021년04월_여_80~89세,"3,573",308,265,96,219,464,175,197,112,199,121,200,400,154,194,154,146,169
2021년04월_여_90~99세,656,45,46,16,52,119,31,32,28,42,24,25,70,23,29,24,25,25
2021년04월_여_100세 이상,43,6,3,5,3,5,1,1,1,2,1,1,5,0,5,0,3,1
