,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020년08월_계_총인구수,"35,071","6,882","1,431","1,060","2,060","2,926","1,846","4,175","5,627","5,776","1,201","2,087"
2020년08월_계_연령구간인구수,"35,071","6,882","1,431","1,060","2,060","2,926","1,846","4,175","5,627","5,776","1,201","2,087"
2020년08월_계_0~9세,"1,408",415,47,37,54,91,38,140,172,337,39,38
2020년08월_계_10~19세,"2,130",530,44,49,97,163,82,283,211,520,44,107
2020년08월_계_20~29세,"2,492",637,74,38,99,172,110,318,364,525,58,97
2020년08월_계_30~39세,"2,219",653,59,43,95,196,75,222,310,430,61,75
2020년08월_계_40~49세,"3,573",839,113,92,141,280,153,483,523,674,95,180
2020년08월_계_50~59세,"6,647","1,179",233,173,329,552,415,892,"1,198","1,117",183,376
2020년08월_계_60~69세,"7,106","1,132",339,201,440,563,415,874,"1,308","1,058",306,470
2020년08월_계_70~79세,"5,317",854,261,209,444,513,338,575,900,592,233,398
2020년08월_계_80~89세,"3,626",544,228,192,314,336,193,337,565,460,150,307
2020년08월_계_90~99세,533,95,33,26,44,58,26,49,72,61,32,37
2020년08월_계_100세 이상,20,4,0,0,3,2,1,2,4,2,0,2
2020년08월_남_총인구수,"17,203","3,335",699,509,991,"1,442",912,"2,065","2,804","2,844",573,"1,029"
2020년08월_남_연령구간인구수,"17,203","3,335",699,509,991,"1,442",912,"2,065","2,804","2,844",573,"1,029"
2020년08월_남_0~9세,744,215,25,19,37,48,23,69,106,168,18,16
2020년08월_남_10~19세,"1,149",274,28,30,57,92,49,157,118,263,21,60
2020년08월_남_20~29세,"1,419",371,43,16,59,95,64,167,204,305,37,58
2020년08월_남_30~39세,"1,200",333,37,23,56,113,48,114,175,227,33,41
2020년08월_남_40~49세,"1,992",434,66,59,97,164,83,254,309,352,59,115
2020년08월_남_50~59세,"3,567",619,140,105,185,297,217,482,620,565,114,223
2020년08월_남_60~69세,"3,653",554,176,108,224,292,215,428,684,566,158,248
2020년08월_남_70~79세,"2,306",367,114,82,174,220,145,261,426,252,89,176
2020년08월_남_80~89세,"1,059",148,59,64,94,106,62,119,153,135,37,82
2020년08월_남_90~99세,112,20,11,3,7,15,6,13,9,11,7,10
2020년08월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2020년08월_여_총인구수,"17,868","3,547",732,551,"1,069","1,484",934,"2,110","2,823","2,932",628,"1,058"
2020년08월_여_연령구간인구수,"17,868","3,547",732,551,"1,069","1,484",934,"2,110","2,823","2,932",628,"1,058"
2020년08월_여_0~9세,664,200,22,18,17,43,15,71,66,169,21,22
2020년08월_여_10~19세,981,256,16,19,40,71,33,126,93,257,23,47
2020년08월_여_20~29세,"1,073",266,31,22,40,77,46,151,160,220,21,39
2020년08월_여_30~39세,"1,019",320,22,20,39,83,27,108,135,203,28,34
2020년08월_여_40~49세,"1,581",405,47,33,44,116,70,229,214,322,36,65
2020년08월_여_50~59세,"3,080",560,93,68,144,255,198,410,578,552,69,153
2020년08월_여_60~69세,"3,453",578,163,93,216,271,200,446,624,492,148,222
2020년08월_여_70~79세,"3,011",487,147,127,270,293,193,314,474,340,144,222
2020년08월_여_80~89세,"2,567",396,169,128,220,230,131,218,412,325,113,225
2020년08월_여_90~99세,421,75,22,23,37,43,20,36,63,50,25,27
2020년08월_여_100세 이상,18,4,0,0,2,2,1,1,4,2,0,2
