,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2020년07월_계_총인구수,"24,753","8,434","2,733","2,894","4,259","6,433"
2020년07월_계_연령구간인구수,"24,753","8,434","2,733","2,894","4,259","6,433"
2020년07월_계_0~9세,"1,846",738,55,137,313,603
2020년07월_계_10~19세,"1,812",760,151,275,167,459
2020년07월_계_20~29세,"3,849","1,203",282,278,"1,075","1,011"
2020년07월_계_30~39세,"2,847","1,022",144,253,546,882
2020년07월_계_40~49세,"2,767","1,168",214,378,336,671
2020년07월_계_50~59세,"3,986","1,337",602,541,538,968
2020년07월_계_60~69세,"3,655","1,030",595,483,597,950
2020년07월_계_70~79세,"2,451",748,417,326,406,554
2020년07월_계_80~89세,"1,318",374,230,193,238,283
2020년07월_계_90~99세,207,51,42,25,41,48
2020년07월_계_100세 이상,15,3,1,5,2,4
2020년07월_남_총인구수,"13,421","4,415","1,467","1,508","2,576","3,455"
2020년07월_남_연령구간인구수,"13,421","4,415","1,467","1,508","2,576","3,455"
2020년07월_남_0~9세,927,374,30,73,146,304
2020년07월_남_10~19세,925,398,73,144,93,217
2020년07월_남_20~29세,"2,677",740,217,153,868,699
2020년07월_남_30~39세,"1,662",577,82,124,376,503
2020년07월_남_40~49세,"1,510",608,104,221,202,375
2020년07월_남_50~59세,"2,152",724,339,302,288,499
2020년07월_남_60~69세,"1,959",544,333,263,330,489
2020년07월_남_70~79세,"1,075",305,191,155,175,249
2020년07월_남_80~89세,473,132,87,64,88,102
2020년07월_남_90~99세,54,12,10,7,9,16
2020년07월_남_100세 이상,7,1,1,2,1,2
2020년07월_여_총인구수,"11,332","4,019","1,266","1,386","1,683","2,978"
2020년07월_여_연령구간인구수,"11,332","4,019","1,266","1,386","1,683","2,978"
2020년07월_여_0~9세,919,364,25,64,167,299
2020년07월_여_10~19세,887,362,78,131,74,242
2020년07월_여_20~29세,"1,172",463,65,125,207,312
2020년07월_여_30~39세,"1,185",445,62,129,170,379
2020년07월_여_40~49세,"1,257",560,110,157,134,296
2020년07월_여_50~59세,"1,834",613,263,239,250,469
2020년07월_여_60~69세,"1,696",486,262,220,267,461
2020년07월_여_70~79세,"1,376",443,226,171,231,305
2020년07월_여_80~89세,845,242,143,129,150,181
2020년07월_여_90~99세,153,39,32,18,32,32
2020년07월_여_100세 이상,8,2,0,3,1,2
