카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년09월_계_총인구수,"369,903","25,263","37,269","21,281","21,663","14,501","16,597","22,565","24,930","25,013","17,519","20,270","18,644","15,128","18,939","39,568","30,753"
2021년09월_계_연령구간인구수,"369,903","25,263","37,269","21,281","21,663","14,501","16,597","22,565","24,930","25,013","17,519","20,270","18,644","15,128","18,939","39,568","30,753"
2021년09월_계_0~9세,"23,941","2,710","2,204","1,448","2,151",645,"1,447","1,680","1,751",810,943,973,"1,109",586,870,"2,309","2,305"
2021년09월_계_10~19세,"27,896","1,665","2,210","1,560","2,045",834,"1,524","1,825","1,716","1,164",910,"1,279","1,521",768,"1,416","3,374","4,085"
2021년09월_계_20~29세,"61,867","3,090","6,207","2,888","2,196","3,599","2,486","3,372","5,019","6,298","3,337","3,345","2,818","3,224","3,124","6,549","4,315"
2021년09월_계_30~39세,"63,757","4,882","6,503","3,591","3,681","2,435","2,618","3,570","4,149","5,373","3,617","3,825","2,887","3,036","3,258","6,546","3,786"
2021년09월_계_40~49세,"60,166","4,311","5,293","3,106","4,326","2,054","3,071","3,792","3,915","3,660","2,606","3,169","3,184","2,228","3,248","6,288","5,915"
2021년09월_계_50~59세,"54,820","3,839","6,294","3,431","3,052","2,040","2,461","3,584","3,651","3,074","2,359","2,937","2,808","1,971","2,862","5,856","4,601"
2021년09월_계_60~69세,"40,864","2,806","4,605","2,768","2,207","1,501","1,560","2,507","2,583","2,276","1,948","2,444","2,215","1,713","2,246","4,377","3,108"
2021년09월_계_70~79세,"23,535","1,193","2,505","1,504","1,269",855,891,"1,456","1,358","1,475","1,184","1,556","1,449",999,"1,294","2,843","1,704"
2021년09월_계_80~89세,"11,367",656,"1,292",850,631,453,476,681,689,748,534,654,582,517,563,"1,231",810
2021년09월_계_90~99세,"1,583",102,143,133,102,72,51,93,97,126,79,83,65,81,55,187,114
2021년09월_계_100세 이상,107,9,13,2,3,13,12,5,2,9,2,5,6,5,3,8,10
2021년09월_남_총인구수,"174,119","11,855","17,508","10,154","10,239","7,013","8,008","10,981","11,868","11,491","8,106","9,539","8,757","7,168","8,902","17,925","14,605"
2021년09월_남_연령구간인구수,"174,119","11,855","17,508","10,154","10,239","7,013","8,008","10,981","11,868","11,491","8,106","9,539","8,757","7,168","8,902","17,925","14,605"
2021년09월_남_0~9세,"12,240","1,336","1,158",772,"1,051",351,736,850,918,406,483,489,576,285,431,"1,167","1,231"
2021년09월_남_10~19세,"14,042",801,"1,098",802,986,445,768,981,862,558,445,639,755,417,687,"1,754","2,044"
2021년09월_남_20~29세,"27,744","1,350","2,664","1,383","1,025","1,631","1,154","1,740","2,327","2,718","1,452","1,548","1,281","1,477","1,463","2,619","1,912"
2021년09월_남_30~39세,"30,138","2,243","3,109","1,717","1,698","1,223","1,263","1,719","1,978","2,511","1,720","1,848","1,355","1,503","1,581","2,945","1,725"
2021년09월_남_40~49세,"29,181","2,157","2,621","1,511","2,053","1,019","1,541","1,777","1,872","1,780","1,257","1,541","1,567","1,129","1,556","2,995","2,805"
2021년09월_남_50~59세,"26,934","1,855","3,097","1,634","1,553","1,061","1,248","1,801","1,773","1,483","1,113","1,444","1,360",937,"1,364","2,835","2,376"
2021년09월_남_60~69세,"19,060","1,348","2,221","1,310","1,056",722,732,"1,197","1,245","1,040",898,"1,113",986,771,"1,016","1,987","1,418"
