,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2021년10월_계_총인구수,"30,399","9,854","2,092","2,226","3,574","1,515","1,889","2,274","2,714","2,178","2,083"
2021년10월_계_연령구간인구수,"30,399","9,854","2,092","2,226","3,574","1,515","1,889","2,274","2,714","2,178","2,083"
2021년10월_계_0~9세,"1,173",613,44,65,132,38,43,73,73,48,44
2021년10월_계_10~19세,"1,964",948,86,84,257,86,98,105,103,104,93
2021년10월_계_20~29세,"2,480","1,187",133,147,332,85,101,115,165,113,102
2021년10월_계_30~39세,"1,944",870,93,99,259,69,101,95,131,109,118
2021년10월_계_40~49세,"2,957","1,223",158,208,381,119,158,188,191,175,156
2021년10월_계_50~59세,"5,065","1,651",343,409,609,301,286,352,454,308,352
2021년10월_계_60~69세,"6,478","1,618",494,556,713,343,465,546,646,555,542
2021년10월_계_70~79세,"4,471","1,010",362,337,499,234,341,448,476,402,362
2021년10월_계_80~89세,"3,376",625,336,280,346,209,258,316,419,311,276
2021년10월_계_90~99세,483,106,43,40,46,31,37,36,56,52,36
2021년10월_계_100세 이상,8,3,0,1,0,0,1,0,0,1,2
2021년10월_남_총인구수,"15,450","4,971","1,050","1,166","1,874",793,976,"1,152","1,355","1,096","1,017"
2021년10월_남_연령구간인구수,"15,450","4,971","1,050","1,166","1,874",793,976,"1,152","1,355","1,096","1,017"
2021년10월_남_0~9세,603,317,23,34,68,24,20,35,38,26,18
2021년10월_남_10~19세,"1,024",475,53,44,140,51,51,50,60,49,51
2021년10월_남_20~29세,"1,461",672,81,88,216,54,64,58,95,73,60
2021년10월_남_30~39세,"1,093",453,54,60,155,38,62,57,80,67,67
2021년10월_남_40~49세,"1,732",651,90,131,218,71,107,135,117,112,100
2021년10월_남_50~59세,"2,796",883,184,233,330,175,174,205,262,164,186
2021년10월_남_60~69세,"3,328",780,267,297,378,190,242,278,340,280,276
2021년10월_남_70~79세,"2,081",492,166,169,227,109,159,199,207,195,158
2021년10월_남_80~89세,"1,202",219,123,102,122,74,86,125,143,113,95
2021년10월_남_90~99세,127,27,9,8,20,7,10,10,13,17,6
2021년10월_남_100세 이상,3,2,0,0,0,0,1,0,0,0,0
2021년10월_여_총인구수,"14,949","4,883","1,042","1,060","1,700",722,913,"1,122","1,359","1,082","1,066"
2021년10월_여_연령구간인구수,"14,949","4,883","1,042","1,060","1,700",722,913,"1,122","1,359","1,082","1,066"
2021년10월_여_0~9세,570,296,21,31,64,14,23,38,35,22,26
2021년10월_여_10~19세,940,473,33,40,117,35,47,55,43,55,42
2021년10월_여_20~29세,"1,019",515,52,59,116,31,37,57,70,40,42
2021년10월_여_30~39세,851,417,39,39,104,31,39,38,51,42,51
2021년10월_여_40~49세,"1,225",572,68,77,163,48,51,53,74,63,56
2021년10월_여_50~59세,"2,269",768,159,176,279,126,112,147,192,144,166
2021년10월_여_60~69세,"3,150",838,227,259,335,153,223,268,306,275,266
2021년10월_여_70~79세,"2,390",518,196,168,272,125,182,249,269,207,204
2021년10월_여_80~89세,"2,174",406,213,178,224,135,172,191,276,198,181
2021년10월_여_90~99세,356,79,34,32,26,24,27,26,43,35,30
2021년10월_여_100세 이상,5,1,0,1,0,0,0,0,0,1,2
