,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2021년03월_계_총인구수,"27,888","7,819","1,883","1,667","2,360","1,332","1,915","1,164","4,171","2,449","1,693","1,435"
2021년03월_계_연령구간인구수,"27,888","7,819","1,883","1,667","2,360","1,332","1,915","1,164","4,171","2,449","1,693","1,435"
2021년03월_계_0~9세,"1,055",461,64,27,70,19,41,30,194,66,45,38
2021년03월_계_10~19세,"1,906",657,130,87,128,37,89,43,397,199,82,57
2021년03월_계_20~29세,"2,260",759,104,98,146,74,132,80,458,194,102,113
2021년03월_계_30~39세,"1,698",628,95,65,111,63,83,44,337,103,98,71
2021년03월_계_40~49세,"2,994","1,044",172,146,203,96,162,77,502,320,155,117
2021년03월_계_50~59세,"4,889","1,288",302,277,424,246,352,206,753,467,300,274
2021년03월_계_60~69세,"5,093","1,258",397,354,446,279,408,237,663,393,320,338
2021년03월_계_70~79세,"4,215",982,323,305,397,257,354,234,490,344,310,219
2021년03월_계_80~89세,"3,224",629,265,257,374,229,242,188,319,307,238,176
2021년03월_계_90~99세,537,106,30,51,60,29,52,25,56,56,42,30
2021년03월_계_100세 이상,17,7,1,0,1,3,0,0,2,0,1,2
2021년03월_남_총인구수,"13,648","3,773",924,817,"1,114",651,934,574,"2,072","1,221",832,736
2021년03월_남_연령구간인구수,"13,648","3,773",924,817,"1,114",651,934,574,"2,072","1,221",832,736
2021년03월_남_0~9세,536,235,28,10,41,13,26,18,88,34,21,22
2021년03월_남_10~19세,"1,013",348,71,50,72,14,50,18,210,108,42,30
2021년03월_남_20~29세,"1,241",404,65,62,82,46,69,49,242,103,55,64
2021년03월_남_30~39세,902,298,57,44,58,43,44,27,182,58,53,38
2021년03월_남_40~49세,"1,659",540,99,95,106,59,88,52,263,181,108,68
2021년03월_남_50~59세,"2,705",690,168,147,233,139,190,118,410,285,170,155
2021년03월_남_60~69세,"2,674",614,212,192,227,149,220,131,341,217,175,196
2021년03월_남_70~79세,"1,809",423,128,125,176,110,163,98,222,137,125,102
2021년03월_남_80~89세,"1,004",206,90,81,108,73,76,60,97,87,72,54
2021년03월_남_90~99세,101,14,6,11,10,5,8,3,16,11,10,7
2021년03월_남_100세 이상,4,1,0,0,1,0,0,0,1,0,1,0
2021년03월_여_총인구수,"14,240","4,046",959,850,"1,246",681,981,590,"2,099","1,228",861,699
2021년03월_여_연령구간인구수,"14,240","4,046",959,850,"1,246",681,981,590,"2,099","1,228",861,699
2021년03월_여_0~9세,519,226,36,17,29,6,15,12,106,32,24,16
2021년03월_여_10~19세,893,309,59,37,56,23,39,25,187,91,40,27
2021년03월_여_20~29세,"1,019",355,39,36,64,28,63,31,216,91,47,49
2021년03월_여_30~39세,796,330,38,21,53,20,39,17,155,45,45,33
2021년03월_여_40~49세,"1,335",504,73,51,97,37,74,25,239,139,47,49
2021년03월_여_50~59세,"2,184",598,134,130,191,107,162,88,343,182,130,119
2021년03월_여_60~69세,"2,419",644,185,162,219,130,188,106,322,176,145,142
2021년03월_여_70~79세,"2,406",559,195,180,221,147,191,136,268,207,185,117
2021년03월_여_80~89세,"2,220",423,175,176,266,156,166,128,222,220,166,122
2021년03월_여_90~99세,436,92,24,40,50,24,44,22,40,45,32,23
2021년03월_여_100세 이상,13,6,1,0,0,3,0,0,1,0,0,2
