카테고리,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2021년03월_계_총인구수,"30,494","10,865","3,017","3,595","3,499","3,422","3,145","2,312",259,380
2021년03월_계_연령구간인구수,"30,494","10,865","3,017","3,595","3,499","3,422","3,145","2,312",259,380
2021년03월_계_0~9세,"1,648",874,111,183,118,112,106,103,14,27
2021년03월_계_10~19세,"2,199","1,158",168,244,161,189,114,117,8,40
2021년03월_계_20~29세,"2,538","1,247",200,259,221,225,208,143,14,21
2021년03월_계_30~39세,"2,191","1,116",167,250,191,169,147,117,13,21
2021년03월_계_40~49세,"3,578","1,607",318,386,360,305,237,284,31,50
2021년03월_계_50~59세,"4,979","1,705",513,563,624,601,495,372,43,63
2021년03월_계_60~69세,"5,345","1,502",602,730,704,652,641,410,45,59
2021년03월_계_70~79세,"4,666","1,050",531,544,648,668,680,429,49,67
2021년03월_계_80~89세,"2,961",538,359,380,413,429,462,313,40,27
2021년03월_계_90~99세,376,64,47,53,58,72,53,22,2,5
2021년03월_계_100세 이상,13,4,1,3,1,0,2,2,0,0
2021년03월_남_총인구수,"15,100","5,348","1,530","1,751","1,793","1,644","1,510","1,193",136,195
2021년03월_남_연령구간인구수,"15,100","5,348","1,530","1,751","1,793","1,644","1,510","1,193",136,195
2021년03월_남_0~9세,796,414,57,97,64,52,48,44,7,13
2021년03월_남_10~19세,"1,116",591,82,121,87,90,56,61,8,20
2021년03월_남_20~29세,"1,493",730,128,140,126,126,132,90,5,16
2021년03월_남_30~39세,"1,191",569,99,140,118,94,83,69,7,12
2021년03월_남_40~49세,"2,077",818,192,233,244,185,162,187,22,34
2021년03월_남_50~59세,"2,781",862,301,307,362,340,289,249,28,43
2021년03월_남_60~69세,"2,711",727,317,362,362,341,314,234,28,26
2021년03월_남_70~79세,"1,998",459,232,228,280,288,287,177,23,24
2021년03월_남_80~89세,868,164,112,115,137,119,128,80,7,6
2021년03월_남_90~99세,69,14,10,8,13,9,11,2,1,1
2021년03월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"15,394","5,517","1,487","1,844","1,706","1,778","1,635","1,119",123,185
2021년03월_여_연령구간인구수,"15,394","5,517","1,487","1,844","1,706","1,778","1,635","1,119",123,185
2021년03월_여_0~9세,852,460,54,86,54,60,58,59,7,14
2021년03월_여_10~19세,"1,083",567,86,123,74,99,58,56,0,20
2021년03월_여_20~29세,"1,045",517,72,119,95,99,76,53,9,5
2021년03월_여_30~39세,"1,000",547,68,110,73,75,64,48,6,9
2021년03월_여_40~49세,"1,501",789,126,153,116,120,75,97,9,16
2021년03월_여_50~59세,"2,198",843,212,256,262,261,206,123,15,20
2021년03월_여_60~69세,"2,634",775,285,368,342,311,327,176,17,33
2021년03월_여_70~79세,"2,668",591,299,316,368,380,393,252,26,43
2021년03월_여_80~89세,"2,093",374,247,265,276,310,334,233,33,21
2021년03월_여_90~99세,307,50,37,45,45,63,42,20,1,4
2021년03월_여_100세 이상,13,4,1,3,1,0,2,2,0,0
