,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2021년07월_계_총인구수,"35,732","10,872","6,097","2,332","1,121","1,481",530,907,"1,697","6,286","2,742","1,667"
2021년07월_계_연령구간인구수,"35,732","10,872","6,097","2,332","1,121","1,481",530,907,"1,697","6,286","2,742","1,667"
2021년07월_계_0~9세,"1,544",747,212,43,12,36,9,25,36,336,64,24
2021년07월_계_10~19세,"2,055",918,297,62,33,36,13,31,70,421,129,45
2021년07월_계_20~29세,"2,313",931,397,120,47,68,17,42,78,459,105,49
2021년07월_계_30~39세,"2,275",968,374,108,43,55,11,33,73,435,116,59
2021년07월_계_40~49세,"3,731","1,548",628,173,61,97,28,75,158,677,190,96
2021년07월_계_50~59세,"5,961","1,815","1,102",398,189,252,83,136,297,"1,026",423,240
2021년07월_계_60~69세,"7,573","1,854","1,405",555,284,393,138,196,411,"1,259",644,434
2021년07월_계_70~79세,"5,799","1,227","1,056",481,226,292,136,198,355,908,549,371
2021년07월_계_80~89세,"3,919",737,556,337,195,226,86,155,203,656,461,307
2021년07월_계_90~99세,541,119,69,54,30,25,9,16,16,107,61,35
2021년07월_계_100세 이상,21,8,1,1,1,1,0,0,0,2,0,7
2021년07월_남_총인구수,"16,933","5,208","2,854","1,130",508,730,247,429,792,"2,928","1,285",822
2021년07월_남_연령구간인구수,"16,933","5,208","2,854","1,130",508,730,247,429,792,"2,928","1,285",822
2021년07월_남_0~9세,769,367,104,22,8,19,4,16,18,160,38,13
2021년07월_남_10~19세,"1,050",444,169,42,17,23,6,15,39,214,60,21
2021년07월_남_20~29세,"1,341",541,231,70,27,40,10,25,44,267,56,30
2021년07월_남_30~39세,"1,193",479,206,61,27,26,7,16,43,224,67,37
2021년07월_남_40~49세,"2,045",780,356,108,30,67,22,45,87,358,125,67
2021년07월_남_50~59세,"3,226",988,574,231,106,145,46,83,156,531,239,127
2021년07월_남_60~69세,"3,627",859,642,291,149,202,65,90,190,588,324,227
2021년07월_남_70~79세,"2,359",488,408,193,85,127,56,89,148,372,223,170
2021년07월_남_80~89세,"1,224",239,154,102,54,74,30,48,61,199,145,118
2021년07월_남_90~99세,96,22,10,10,5,7,1,2,6,15,8,10
2021년07월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,0,2
2021년07월_여_총인구수,"18,799","5,664","3,243","1,202",613,751,283,478,905,"3,358","1,457",845
2021년07월_여_연령구간인구수,"18,799","5,664","3,243","1,202",613,751,283,478,905,"3,358","1,457",845
2021년07월_여_0~9세,775,380,108,21,4,17,5,9,18,176,26,11
2021년07월_여_10~19세,"1,005",474,128,20,16,13,7,16,31,207,69,24
2021년07월_여_20~29세,972,390,166,50,20,28,7,17,34,192,49,19
2021년07월_여_30~39세,"1,082",489,168,47,16,29,4,17,30,211,49,22
2021년07월_여_40~49세,"1,686",768,272,65,31,30,6,30,71,319,65,29
2021년07월_여_50~59세,"2,735",827,528,167,83,107,37,53,141,495,184,113
2021년07월_여_60~69세,"3,946",995,763,264,135,191,73,106,221,671,320,207
2021년07월_여_70~79세,"3,440",739,648,288,141,165,80,109,207,536,326,201
2021년07월_여_80~89세,"2,695",498,402,235,141,152,56,107,142,457,316,189
2021년07월_여_90~99세,445,97,59,44,25,18,8,14,10,92,53,25
2021년07월_여_100세 이상,18,7,1,1,1,1,0,0,0,2,0,5
