카테고리,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2020년01월_계_총인구수,"114,671","12,258","2,802","3,105","1,519","2,412","2,617","3,648","2,024","4,809","4,518","3,583","1,982","4,419","7,845","2,883","5,199","9,285","3,525","3,625","32,613"
2020년01월_계_연령구간인구수,"114,671","12,258","2,802","3,105","1,519","2,412","2,617","3,648","2,024","4,809","4,518","3,583","1,982","4,419","7,845","2,883","5,199","9,285","3,525","3,625","32,613"
2020년01월_계_0~9세,"10,308","1,174",58,82,28,91,62,77,34,109,161,99,51,130,681,171,261,856,134,159,"5,890"
2020년01월_계_10~19세,"9,364",792,171,177,56,135,100,169,64,193,232,157,62,223,929,272,397,987,320,219,"3,709"
2020년01월_계_20~29세,"12,320","1,293",236,289,111,164,197,255,139,392,416,347,119,355,"1,196",349,561,"1,352",302,408,"3,839"
2020년01월_계_30~39세,"14,846","1,734",139,203,80,142,148,218,90,293,378,270,116,264,997,299,433,"1,120",257,346,"7,319"
2020년01월_계_40~49세,"16,319","1,773",245,287,133,250,219,324,178,442,480,426,174,419,"1,302",445,654,"1,418",350,465,"6,335"
2020년01월_계_50~59세,"17,386","1,994",521,582,281,399,444,678,379,913,809,709,410,766,"1,243",481,930,"1,485",665,645,"3,052"
2020년01월_계_60~69세,"15,237","1,777",556,605,316,494,550,758,409,"1,045",849,698,423,865,763,394,842,"1,007",624,642,"1,620"
2020년01월_계_70~79세,"11,534","1,098",507,521,285,431,524,661,404,807,770,522,377,847,448,292,741,698,526,474,601
2020년01월_계_80~89세,"6,362",541,311,318,195,275,333,440,288,524,350,308,218,470,255,153,329,311,302,221,220
2020년01월_계_90~99세,931,75,54,39,34,27,40,65,38,86,68,47,31,74,30,27,47,48,41,33,27
2020년01월_계_100세 이상,64,7,4,2,0,4,0,3,1,5,5,0,1,6,1,0,4,3,4,13,1
2020년01월_남_총인구수,"57,696","6,151","1,392","1,608",753,"1,196","1,294","1,842",988,"2,486","2,368","1,865","1,030","2,280","3,901","1,432","2,610","4,650","1,792","1,901","16,157"
2020년01월_남_연령구간인구수,"57,696","6,151","1,392","1,608",753,"1,196","1,294","1,842",988,"2,486","2,368","1,865","1,030","2,280","3,901","1,432","2,610","4,650","1,792","1,901","16,157"
2020년01월_남_0~9세,"5,250",606,26,36,14,45,32,41,14,67,85,44,28,63,349,87,148,436,80,79,"2,970"
2020년01월_남_10~19세,"4,807",401,90,103,31,69,59,102,38,89,124,84,33,129,486,150,229,529,134,105,"1,822"
2020년01월_남_20~29세,"6,477",683,128,154,68,91,116,152,79,222,236,206,68,197,636,194,303,730,173,225,"1,816"
2020년01월_남_30~39세,"7,753",900,81,132,55,82,90,142,54,181,234,161,66,150,521,153,237,568,149,209,"3,588"
2020년01월_남_40~49세,"9,242","1,001",164,187,87,159,147,212,125,303,313,272,116,274,665,251,352,732,214,296,"3,372"
