,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2020년11월_계_총인구수,"268,249","16,001","33,190","12,634","16,858","15,576","45,117","17,433","12,577","8,781","8,098","13,926","7,075","13,344","14,121","8,872","15,826","8,820"
2020년11월_계_연령구간인구수,"268,249","16,001","33,190","12,634","16,858","15,576","45,117","17,433","12,577","8,781","8,098","13,926","7,075","13,344","14,121","8,872","15,826","8,820"
2020년11월_계_0~9세,"18,130",540,"2,835","1,036","1,067","1,795","3,512","1,476",504,542,488,714,312,650,784,361,"1,151",363
2020년11월_계_10~19세,"23,160",950,"3,166",864,"1,452","1,528","5,162","1,820",922,654,762,"1,003",495,906,"1,229",405,"1,287",555
2020년11월_계_20~29세,"35,288","3,573","6,368","1,247","2,614","1,763","5,049","1,686","1,468",938,"1,006","1,582",684,"1,319","1,736","1,290","1,939","1,026"
2020년11월_계_30~39세,"30,312","1,874","4,311","1,794","1,971","2,225","4,247","1,856","1,162","1,063",758,"1,406",663,"1,294","1,332","1,323","2,162",871
2020년11월_계_40~49세,"42,047","2,074","5,707","1,887","2,636","2,735","7,826","2,943","1,662","1,358","1,251","2,022","1,070","1,879","2,190","1,189","2,417","1,201"
2020년11월_계_50~59세,"42,881","2,271","4,655","1,862","2,451","2,230","7,873","2,733","2,179","1,378","1,460","2,361","1,163","2,192","2,527","1,353","2,638","1,555"
2020년11월_계_60~69세,"40,884","2,378","3,411","2,007","2,442","1,827","6,325","2,780","2,510","1,627","1,331","2,616","1,340","2,698","2,274","1,403","2,277","1,638"
2020년11월_계_70~79세,"24,866","1,647","1,871","1,353","1,544","1,042","3,540","1,505","1,589",882,757,"1,574",966,"1,677","1,444","1,015","1,364","1,096"
2020년11월_계_80~89세,"9,422",621,743,528,615,373,"1,383",548,511,290,249,581,348,627,542,468,534,461
2020년11월_계_90~99세,"1,123",61,108,47,61,50,193,77,63,40,34,52,30,92,58,53,55,49
2020년11월_계_100세 이상,136,12,15,9,5,8,7,9,7,9,2,15,4,10,5,12,2,5
2020년11월_남_총인구수,"131,310","8,020","16,133","6,180","8,175","7,490","21,733","8,576","6,096","4,237","4,126","7,123","3,494","6,605","6,887","4,438","7,684","4,313"
2020년11월_남_연령구간인구수,"131,310","8,020","16,133","6,180","8,175","7,490","21,733","8,576","6,096","4,237","4,126","7,123","3,494","6,605","6,887","4,438","7,684","4,313"
2020년11월_남_0~9세,"9,228",256,"1,452",533,565,862,"1,745",767,238,302,259,379,167,362,405,189,573,174
2020년11월_남_10~19세,"12,015",483,"1,637",453,740,805,"2,650",971,466,310,386,549,262,474,635,223,659,312
2020년11월_남_20~29세,"18,683","1,962","3,198",650,"1,315",881,"2,715",923,798,490,593,922,385,743,921,614,"1,011",562
2020년11월_남_30~39세,"15,526","1,066","2,102",916,"1,004","1,082","1,971",930,645,559,408,758,369,690,692,720,"1,131",483
2020년11월_남_40~49세,"21,121","1,105","2,795","1,021","1,305","1,323","3,650","1,452",844,688,629,"1,102",581,"1,010","1,102",670,"1,193",651
2020년11월_남_50~59세,"20,907","1,093","2,210",866,"1,198","1,071","3,819","1,317","1,045",645,757,"1,201",602,"1,094","1,245",718,"1,281",745
2020년11월_남_60~69세,"18,811","1,037","1,576",922,"1,090",822,"3,007","1,282","1,131",711,655,"1,268",570,"1,217","1,068",694,"1,016",745
