카테고리,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2021년11월_계_총인구수,"276,747","2,627","8,612","1,916","20,411","6,182","6,380","2,754","1,332",794,"2,038","4,625","3,085","4,270","3,927","5,976","3,652","5,249","11,258","6,793","18,743","21,313","11,684","10,226","10,504","32,083","37,115","21,489","8,241","2,311","1,157"
2021년11월_계_연령구간인구수,"276,747","2,627","8,612","1,916","20,411","6,182","6,380","2,754","1,332",794,"2,038","4,625","3,085","4,270","3,927","5,976","3,652","5,249","11,258","6,793","18,743","21,313","11,684","10,226","10,504","32,083","37,115","21,489","8,241","2,311","1,157"
2021년11월_계_0~9세,"19,638",48,533,32,"2,001",240,133,54,11,16,57,216,102,134,100,187,141,158,633,405,"1,126","1,760",593,699,"1,021","2,568","4,537","1,126",939,52,16
2021년11월_계_10~19세,"25,625",83,677,62,"2,079",296,259,120,28,39,79,292,183,260,207,293,214,252,884,612,"1,821","2,247","1,046","1,170",948,"3,704","4,474","1,962","1,151",123,60
2021년11월_계_20~29세,"32,737",174,735,152,"2,166",450,550,118,62,45,131,454,353,406,345,612,403,423,"1,170",677,"2,452","2,631","1,767","1,395","1,070","4,996","4,449","3,291",900,250,110
2021년11월_계_30~39세,"29,673",125,774,80,"2,452",414,342,122,58,26,137,445,303,316,280,513,284,415,"1,047",614,"1,936","2,515","1,169","1,096","1,346","3,835","5,433","2,278","1,089",169,60
2021년11월_계_40~49세,"40,638",207,"1,257",136,"3,220",709,570,218,85,66,203,555,330,533,434,734,412,599,"1,513",907,"2,681","3,475","1,687","1,594","1,568","5,185","6,524","3,218","1,657",245,116
2021년11월_계_50~59세,"48,106",452,"1,409",307,"3,529",979,"1,171",433,183,136,436,679,444,685,626,999,574,822,"1,957","1,127","3,385","3,479","2,250","1,956","1,521","6,003","6,226","4,545","1,115",452,226
2021년11월_계_60~69세,"42,271",606,"1,628",457,"2,684","1,294","1,434",649,326,165,506,936,574,937,837,"1,266",772,"1,200","2,159","1,380","3,173","2,935","1,768","1,441","1,604","3,574","3,513","3,036",719,471,227
2021년11월_계_70~79세,"25,066",562,"1,019",391,"1,392","1,038","1,121",622,314,175,302,744,557,730,771,973,575,952,"1,371",785,"1,444","1,537",944,632,985,"1,516","1,316","1,316",469,325,188
