,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020년03월_계_총인구수,"499,374","24,982","15,988","30,623","29,649","16,925","33,562","34,476","15,552","26,650","18,761","23,220","18,482","23,675","22,946","21,690","16,082","17,597","23,565","24,861","31,920","28,168"
2020년03월_계_연령구간인구수,"499,374","24,982","15,988","30,623","29,649","16,925","33,562","34,476","15,552","26,650","18,761","23,220","18,482","23,675","22,946","21,690","16,082","17,597","23,565","24,861","31,920","28,168"
2020년03월_계_0~9세,"24,248","1,340","1,425","2,195","1,281",790,"1,254","2,323",450,"1,272","1,124",749,678,902,877,405,"1,290",745,782,"1,003","1,918","1,445"
2020년03월_계_10~19세,"30,334","1,543","1,199","3,054","1,460",899,"1,781","2,666",690,"1,703",891,936,911,"1,144","1,262",533,"1,514",853,"1,060","1,717","2,481","2,037"
2020년03월_계_20~29세,"108,343","4,675","1,963","3,888","7,548","5,355","10,606","5,554","4,435","5,850","3,932","6,439","4,351","5,697","5,649","8,248","1,723","3,999","6,180","3,121","4,967","4,163"
2020년03월_계_30~39세,"88,225","4,262","2,663","4,073","6,133","3,495","6,338","5,598","3,022","5,109","3,855","4,768","3,260","4,665","3,990","5,611","2,012","3,344","4,763","2,896","4,519","3,849"
2020년03월_계_40~49세,"70,260","3,481","2,606","5,275","3,750","2,033","3,945","5,431","1,778","3,770","2,402","2,832","2,422","3,253","3,126","2,449","3,064","2,299","3,584","3,667","4,898","4,195"
2020년03월_계_50~59세,"69,117","3,527","2,366","4,808","3,556","1,668","3,713","4,976","1,922","3,555","2,641","2,904","2,488","3,130","3,275","1,720","2,616","2,440","3,122","4,471","5,169","5,050"
2020년03월_계_60~69세,"58,015","3,271","1,943","3,786","3,133","1,356","3,154","4,222","1,650","2,890","2,186","2,499","2,216","2,677","2,524","1,448","2,070","2,168","2,213","4,098","4,537","3,974"
2020년03월_계_70~79세,"36,481","2,096","1,217","2,475","2,059",943,"2,044","2,711","1,147","1,812","1,297","1,512","1,540","1,565","1,622",931,"1,282","1,210","1,294","2,678","2,532","2,514"
2020년03월_계_80~89세,"12,411",686,521,911,629,332,628,870,409,603,369,521,526,544,542,288,434,466,498,"1,019",794,821
2020년03월_계_90~99세,"1,631",91,63,128,83,45,79,108,40,78,61,51,78,80,65,42,64,64,57,163,85,106
2020년03월_계_100세 이상,309,10,22,30,17,9,20,17,9,8,3,9,12,18,14,15,13,9,12,28,20,14
2020년03월_남_총인구수,"250,743","12,228","7,849","14,863","14,385","8,543","16,168","16,873","7,446","13,055","9,021","11,922","9,283","13,066","11,476","11,190","7,945","8,937","14,210","12,454","15,640","14,189"
2020년03월_남_연령구간인구수,"250,743","12,228","7,849","14,863","14,385","8,543","16,168","16,873","7,446","13,055","9,021","11,922","9,283","13,066","11,476","11,190","7,945","8,937","14,210","12,454","15,640","14,189"
2020년03월_남_0~9세,"12,476",686,751,"1,156",646,411,609,"1,237",250,664,587,404,330,451,464,206,644,367,393,536,960,724
2020년03월_남_10~19세,"15,604",801,627,"1,620",733,426,875,"1,348",340,881,416,494,462,602,694,267,778,441,559,907,"1,230","1,103"
2020년03월_남_20~29세,"53,005","2,269","1,038","1,939","3,369","2,589","4,683","2,671","1,843","2,766","1,767","3,260","2,220","3,237","2,640","3,950",902,"1,810","3,737","1,673","2,467","2,175"
2020년03월_남_30~39세,"48,560","2,291","1,335","2,020","3,279","1,957","3,353","2,855","1,644","2,709","2,012","2,743","1,863","2,885","2,243","3,163",995,"1,895","3,232","1,623","2,347","2,116"
2020년03월_남_40~49세,"37,426","1,771","1,329","2,607","1,970","1,074","2,086","2,831",953,"1,908","1,226","1,540","1,305","1,952","1,593","1,406","1,552","1,253","2,404","1,956","2,500","2,210"
2020년03월_남_50~59세,"34,354","1,655","1,155","2,345","1,714",859,"1,842","2,378",965,"1,729","1,212","1,391","1,198","1,665","1,640",925,"1,315","1,284","1,921","2,231","2,483","2,447"
2020년03월_남_60~69세,"27,001","1,501",886,"1,724","1,435",644,"1,460","1,927",770,"1,304",992,"1,133",984,"1,276","1,194",682,962,"1,074","1,139","1,898","2,100","1,916"
2020년03월_남_70~79세,"16,751",961,514,"1,074",951,439,940,"1,236",505,801,614,718,694,747,748,450,610,582,593,"1,183","1,229","1,162"
2020년03월_남_80~89세,"5,109",270,190,337,265,130,286,366,163,268,185,226,209,233,241,131,164,210,218,400,301,316
2020년03월_남_90~99세,393,22,21,37,17,13,27,18,12,23,10,12,14,17,15,9,17,21,11,42,18,17
2020년03월_남_100세 이상,64,1,3,4,6,1,7,6,1,2,0,1,4,1,4,1,6,0,3,5,5,3
2020년03월_여_총인구수,"248,631","12,754","8,139","15,760","15,264","8,382","17,394","17,603","8,106","13,595","9,740","11,298","9,199","10,609","11,470","10,500","8,137","8,660","9,355","12,407","16,280","13,979"
2020년03월_여_연령구간인구수,"248,631","12,754","8,139","15,760","15,264","8,382","17,394","17,603","8,106","13,595","9,740","11,298","9,199","10,609","11,470","10,500","8,137","8,660","9,355","12,407","16,280","13,979"
2020년03월_여_0~9세,"11,772",654,674,"1,039",635,379,645,"1,086",200,608,537,345,348,451,413,199,646,378,389,467,958,721
2020년03월_여_10~19세,"14,730",742,572,"1,434",727,473,906,"1,318",350,822,475,442,449,542,568,266,736,412,501,810,"1,251",934
2020년03월_여_20~29세,"55,338","2,406",925,"1,949","4,179","2,766","5,923","2,883","2,592","3,084","2,165","3,179","2,131","2,460","3,009","4,298",821,"2,189","2,443","1,448","2,500","1,988"
2020년03월_여_30~39세,"39,665","1,971","1,328","2,053","2,854","1,538","2,985","2,743","1,378","2,400","1,843","2,025","1,397","1,780","1,747","2,448","1,017","1,449","1,531","1,273","2,172","1,733"
