,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2021년10월_계_총인구수,"50,597","22,463","3,255","2,766","2,462","2,515","2,792","2,097","3,239","3,015","5,993"
2021년10월_계_연령구간인구수,"50,597","22,463","3,255","2,766","2,462","2,515","2,792","2,097","3,239","3,015","5,993"
2021년10월_계_0~9세,"2,369","1,517",86,66,63,118,79,49,75,79,237
2021년10월_계_10~19세,"4,125","2,433",149,96,76,135,340,147,201,144,404
2021년10월_계_20~29세,"3,750","2,102",191,172,96,124,147,101,177,182,458
2021년10월_계_30~39세,"3,394","1,924",180,129,110,138,110,72,143,178,410
2021년10월_계_40~49세,"5,958","3,472",274,222,167,230,231,146,278,273,665
2021년10월_계_50~59세,"8,906","3,773",591,480,390,429,421,407,654,557,"1,204"
2021년10월_계_60~69세,"10,355","3,553",777,751,655,592,622,516,735,767,"1,387"
2021년10월_계_70~79세,"6,830","2,381",544,458,458,423,450,362,564,489,701
2021년10월_계_80~89세,"4,315","1,166",388,345,391,287,347,268,366,297,460
2021년10월_계_90~99세,584,138,73,47,54,39,44,29,46,49,65
2021년10월_계_100세 이상,11,4,2,0,2,0,1,0,0,0,2
2021년10월_남_총인구수,"25,545","11,043","1,684","1,451","1,241","1,252","1,409","1,077","1,617","1,581","3,190"
2021년10월_남_연령구간인구수,"25,545","11,043","1,684","1,451","1,241","1,252","1,409","1,077","1,617","1,581","3,190"
2021년10월_남_0~9세,"1,210",752,52,38,30,54,46,26,46,37,129
2021년10월_남_10~19세,"2,136","1,235",82,62,35,68,157,80,113,82,222
2021년10월_남_20~29세,"2,183","1,201",123,108,57,71,94,65,83,106,275
2021년10월_남_30~39세,"1,786",975,104,78,71,75,55,34,67,83,244
2021년10월_남_40~49세,"3,268","1,803",155,143,108,122,136,87,154,172,388
2021년10월_남_50~59세,"4,935","1,941",348,279,252,257,254,234,374,327,669
2021년10월_남_60~69세,"5,312","1,690",407,393,336,314,332,287,391,414,748
2021년10월_남_70~79세,"3,148","1,006",261,229,218,191,213,166,262,251,351
2021년10월_남_80~89세,"1,429",413,134,110,120,92,110,92,116,96,146
2021년10월_남_90~99세,136,26,17,11,14,8,12,6,11,13,18
2021년10월_남_100세 이상,2,1,1,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"25,052","11,420","1,571","1,315","1,221","1,263","1,383","1,020","1,622","1,434","2,803"
2021년10월_여_연령구간인구수,"25,052","11,420","1,571","1,315","1,221","1,263","1,383","1,020","1,622","1,434","2,803"
2021년10월_여_0~9세,"1,159",765,34,28,33,64,33,23,29,42,108
2021년10월_여_10~19세,"1,989","1,198",67,34,41,67,183,67,88,62,182
2021년10월_여_20~29세,"1,567",901,68,64,39,53,53,36,94,76,183
2021년10월_여_30~39세,"1,608",949,76,51,39,63,55,38,76,95,166
2021년10월_여_40~49세,"2,690","1,669",119,79,59,108,95,59,124,101,277
2021년10월_여_50~59세,"3,971","1,832",243,201,138,172,167,173,280,230,535
2021년10월_여_60~69세,"5,043","1,863",370,358,319,278,290,229,344,353,639
2021년10월_여_70~79세,"3,682","1,375",283,229,240,232,237,196,302,238,350
2021년10월_여_80~89세,"2,886",753,254,235,271,195,237,176,250,201,314
2021년10월_여_90~99세,448,112,56,36,40,31,32,23,35,36,47
2021년10월_여_100세 이상,9,3,1,0,2,0,1,0,0,0,2
