,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2021년12월_계_총인구수,"347,097","8,059","4,020","8,772","2,184","1,872","2,557","1,581","1,478","1,430","3,188","20,903","4,638","1,579","3,982","1,036","2,185","27,872","10,300","11,014","13,823","19,311","24,152","11,492","26,841","27,373","11,602","11,875","21,005","27,983","32,990"
2021년12월_계_연령구간인구수,"347,097","8,059","4,020","8,772","2,184","1,872","2,557","1,581","1,478","1,430","3,188","20,903","4,638","1,579","3,982","1,036","2,185","27,872","10,300","11,014","13,823","19,311","24,152","11,492","26,841","27,373","11,602","11,875","21,005","27,983","32,990"
2021년12월_계_0~9세,"26,794",596,323,984,34,40,91,22,26,37,53,"2,031",207,20,118,22,45,"1,466",392,303,500,886,"1,217",671,"3,192","1,957",620,627,"2,264","2,411","5,639"
2021년12월_계_10~19세,"34,686",642,449,530,97,44,179,44,44,72,117,"2,702",406,41,179,43,87,"2,424",677,634,"1,015","1,545","2,360","1,004","4,031","3,385","1,071","1,227","2,972","2,582","4,083"
2021년12월_계_20~29세,"44,515",741,430,"1,059",140,117,201,67,57,97,196,"2,259",392,79,306,85,131,"4,354","1,388","1,098","1,767","2,828","3,647","1,457","3,252","4,044","1,551","1,481","2,297","5,633","3,361"
2021년12월_계_30~39세,"40,721",872,380,"1,736",119,119,162,65,74,61,156,"2,342",353,55,223,44,96,"2,720","1,092",857,"1,213","1,947","2,427","1,349","3,541","2,914","1,134","1,075","2,330","4,368","6,897"
2021년12월_계_40~49세,"53,267","1,008",640,"1,222",172,134,260,93,139,132,244,"3,622",625,95,397,88,197,"3,871","1,481","1,287","1,773","2,659","3,469","1,672","5,294","4,480","1,573","1,698","4,041","4,129","6,772"
2021년12월_계_50~59세,"57,288","1,354",680,"1,292",353,332,484,254,205,234,558,"3,386",865,276,746,177,384,"4,582","1,676","1,837","2,551","3,543","4,889","2,018","4,184","5,147","2,010","2,283","3,267","4,081","3,640"
2021년12월_계_60~69세,"48,836","1,448",591,"1,159",503,494,528,455,371,316,759,"2,632",859,392,"1,031",258,561,"4,267","1,886","2,453","2,573","3,311","3,775","1,918","2,050","3,161","1,998","2,025","2,328","2,900","1,834"
2021년12월_계_70~79세,"25,856",818,312,473,394,296,354,294,293,248,561,"1,227",546,323,561,156,335,"2,707","1,107","1,688","1,632","1,808","1,625",986,876,"1,380","1,036",998,"1,004","1,282",536
