,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2021년09월_계_총인구수,"229,350","5,446","9,287","11,307","7,931","8,346","17,723","15,882","12,926","18,089","26,880","2,336","9,775","29,123","19,797","33,447","1,055"
2021년09월_계_연령구간인구수,"229,350","5,446","9,287","11,307","7,931","8,346","17,723","15,882","12,926","18,089","26,880","2,336","9,775","29,123","19,797","33,447","1,055"
2021년09월_계_0~9세,"12,389",92,286,323,246,283,954,"1,091",508,847,"2,571",70,479,"1,126","1,314","2,134",65
2021년09월_계_10~19세,"17,255",250,456,525,344,425,"1,504","1,315",767,"1,222","2,470",93,677,"1,953","1,922","3,213",119
2021년09월_계_20~29세,"32,471",497,"1,079","1,227",783,838,"2,604","2,204","1,517","5,882","3,289",208,"1,020","4,425","2,476","4,343",79
2021년09월_계_30~39세,"24,511",428,913,"1,100",740,783,"1,961","1,889","1,405","2,004","3,592",206,915,"2,925","2,221","3,355",74
2021년09월_계_40~49세,"31,395",705,"1,095","1,310",930,"1,068","2,577","2,240","1,730","2,160","4,671",237,"1,170","3,527","2,995","4,819",161
2021년09월_계_50~59세,"39,241","1,027","1,798","2,189","1,501","1,383","3,024","2,733","2,212","2,215","3,721",459,"1,741","5,456","3,599","6,024",159
2021년09월_계_60~69세,"39,768","1,295","2,184","2,539","1,955","1,780","2,839","2,526","2,641","2,007","3,450",552,"1,949","5,292","3,061","5,473",225
2021년09월_계_70~79세,"21,828",762,"1,059","1,471","1,025","1,229","1,498","1,203","1,556","1,175","2,045",325,"1,221","2,980","1,479","2,689",111
2021년09월_계_80~89세,"9,231",346,381,559,370,500,665,590,528,510,908,164,532,"1,280",652,"1,196",50
2021년09월_계_90~99세,"1,195",32,35,55,34,56,95,89,58,66,154,21,69,154,76,191,10
2021년09월_계_100세 이상,66,12,1,9,3,1,2,2,4,1,9,1,2,5,2,10,2
2021년09월_남_총인구수,"112,095","2,806","4,635","5,650","4,185","4,008","8,477","7,638","6,217","9,396","12,954","1,252","4,800","14,189","9,411","15,967",510
2021년09월_남_연령구간인구수,"112,095","2,806","4,635","5,650","4,185","4,008","8,477","7,638","6,217","9,396","12,954","1,252","4,800","14,189","9,411","15,967",510
2021년09월_남_0~9세,"6,348",49,146,167,142,155,505,561,257,397,"1,344",41,255,574,672,"1,053",30
2021년09월_남_10~19세,"8,889",139,228,256,175,213,779,661,425,605,"1,362",55,359,988,940,"1,639",65
2021년09월_남_20~29세,"17,520",278,592,685,442,450,"1,319","1,138",804,"3,440","1,705",114,589,"2,367","1,284","2,268",45
2021년09월_남_30~39세,"12,846",274,484,630,428,431,"1,009",991,749,"1,126","1,724",127,472,"1,596","1,106","1,664",35
2021년09월_남_40~49세,"15,635",423,600,731,560,594,"1,211","1,061",900,"1,128","2,300",135,563,"1,751","1,405","2,196",77
2021년09월_남_50~59세,"18,715",550,908,"1,097",784,671,"1,417","1,294","1,022","1,072","1,720",245,829,"2,584","1,649","2,788",85
2021년09월_남_60~69세,"18,528",617,"1,033","1,210",997,794,"1,304","1,152","1,155",897,"1,535",311,892,"2,490","1,436","2,598",107
2021년09월_남_70~79세,"9,940",345,503,651,511,516,667,558,706,513,907,155,591,"1,315",685,"1,266",51
2021년09월_남_80~89세,"3,393",126,134,215,139,167,239,202,190,204,336,63,222,489,216,440,11
2021년09월_남_90~99세,272,3,7,8,6,16,27,19,9,14,20,6,28,34,18,54,3
2021년09월_남_100세 이상,9,2,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1
2021년09월_여_총인구수,"117,255","2,640","4,652","5,657","3,746","4,338","9,246","8,244","6,709","8,693","13,926","1,084","4,975","14,934","10,386","17,480",545
2021년09월_여_연령구간인구수,"117,255","2,640","4,652","5,657","3,746","4,338","9,246","8,244","6,709","8,693","13,926","1,084","4,975","14,934","10,386","17,480",545
2021년09월_여_0~9세,"6,041",43,140,156,104,128,449,530,251,450,"1,227",29,224,552,642,"1,081",35
