카테고리,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2021년09월_계_총인구수,"503,146","230,351","7,354","30,300","55,800","3,392","9,714","4,061","1,873","24,695","17,118","12,235","4,753","2,949","30,536","25,571","272,795","40,876","2,888","4,748","2,504","4,963","2,119",603,"1,315","15,466","16,915","19,855","21,940","33,437","23,037","72,622","9,507"
2021년09월_계_연령구간인구수,"503,146","230,351","7,354","30,300","55,800","3,392","9,714","4,061","1,873","24,695","17,118","12,235","4,753","2,949","30,536","25,571","272,795","40,876","2,888","4,748","2,504","4,963","2,119",603,"1,315","15,466","16,915","19,855","21,940","33,437","23,037","72,622","9,507"
2021년09월_계_0~9세,"37,884","16,562",126,"2,218","5,399",57,510,64,30,"1,076",567,381,209,136,"3,594","2,195","21,322","3,733",63,94,36,78,37,3,14,540,"1,141",749,"1,349","3,240","1,600","7,778",867
2021년09월_계_10~19세,"46,242","20,964",239,"3,591","5,896",123,744,123,69,"1,466",759,665,258,185,"3,927","2,919","25,278","3,665",80,191,90,186,55,16,38,782,"1,795",906,"1,929","3,200","2,357","8,856","1,132"
2021년09월_계_20~29세,"56,566","26,518",406,"3,484","6,787",249,926,188,95,"3,265","1,639",993,647,706,"3,557","3,576","30,048","4,157",170,295,150,284,56,25,54,"1,579","2,035","2,356","2,325","3,776","2,821","9,060",905
2021년09월_계_30~39세,"57,866","25,999",426,"2,915","7,925",232,938,185,79,"2,872","1,548",958,479,358,"3,700","3,384","31,867","4,891",121,248,98,224,63,14,60,"1,701","1,829","2,323","2,129","4,693","2,475","9,857","1,141"
2021년09월_계_40~49세,"76,585","35,373",703,"5,027","10,368",293,"1,198",295,186,"3,243","2,143","1,377",527,350,"5,332","4,331","41,212","6,240",208,439,193,357,120,33,92,"1,914","2,588","2,512","3,185","5,092","3,279","13,306","1,654"
2021년09월_계_50~59세,"89,139","40,895","1,335","5,981","8,682",654,"1,792",685,314,"4,383","3,301","2,215",816,489,"5,220","5,028","48,244","7,125",464,894,449,887,393,116,208,"2,674","3,363","3,395","4,033","6,035","4,596","12,161","1,451"
2021년09월_계_60~69세,"82,344","38,229","1,991","4,512","6,780",962,"1,887","1,011",451,"5,194","4,184","3,190",986,437,"3,900","2,744","44,115","6,256",814,"1,151",627,"1,298",623,209,381,"3,322","2,709","4,278","4,215","4,825","3,847","8,090","1,470"
2021년09월_계_70~79세,"38,000","17,716","1,306","1,775","2,627",530,"1,119",802,383,"2,481","2,245","1,751",594,200,965,938,"20,284","2,989",502,834,487,928,418,113,256,"2,013","1,041","2,396","1,937","1,745","1,463","2,502",660
2021년09월_계_80~89세,"16,189","7,115",729,716,"1,185",243,520,611,231,632,663,615,208,80,281,401,"9,074","1,571",402,515,317,621,314,62,182,828,358,823,745,729,532,869,206
2021년09월_계_90~99세,"2,254",939,89,77,143,47,76,93,35,80,66,88,27,8,57,53,"1,315",246,63,85,57,99,39,11,27,108,53,113,91,99,65,138,21
2021년09월_계_100세 이상,77,41,4,4,8,2,4,4,0,3,3,2,2,0,3,2,36,3,1,2,0,1,1,1,3,5,3,4,2,3,2,5,0
2021년09월_남_총인구수,"254,738","119,087","3,713","15,442","29,800","1,756","4,910","1,976",920,"12,782","8,797","6,116","2,578","1,772","15,557","12,968","135,651","20,499","1,431","2,338","1,218","2,407","1,052",302,643,"7,618","8,388","9,804","10,719","16,360","11,388","36,795","4,689"
2021년09월_남_연령구간인구수,"254,738","119,087","3,713","15,442","29,800","1,756","4,910","1,976",920,"12,782","8,797","6,116","2,578","1,772","15,557","12,968","135,651","20,499","1,431","2,338","1,218","2,407","1,052",302,643,"7,618","8,388","9,804","10,719","16,360","11,388","36,795","4,689"
2021년09월_남_0~9세,"19,658","8,576",60,"1,154","2,777",26,268,37,14,568,301,210,107,81,"1,831","1,142","11,082","1,980",34,48,15,37,18,1,6,258,576,389,710,"1,715",838,"4,009",448
2021년09월_남_10~19세,"24,233","11,016",139,"1,863","3,135",63,376,52,43,767,387,351,131,97,"2,089","1,523","13,217","1,900",50,106,40,84,33,7,25,403,958,463,"1,021","1,673","1,219","4,659",576
2021년09월_남_20~29세,"32,598","15,790",249,"2,029","4,110",156,522,122,60,"1,886",985,554,432,551,"2,117","2,017","16,808","2,405",106,181,89,170,41,12,30,859,"1,191","1,269","1,315","2,055","1,570","5,022",493
2021년09월_남_30~39세,"30,746","14,152",239,"1,486","4,359",138,514,106,50,"1,691",935,566,287,237,"1,745","1,799","16,594","2,517",69,139,66,146,36,14,35,965,952,"1,348","1,090","2,391","1,314","4,953",559
2021년09월_남_40~49세,"38,652","18,358",443,"2,445","5,629",182,646,182,124,"1,785","1,240",748,328,188,"2,465","1,953","20,294","3,157",129,263,123,213,75,19,52,"1,014","1,173","1,353","1,515","2,414","1,524","6,454",816
2021년09월_남_50~59세,"44,805","21,301",773,"3,041","4,689",355,927,391,182,"2,197","1,683","1,163",438,262,"2,629","2,571","23,504","3,545",235,497,245,468,228,65,121,"1,364","1,587","1,639","1,913","2,775","2,118","5,995",709
2021년09월_남_60~69세,"40,330","18,891","1,007","2,285","3,467",510,967,500,234,"2,374","1,899","1,464",490,225,"2,043","1,426","21,439","3,127",437,568,312,658,311,97,199,"1,551","1,330","1,868","1,917","2,358","1,878","4,143",685
