,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2021년06월_계_총인구수,"399,015","22,623","30,958","28,770","27,291","15,954","18,206","32,162","16,228","23,306","9,960","34,866","12,857","8,755","16,256","14,048","23,630","38,117","25,028"
2021년06월_계_연령구간인구수,"399,015","22,623","30,958","28,770","27,291","15,954","18,206","32,162","16,228","23,306","9,960","34,866","12,857","8,755","16,256","14,048","23,630","38,117","25,028"
2021년06월_계_0~9세,"27,798","1,254","2,850","2,894","2,125","1,238","1,226","2,015","1,055","1,724",500,"2,550",470,231,"1,248",357,871,"3,932","1,258"
2021년06월_계_10~19세,"37,375","1,530","3,113","3,122","2,499","1,175","1,988","2,830","1,787","2,944",499,"4,151",605,499,"1,539",738,"1,452","4,944","1,960"
2021년06월_계_20~29세,"47,953","2,953","3,443","2,795","3,425","1,674","2,792","5,060","1,921","2,923","1,152","4,132","1,435",963,"2,041","1,585","2,369","4,144","3,146"
2021년06월_계_30~39세,"45,985","2,905","3,787","3,417","3,483","2,214","2,077","4,477","1,628","2,421","1,244","3,606","1,493",792,"1,937","1,130","1,916","4,639","2,819"
2021년06월_계_40~49세,"64,983","3,387","5,260","5,032","4,642","2,743","3,191","4,936","2,519","3,991","1,349","6,103","1,714","1,117","2,601","1,712","3,083","7,763","3,840"
2021년06월_계_50~59세,"69,425","3,843","5,367","4,776","4,746","2,781","3,194","5,704","2,942","4,290","1,697","6,270","2,329","1,646","2,928","2,655","4,132","5,521","4,604"
2021년06월_계_60~69세,"59,362","3,681","4,010","3,925","3,551","2,501","1,912","3,985","2,315","2,788","1,985","4,782","2,593","1,892","2,548","2,844","5,148","4,338","4,564"
2021년06월_계_70~79세,"30,925","2,138","2,089","1,873","1,874","1,131","1,101","1,967","1,212","1,364","1,001","2,249","1,542","1,089","1,038","2,049","3,164","2,061","1,983"
