카테고리,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2021년10월_계_총인구수,"125,744","4,591","12,412","2,843","31,027","1,968","1,958","1,449","8,719","2,843","3,869","8,763","10,408","11,065","10,118","13,711"
2021년10월_계_연령구간인구수,"125,744","4,591","12,412","2,843","31,027","1,968","1,958","1,449","8,719","2,843","3,869","8,763","10,408","11,065","10,118","13,711"
2021년10월_계_0~9세,"8,729",103,"1,100",62,"3,564",43,29,21,368,92,102,414,663,748,428,992
2021년10월_계_10~19세,"12,665",206,"1,449",109,"4,089",90,54,27,790,160,204,622,952,"1,395",939,"1,579"
2021년10월_계_20~29세,"10,601",285,"1,010",159,"2,674",108,72,57,840,196,258,651,904,969,888,"1,530"
2021년10월_계_30~39세,"12,542",290,"1,312",144,"4,333",95,71,64,646,153,250,771,"1,011","1,007",890,"1,505"
2021년10월_계_40~49세,"20,835",511,"2,214",260,"6,629",249,164,107,"1,225",330,484,"1,262","1,546","1,884","1,447","2,523"
2021년10월_계_50~59세,"21,962",910,"2,108",492,"4,601",413,315,290,"1,601",532,766,"1,764","1,730","2,028","1,957","2,455"
2021년10월_계_60~69세,"21,382","1,082","1,734",752,"3,208",479,490,402,"1,726",677,948,"1,856","2,101","1,928","1,980","2,019"
2021년10월_계_70~79세,"11,317",703,936,519,"1,323",296,432,257,"1,053",469,569,"1,005","1,068",774,"1,083",830
2021년10월_계_80~89세,"5,028",440,478,307,529,180,298,191,417,203,268,373,369,293,441,241
2021년10월_계_90~99세,666,58,70,39,77,15,32,33,53,29,20,42,60,38,65,35
2021년10월_계_100세 이상,17,3,1,0,0,0,1,0,0,2,0,3,4,1,0,2
2021년10월_남_총인구수,"63,116","2,412","6,214","1,455","15,694","1,102","1,009",715,"4,328","1,386","1,920","4,451","4,989","5,424","5,191","6,826"
2021년10월_남_연령구간인구수,"63,116","2,412","6,214","1,455","15,694","1,102","1,009",715,"4,328","1,386","1,920","4,451","4,989","5,424","5,191","6,826"
2021년10월_남_0~9세,"4,388",42,524,34,"1,812",23,16,9,178,40,45,203,341,388,199,534
2021년10월_남_10~19세,"6,531",112,737,58,"2,121",53,26,13,375,72,99,321,496,720,497,831
2021년10월_남_20~29세,"5,913",168,550,101,"1,429",64,45,35,493,112,161,368,513,528,524,822
2021년10월_남_30~39세,"6,424",172,640,83,"2,093",64,42,45,346,88,141,438,520,483,494,775
2021년10월_남_40~49세,"11,167",322,"1,163",170,"3,488",164,105,64,677,190,303,743,793,954,796,"1,235"
2021년10월_남_50~59세,"11,407",537,"1,115",289,"2,408",246,209,169,832,297,391,912,765,994,"1,052","1,191"
2021년10월_남_60~69세,"10,403",593,881,367,"1,566",261,272,217,829,321,449,853,916,942,983,953
2021년10월_남_70~79세,"5,167",331,422,256,607,151,198,109,459,187,240,478,502,339,483,405
2021년10월_남_80~89세,"1,586",127,164,90,156,73,88,49,135,72,85,127,130,70,144,76
2021년10월_남_90~99세,127,8,18,7,14,3,8,5,4,7,6,8,10,6,19,4
2021년10월_남_100세 이상,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2021년10월_여_총인구수,"62,628","2,179","6,198","1,388","15,333",866,949,734,"4,391","1,457","1,949","4,312","5,419","5,641","4,927","6,885"
2021년10월_여_연령구간인구수,"62,628","2,179","6,198","1,388","15,333",866,949,734,"4,391","1,457","1,949","4,312","5,419","5,641","4,927","6,885"
2021년10월_여_0~9세,"4,341",61,576,28,"1,752",20,13,12,190,52,57,211,322,360,229,458
2021년10월_여_10~19세,"6,134",94,712,51,"1,968",37,28,14,415,88,105,301,456,675,442,748
2021년10월_여_20~29세,"4,688",117,460,58,"1,245",44,27,22,347,84,97,283,391,441,364,708
2021년10월_여_30~39세,"6,118",118,672,61,"2,240",31,29,19,300,65,109,333,491,524,396,730
2021년10월_여_40~49세,"9,668",189,"1,051",90,"3,141",85,59,43,548,140,181,519,753,930,651,"1,288"
2021년10월_여_50~59세,"10,555",373,993,203,"2,193",167,106,121,769,235,375,852,965,"1,034",905,"1,264"
2021년10월_여_60~69세,"10,979",489,853,385,"1,642",218,218,185,897,356,499,"1,003","1,185",986,997,"1,066"
2021년10월_여_70~79세,"6,150",372,514,263,716,145,234,148,594,282,329,527,566,435,600,425
2021년10월_여_80~89세,"3,442",313,314,217,373,107,210,142,282,131,183,246,239,223,297,165
2021년10월_여_90~99세,539,50,52,32,63,12,24,28,49,22,14,34,50,32,46,31
2021년10월_여_100세 이상,14,3,1,0,0,0,1,0,0,2,0,3,1,1,0,2
