,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 국토정중앙면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2021년03월_계_총인구수,"22,172","14,043","3,382","2,102","1,327","1,318"
2021년03월_계_연령구간인구수,"22,172","14,043","3,382","2,102","1,327","1,318"
2021년03월_계_0~9세,"1,702","1,413",115,94,42,38
2021년03월_계_10~19세,"2,034","1,627",181,86,55,85
2021년03월_계_20~29세,"3,100","1,773",440,475,295,117
2021년03월_계_30~39세,"2,542","1,948",249,156,100,89
2021년03월_계_40~49세,"2,504","1,837",293,153,83,138
2021년03월_계_50~59세,"3,496","2,007",645,349,211,284
2021년03월_계_60~69세,"3,447","1,843",706,353,269,276
2021년03월_계_70~79세,"2,002",944,455,266,151,186
2021년03월_계_80~89세,"1,172",568,260,143,108,93
2021년03월_계_90~99세,158,72,34,27,13,12
2021년03월_계_100세 이상,15,11,4,0,0,0
2021년03월_남_총인구수,"11,748","7,182","1,875","1,190",787,714
2021년03월_남_연령구간인구수,"11,748","7,182","1,875","1,190",787,714
2021년03월_남_0~9세,863,703,66,50,20,24
2021년03월_남_10~19세,"1,012",792,96,43,31,50
2021년03월_남_20~29세,"2,078","1,064",344,345,252,73
2021년03월_남_30~39세,"1,422","1,045",157,104,67,49
2021년03월_남_40~49세,"1,349",956,175,88,45,85
2021년03월_남_50~59세,"1,865","1,042",364,182,120,157
2021년03월_남_60~69세,"1,835",960,376,199,147,153
2021년03월_남_70~79세,870,403,197,117,63,90
2021년03월_남_80~89세,408,191,91,54,40,32
2021년03월_남_90~99세,40,21,8,8,2,1
2021년03월_남_100세 이상,6,5,1,0,0,0
2021년03월_여_총인구수,"10,424","6,861","1,507",912,540,604
2021년03월_여_연령구간인구수,"10,424","6,861","1,507",912,540,604
2021년03월_여_0~9세,839,710,49,44,22,14
2021년03월_여_10~19세,"1,022",835,85,43,24,35
2021년03월_여_20~29세,"1,022",709,96,130,43,44
2021년03월_여_30~39세,"1,120",903,92,52,33,40
2021년03월_여_40~49세,"1,155",881,118,65,38,53
2021년03월_여_50~59세,"1,631",965,281,167,91,127
2021년03월_여_60~69세,"1,612",883,330,154,122,123
2021년03월_여_70~79세,"1,132",541,258,149,88,96
2021년03월_여_80~89세,764,377,169,89,68,61
2021년03월_여_90~99세,118,51,26,19,11,11
2021년03월_여_100세 이상,9,6,3,0,0,0
