,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년03월_계_총인구수,"414,953","14,856","37,916","26,564","1,867","1,707","2,209","4,084","3,155","24,217","3,775","3,091","29,517","2,216","39,040","14,514","16,840","3,309","3,243","13,271","4,376","30,957","18,815","48,279","16,324","46,408","4,403"
2021년03월_계_연령구간인구수,"414,953","14,856","37,916","26,564","1,867","1,707","2,209","4,084","3,155","24,217","3,775","3,091","29,517","2,216","39,040","14,514","16,840","3,309","3,243","13,271","4,376","30,957","18,815","48,279","16,324","46,408","4,403"
2021년03월_계_0~9세,"40,551",872,"3,615","5,565",40,13,46,67,70,"1,753",68,77,"2,295",74,"3,781","1,062",823,136,287,"1,683",330,"2,792","2,157","4,678",917,"6,758",592
2021년03월_계_10~19세,"44,435","1,116","3,910","2,290",59,55,113,152,204,"2,444",98,134,"3,407",125,"4,973","1,602","1,913",171,223,"1,111",341,"3,733","2,491","5,946","1,062","6,541",221
2021년03월_계_20~29세,"56,050","1,420","4,724","2,499",106,99,146,282,242,"3,378",483,309,"3,873",216,"5,140","1,937","2,708",614,421,"1,855",636,"4,670","2,369","7,165","4,227","5,856",675
2021년03월_계_30~39세,"64,870","1,259","4,800","7,950",84,81,101,213,179,"3,333",515,260,"3,425",156,"4,980","1,651","1,604",495,544,"2,827",693,"4,342","2,952","8,476","4,271","8,597","1,082"
2021년03월_계_40~49세,"72,866","1,946","5,845","4,431",129,143,189,415,385,"3,866",706,329,"4,932",280,"7,334","2,393","2,688",450,430,"2,183",760,"6,074","3,843","9,475","2,766","10,158",716
2021년03월_계_50~59세,"69,842","2,937","7,877","2,061",364,329,391,820,620,"4,439",844,618,"5,968",478,"7,139","2,996","3,859",624,640,"2,207",812,"6,011","3,134","6,997","1,736","5,303",638
2021년03월_계_60~69세,"40,848","2,754","4,397","1,044",486,426,514,925,648,"3,376",651,747,"3,758",526,"3,857","1,893","2,297",482,411,993,491,"2,181","1,247","3,531",874,"1,968",371
2021년03월_계_70~79세,"16,055","1,446","1,609",398,302,272,370,657,461,"1,181",294,420,"1,220",235,"1,240",677,676,242,181,288,223,748,405,"1,333",325,769,83
